,城市,PM2.5,PM10,So2,No2,Co,O3
0,北京,0.4,0.6,0.44,0.64,0.54,0.74
1,上海,0.49,0.48,0.35,0.69,0.68,0.76
2,天津,0.39,0.53,0.79,0.68,0.64,0.79
3,重庆,0.66,0.71,0.71,0.89,0.89,0.37
4,哈尔滨,0.46,0.69,0.49,0.64,0.65,0.77
5,长春,0.3,0.29,0.24,0.62,0.62,0.5
6,沈阳,0.44,0.58,0.63,0.85,0.68,0.8
7,呼和浩特,0.53,0.56,0.49,0.65,0.85,0.55
8,石家庄,0.61,0.64,0.4,0.84,0.67,0.68
9,太原,0.32,0.56,0.19,0.75,0.53,0.48
10,西安,0.52,0.53,0.71,0.87,0.8,0.47
11,济南,0.51,0.68,0.51,0.78,0.64,0.36
12,乌鲁木齐,0.45,0.63,0.49,0.81,0.75,0.85
13,拉萨,0.65,0.66,0.81,0.84,0.96,0.76
14,西宁,0.58,0.41,0.3,0.91,0.81,0.87
15,兰州,0.42,0.49,0.62,0.68,0.5,0.87
16,银川,0.52,0.46,0.57,0.8,0.74,0.79
17,郑州,0.45,0.44,0.58,0.92,0.85,0.53
18,南京,0.5,0.57,0.73,0.72,0.8,0.66
19,武汉,0.64,0.7,0.59,0.78,0.89,0.71
20,杭州,0.53,0.64,0.88,0.88,0.97,0.64
21,合肥,0.49,0.53,0.58,0.76,0.62,0.6
22,福州,0.52,0.64,0.52,0.62,0.88,0.64
23,南昌,0.4,0.58,0.26,0.77,0.89,0.44
24,长沙,0.55,0.53,0.5,0.9,0.74,0.52
25,贵阳,0.69,0.66,0.46,0.82,0.75,0.67
26,成都,0.64,0.63,0.35,0.79,0.97,0.74
27,广州,0.68,0.76,0.61,0.86,1.0,0.47
28,昆明,0.89,0.53,0.67,0.96,0.98,0.81
29,南宁,0.61,0.72,0.77,0.91,0.97,0.56
30,深圳,0.84,0.89,0.93,0.83,0.97,0.86
