城市,PM2.5,PM10,So2,No2,Co,O3
北京,27.28 ,34.57 ,2.71 ,17.08 ,0.35 ,9.65 
上海,18.24 ,20.10 ,3.58 ,13.93 ,0.20 ,17.03 
天津,39.75 ,39.38 ,6.15 ,16.72 ,0.47 ,9.34 
重庆,13.76 ,22.02 ,2.23 ,8.40 ,0.16 ,13.66 
哈尔滨,16.02 ,19.35 ,6.68 ,11.04 ,0.28 ,10.28 
长春,20.08 ,37.07 ,7.97 ,12.05 ,0.26 ,16.51 
沈阳,15.32 ,22.47 ,8.70 ,9.07 ,0.26 ,9.62 
呼和浩特,17.83 ,46.42 ,8.18 ,14.92 ,0.32 ,15.02 
石家庄,25.49 ,54.44 ,12.19 ,12.71 ,0.40 ,11.48 
太原,34.10 ,63.68 ,24.95 ,16.22 ,0.50 ,19.00 
西安,25.69 ,54.66 ,4.08 ,9.99 ,0.29 ,17.79 
济南,30.34 ,41.32 ,7.36 ,15.60 ,0.40 ,27.21 
乌鲁木齐,23.67 ,96.10 ,4.76 ,8.94 ,0.40 ,5.95 
拉萨,4.67 ,12.86 ,1.04 ,5.92 ,0.09 ,15.24 
西宁,19.33 ,59.01 ,13.35 ,7.19 ,0.31 ,10.04 
兰州,19.37 ,66.70 ,5.73 ,13.28 ,0.50 ,9.56 
银川,16.22 ,49.61 ,15.90 ,9.73 ,0.34 ,11.58 
郑州,31.16 ,75.47 ,6.30 ,10.00 ,0.28 ,22.86 
南京,22.53 ,29.23 ,3.23 ,13.62 ,0.21 ,20.45 
武汉,18.43 ,27.82 ,3.13 ,11.82 ,0.24 ,18.59 
杭州,14.26 ,22.35 ,2.11 ,9.41 ,0.13 ,16.48 
合肥,20.80 ,26.50 ,2.96 ,13.19 ,0.25 ,18.15 
福州,13.55 ,17.76 ,6.86 ,5.71 ,0.17 ,22.00 
南昌,17.97 ,26.98 ,6.78 ,8.16 ,0.21 ,27.81 
长沙,23.86 ,28.23 ,3.94 ,7.70 ,0.23 ,21.47 
贵阳,8.71 ,16.88 ,3.69 ,6.82 ,0.15 ,16.44 
成都,14.22 ,23.72 ,3.44 ,9.39 ,0.10 ,11.07 
广州,11.81 ,16.86 ,2.61 ,9.37 ,0.11 ,26.66 
昆明,5.63 ,15.99 ,3.75 ,4.22 ,0.11 ,9.56 
南宁,12.96 ,17.89 ,2.71 ,7.01 ,0.13 ,18.01 
深圳,7.10 ,9.27 ,1.57 ,7.47 ,0.09 ,16.25 
