日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2014-01-01,中度污染,168,163,144,179,61,99,1.71,27
2014-01-02,中度污染,166,130,111,129,36,93,1.49,31
2014-01-03,中度污染,182,122,142,163,55,95,1.41,25
2014-01-04,轻度污染,144,115,113,123,36,62,1.19,23
2014-01-05,良,64,5,46,59,24,63,0.99,17
2014-01-06,优,44,4,30,40,19,49,0.83,33
2014-01-07,良,63,19,45,51,17,58,0.94,32
2014-01-08,良,53,38,37,36,16,37,0.69,43
2014-01-09,良,52,19,28,55,18,28,0.63,49
2014-01-10,良,68,21,45,77,25,46,0.79,39
2014-01-11,良,61,18,43,54,21,43,0.75,47
2014-01-12,轻度污染,108,100,80,90,28,47,0.92,48
2014-01-13,良,72,52,53,59,24,32,0.71,49
2014-01-14,优,30,1,19,28,18,38,0.63,40
2014-01-15,优,43,3,29,41,19,43,0.63,45
2014-01-16,轻度污染,103,43,77,90,25,67,1.02,32
2014-01-17,轻度污染,126,54,95,109,34,89,1.33,15
2014-01-18,重度污染,207,117,160,174,41,54,1.32,49
2014-01-19,中度污染,158,87,119,131,32,61,1.34,39
2014-01-20,重度污染,234,180,187,242,60,75,1.79,25
2014-01-21,良,72,47,47,89,27,42,0.89,37
2014-01-22,良,67,15,48,58,35,58,0.98,30
2014-01-24,优,43,3,27,38,19,41,0.55,45
2014-01-25,轻度污染,133,101,105,125,27,45,0.96,45
2014-01-26,良,52,17,29,48,15,24,0.55,58
2014-01-27,优,34,3,18,33,13,43,0.65,35
2014-01-28,良,69,59,49,65,24,42,0.84,42
2014-01-29,良,79,63,57,68,14,46,0.77,40
2014-01-30,重度污染,237,143,188,161,27,49,1.58,38
2014-01-31,中度污染,180,68,141,106,17,26,1.1,88
2014-02-01,良,89,64,65,68,14,44,0.74,59
2014-02-02,重度污染,230,136,185,216,12,39,1.82,25
2014-02-03,良,72,87,45,58,10,19,0.64,62
2014-02-04,优,39,24,18,36,12,13,0.44,69
2014-02-05,优,31,12,14,22,11,19,0.45,59
2014-02-06,优,25,20,7,7,9,23,0.45,51
2014-02-07,优,27,14,9,9,10,23,0.55,55
2014-02-08,良,58,68,40,45,17,23,0.84,57
2014-02-09,良,63,109,45,53,17,21,0.7,59
2014-02-10,优,38,28,26,33,13,22,0.64,54
2014-02-11,优,49,11,34,41,16,28,0.69,51
2014-02-12,优,36,4,24,28,13,29,0.71,57
2014-02-13,优,39,22,22,33,11,23,0.58,70
2014-02-14,良,58,15,40,55,15,32,0.73,69
2014-02-15,优,41,1,28,36,14,35,0.52,63
2014-02-16,优,31,1,19,20,9,37,0.52,53
2014-02-17,优,39,15,25,23,11,41,0.69,36
2014-02-18,优,36,28,23,25,11,27,0.74,61
2014-02-19,良,79,78,58,67,23,51,1.12,31
2014-02-20,中度污染,197,170,149,150,62,67,1.66,27
2014-02-21,轻度污染,134,90,101,114,32,46,0.86,91
2014-02-22,良,77,26,56,57,16,39,0.72,70
2014-02-23,轻度污染,113,77,85,95,23,42,0.85,80
2014-02-24,轻度污染,111,55,83,68,15,55,0.92,51
2014-02-25,优,47,23,20,9,10,30,0.63,80
2014-02-26,良,70,48,46,54,9,47,0.96,74
2014-02-27,轻度污染,127,157,96,107,29,84,1.34,33
2014-02-28,轻度污染,108,169,81,89,12,43,1.07,67
2014-03-01,优,41,19,26,38,10,45,0.61,57
2014-03-02,良,72,64,51,78,21,38,0.85,77
2014-03-03,良,59,42,34,61,14,36,0.65,84
2014-03-04,优,37,11,23,36,16,51,0.71,52
2014-03-05,良,55,42,36,54,14,29,0.67,82
2014-03-06,优,44,20,22,40,14,31,0.6,74
2014-03-07,优,40,26,20,36,13,36,0.55,69
2014-03-08,优,47,27,30,43,11,36,0.53,71
2014-03-09,轻度污染,107,127,80,100,31,75,1.01,43
2014-03-10,重度污染,201,179,151,171,35,79,1.31,56
2014-03-11,良,78,40,51,94,20,36,0.62,90
2014-03-12,优,40,7,27,29,13,45,0.73,44
2014-03-13,良,58,31,35,65,19,42,0.64,58
2014-03-14,轻度污染,106,152,79,119,39,83,1.02,43
2014-03-15,轻度污染,113,133,85,125,29,72,0.78,71
2014-03-16,良,94,69,69,107,23,56,0.74,87
2014-03-17,轻度污染,106,73,79,111,24,69,1.02,74
2014-03-18,中度污染,181,134,136,200,35,90,1.4,75
2014-03-19,轻度污染,121,137,68,187,13,43,0.77,76
2014-03-20,良,88,128,61,97,17,37,0.76,84
2014-03-21,良,59,29,25,67,14,45,0.55,68
2014-03-22,良,65,34,40,75,16,51,0.59,81
2014-03-23,良,54,10,30,56,11,27,0.45,95
2014-03-25,良,84,55,61,80,20,78,1.11,23
2014-03-26,轻度污染,112,101,84,99,23,67,1.23,47
2014-03-27,良,58,21,40,55,10,47,0.59,67
2014-03-28,良,55,29,38,41,8,37,0.64,77
2014-03-29,良,90,98,67,74,16,64,1.22,21
2014-03-30,轻度污染,129,156,97,117,23,48,1.04,82
2014-03-31,良,81,84,59,67,14,46,0.64,99
2014-04-01,良,67,54,46,60,12,43,0.67,92
2014-04-02,良,63,46,45,62,15,52,0.58,68
2014-04-03,良,68,66,47,62,15,44,0.55,91
2014-04-04,良,74,64,46,93,26,61,0.67,74
2014-04-05,良,87,109,59,104,24,54,0.7,74
2014-04-06,优,50,11,18,52,10,30,0.37,84
