Time,City,质量等级,当天AQI排名,AQI指数,PM2.5,PM10,So2,No2,Co,O3,lrad,prec,pres,shum,srad,temp,wind
2014-01-01,乌鲁木齐,重度污染,187,242,144,206,48,90,3.78,8,162.75,0.0,80386.0,0.0006540007889270782,85.25,258.17999267578125,1.6879959106445312
2014-01-02,乌鲁木齐,中度污染,142,176,133,178,38,82,3.43,6,172.5,0.0,80386.0,0.0006850007921457291,83.25,260.3899841308594,1.813995361328125
2014-01-03,乌鲁木齐,重度污染,167,249,198,286,71,93,4.19,7,176.25,0.0,80394.0,0.0012670010328292847,87.0,261.4599914550781,2.411998748779297
2014-01-04,乌鲁木齐,严重污染,183,252,201,251,105,101,2.54,6,217.25,0.0,80386.0,0.0012810006737709045,44.5,260.3500061035156,1.2699966430664062
2014-01-05,乌鲁木齐,轻度污染,73,137,101,157,41,73,2.01,8,215.0,0.022502899169921875,80386.0,0.0009260009974241257,31.0,256.30999755859375,1.1619987487792969
2014-01-06,乌鲁木齐,轻度污染,70,139,105,145,53,64,1.8,9,208.75,0.00250244140625,80386.0,0.0006349999457597733,26.75,253.37998962402344,1.003997802734375
2014-01-07,乌鲁木齐,中度污染,138,184,139,187,60,69,2.95,6,156.0,0.0,80386.0,0.00032300129532814026,79.25,252.1699981689453,1.5159988403320312
2014-01-08,乌鲁木齐,中度污染,177,181,138,185,82,69,2.31,7,165.0,0.0,80386.0,0.0004559997469186783,71.0,251.0,1.1279983520507812
2014-01-09,乌鲁木齐,重度污染,188,244,190,273,69,78,3.85,7,159.5,0.0,80386.0,0.0003350004553794861,79.75,254.05999755859375,0.6519966125488281
2014-01-10,乌鲁木齐,严重污染,186,291,201,319,41,71,4.59,6,178.25,0.0,80386.0,0.000520000234246254,80.5,259.7699890136719,2.0579986572265625
2014-01-11,乌鲁木齐,重度污染,153,213,148,304,41,45,3.83,7,178.0,0.0,80386.0,0.0012420006096363068,84.75,259.3299865722656,2.8219985961914062
2014-01-12,乌鲁木齐,中度污染,143,155,106,217,55,42,2.28,9,173.75,0.0,80386.0,0.001013999804854393,89.75,259.7699890136719,2.259998321533203
2014-01-13,乌鲁木齐,轻度污染,144,132,73,199,40,43,2.17,6,179.0,0.0,80386.0,0.0007370002567768097,80.0,258.739990234375,1.115997314453125
2014-01-14,乌鲁木齐,严重污染,180,266,156,377,36,45,3.67,7,178.5,0.0,80386.0,0.0011050011962652206,85.5,259.75,1.1719970703125
2014-01-15,乌鲁木齐,严重污染,176,323,235,401,51,59,4.72,8,187.75,0.0,80386.0,0.001214001327753067,78.0,259.75,1.3779983520507812
2014-01-16,乌鲁木齐,重度污染,143,229,157,272,53,66,3.99,8,180.0,0.0,80390.0,0.0012590009719133377,93.75,261.8999938964844,1.1759986877441406
2014-01-17,乌鲁木齐,轻度污染,72,145,104,189,43,67,2.93,10,226.0,0.060001373291015625,80386.0,0.0015639998018741608,38.5,260.16998291015625,1.3799972534179688
2014-01-18,乌鲁木齐,良,41,99,60,120,18,52,1.81,13,177.75,0.00250244140625,80388.0,0.0009640008211135864,97.0,261.29998779296875,1.8419990539550781
