Time,City,质量等级,当天AQI排名,AQI指数,PM2.5,PM10,So2,No2,Co,O3,lrad,prec,pres,shum,srad,temp,wind
2014/1/1,兰州,中度污染,155,162,120,214,52,38,1.76,20,224.25,0,79816,0.000951,83.5,266.2599792,2.581996918
2014/1/2,兰州,轻度污染,78,128,77,154,49,28,1.6,21,210,0,79846,0.001325,100,266.9599915,3.039997101
2014/1/3,兰州,轻度污染,55,101,69,141,52,33,1.53,20,195,0,79848,0.000784,117.5,265.8599854,1.089996338
2014/1/4,兰州,轻度污染,94,122,92,164,51,37,1.58,20,195,0.007499695,79884,0.000937,123.25,266.6000061,1.943996429
2014/1/5,兰州,轻度污染,46,116,87,162,53,35,1.74,18,207,0,79896,0.001307001,114,268.269989,2.325996399
2014/1/6,兰州,良,36,98,62,134,38,26,1.3,36,194.5,0,79804,0.000913,122.75,266.3800049,3.229995728
2014/1/7,兰州,良,6,52,15,56,22,26,1.26,38,194,0,79740,0.000868,111.75,264.1600037,3.281997681
2014/1/8,兰州,优,29,49,23,55,28,35,1.47,35,179.5,0,79736,0.001031,125.75,261.3999939,2.447998047
2014/1/9,兰州,良,122,84,53,116,43,51,2.29,25,190,0.002502441,79782,0.000875,125.25,264.8699951,1.879997253
2014/1/10,兰州,良,56,85,55,118,37,47,1.69,26,188.25,0,79786,0.000947,130.25,265,2.90599823
2014/1/11,兰州,良,33,73,40,94,30,37,1.49,28,201.75,0,79768,0.000822,102.75,263.3899841,2.101997375
2014/1/12,兰州,良,67,82,50,113,44,45,1.94,22,185.25,0,79786,0.000821,130,263.7399902,1.689998627
2014/1/13,兰州,轻度污染,98,105,74,150,45,52,2.35,21,194.25,0,79900,0.000837,130.75,267.1999817,2.741996765
2014/1/14,兰州,轻度污染,75,102,74,147,55,48,2.21,24,196,0,79856,0.00103,131.75,266.8800049,1.797996521
2014/1/15,兰州,中度污染,119,184,292,148,44,51,2.27,26,197.25,0,79882,0.001211001,130.75,267.4499817,3.013996124
2014/1/16,兰州,轻度污染,57,117,83,160,54,61,2.11,55,195.75,0,79908,0.000745,135.75,268.2299805,2.087997437
2014/1/17,兰州,轻度污染,62,135,101,199,51,53,1.99,21,195.5,0.002502441,79898,0.000925001,136.75,267.3099976,1.283996582
2014/1/18,兰州,轻度污染,74,139,97,190,37,47,1.98,32,198,0,79898,0.001001,139.25,269.0299988,4.777996063
2014/1/19,兰州,轻度污染,81,142,51,231,27,27,1.3,45,211,0,79866,0.000858,117.75,267.6699829,2.743995667
2014/1/20,兰州,轻度污染,81,123,86,168,44,50,2.36,24,203.25,0,79942,0.002299,137,268.1699829,2.41399765
2014/1/21,兰州,轻度污染,145,115,87,135,47,55,2.28,26,199.25,0,79958,0.000779001,143,268.8699951,1.245998383
2014/1/22,兰州,轻度污染,144,132,100,142,51,68,2.79,27,213.5,0.002502441,80232,0.000831001,144.5,274.1699829,1.995998383
2014/1/24,兰州,良,41,75,36,99,28,31,1.14,37,207,0,79990,0.001501,145.25,270.2599792,2.275997162
2014/1/25,兰州,良,39,73,49,82,37,45,1.54,33,204.75,0,80004,0.001118001,145.5,270.2099915,2.363998413
2014/1/26,兰州,良,112,100,74,113,49,55,2.62,22,215.75,0,80168,0.000906,144,273.25,3.173995972
2014/1/27,兰州,良,95,92,66,103,31,41,2.18,33,216.25,0,80074,0.001291001,140.25,271.9400024,3.077999115
2014/1/28,兰州,良,65,71,51,75,37,46,1.6,37,210,0,80032,0.001276001,147,271.0799866,2.17199707
2014/1/29,兰州,轻度污染,133,136,85,155,42,58,2.04,41,221.75,0.002502441,80188,0.001582,145.25,273.9199829,2.861995697
2014/1/30,兰州,轻度污染,58,104,71,128,44,54,1.93,45,217.25,0,80302,0.000640001,154.25,275.5899963,2.071998596
2014/1/31,兰州,中度污染,49,153,115,158,55,56,2.28,41,217.5,0,80274,0.000846,158.75,275.2299805,1.981998444
