日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2014-01-01,中度污染,162,155,120,214,52,38,1.76,20
2014-01-02,轻度污染,128,78,77,154,49,28,1.6,21
2014-01-03,轻度污染,101,55,69,141,52,33,1.53,20
2014-01-04,轻度污染,122,94,92,164,51,37,1.58,20
2014-01-05,轻度污染,116,46,87,162,53,35,1.74,18
2014-01-06,良,98,36,62,134,38,26,1.3,36
2014-01-07,良,52,6,15,56,22,26,1.26,38
2014-01-08,优,49,29,23,55,28,35,1.47,35
2014-01-09,良,84,122,53,116,43,51,2.29,25
2014-01-10,良,85,56,55,118,37,47,1.69,26
2014-01-11,良,73,33,40,94,30,37,1.49,28
2014-01-12,良,82,67,50,113,44,45,1.94,22
2014-01-13,轻度污染,105,98,74,150,45,52,2.35,21
2014-01-14,轻度污染,102,75,74,147,55,48,2.21,24
2014-01-15,中度污染,184,119,292,148,44,51,2.27,26
2014-01-16,轻度污染,117,57,83,160,54,61,2.11,55
2014-01-17,轻度污染,135,62,101,199,51,53,1.99,21
2014-01-18,轻度污染,139,74,97,190,37,47,1.98,32
2014-01-19,轻度污染,142,81,51,231,27,27,1.3,45
2014-01-20,轻度污染,123,81,86,168,44,50,2.36,24
2014-01-21,轻度污染,115,145,87,135,47,55,2.28,26
2014-01-22,轻度污染,132,144,100,142,51,68,2.79,27
2014-01-24,良,75,41,36,99,28,31,1.14,37
2014-01-25,良,73,39,49,82,37,45,1.54,33
2014-01-26,良,100,112,74,113,49,55,2.62,22
2014-01-27,良,92,95,66,103,31,41,2.18,33
2014-01-28,良,71,65,51,75,37,46,1.6,37
2014-01-29,轻度污染,136,133,85,155,42,58,2.04,41
2014-01-30,轻度污染,104,58,71,128,44,54,1.93,45
2014-01-31,中度污染,153,49,115,158,55,56,2.28,41
2014-02-01,轻度污染,105,82,78,106,48,52,2.05,43
2014-02-02,轻度污染,114,74,85,129,40,46,2.25,38
2014-02-03,良,72,89,22,94,22,19,0.76,49
2014-02-04,良,69,131,37,86,30,25,1.06,36
2014-02-05,良,72,139,38,93,23,15,0.82,29
2014-02-06,良,77,136,46,103,20,14,0.78,34
2014-02-07,轻度污染,106,151,61,160,23,21,1.26,35
2014-02-08,良,93,142,66,123,23,15,0.74,45
2014-02-09,优,48,78,31,46,15,12,0.58,51
2014-02-10,良,80,145,58,72,19,24,1.15,40
2014-02-11,良,87,108,64,86,20,24,1.05,41
2014-02-12,良,69,42,49,70,15,19,0.75,47
2014-02-13,良,99,103,74,94,20,30,1.37,39
2014-02-14,轻度污染,118,100,88,111,30,45,1.55,44
2014-02-15,轻度污染,103,57,77,102,43,45,1.83,34
2014-02-16,良,92,93,68,83,29,37,1.61,35
2014-02-17,良,99,127,74,89,38,45,1.48,47
2014-02-18,良,97,154,66,101,43,52,2.26,36
2014-02-19,良,79,79,53,98,49,69,2.07,31
2014-02-20,良,98,91,72,138,47,71,2.73,26
2014-02-21,良,89,48,65,109,38,64,1.62,53
2014-02-22,良,99,55,74,120,33,55,1.87,45
2014-02-23,良,100,57,74,123,33,51,1.91,35
2014-02-24,良,87,42,63,103,26,44,1.47,36
2014-02-25,轻度污染,105,84,66,135,23,41,1.56,38
2014-02-26,中度污染,170,143,160,184,15,21,0.56,64
2014-02-27,良,93,103,40,135,25,56,1.34,27
2014-02-28,良,92,150,32,133,20,26,0.72,57
2014-03-01,良,94,142,41,136,29,42,1.19,53
2014-03-02,良,85,87,40,118,22,37,0.85,53
2014-03-03,良,88,97,42,123,18,34,1.03,47
2014-03-04,良,86,121,29,121,20,39,0.82,50
2014-03-05,轻度污染,105,153,38,147,25,40,0.78,66
2014-03-06,良,94,146,41,124,34,44,0.96,86
2014-03-07,良,88,136,47,102,24,34,1.06,92
2014-03-08,轻度污染,105,132,62,146,30,56,1.45,97
2014-03-09,轻度污染,109,130,69,164,41,73,1.95,38
2014-03-10,轻度污染,101,98,64,148,35,60,1.65,31
2014-03-11,良,91,67,33,131,21,26,0.78,45
2014-03-12,良,85,101,27,120,18,18,0.47,55
2014-03-13,良,94,147,44,137,31,56,1.01,34
2014-03-14,轻度污染,120,171,64,189,41,75,1.76,30
2014-03-15,轻度污染,130,155,79,204,53,87,2.23,33
2014-03-16,轻度污染,114,106,66,172,41,64,1.72,40
2014-03-17,轻度污染,107,77,46,163,24,42,0.96,41
2014-03-18,轻度污染,130,90,66,208,35,56,1.41,49
2014-03-19,轻度污染,146,169,65,241,29,33,0.63,62
2014-03-20,良,80,100,28,110,23,32,0.61,40
2014-03-21,良,88,140,37,125,22,46,1.07,39
2014-03-22,良,65,33,30,80,14,30,1.02,29
2014-03-23,良,69,37,38,86,21,43,1.5,28
