Time,City,质量等级,当天AQI排名,AQI指数,PM2.5,PM10,So2,No2,Co,O3,lrad,prec,pres,shum,srad,temp,wind
2014-01-01,北京,良,31,86,44,110,27,62,1.48,27,232.75,0.0,100748.0,0.0015719998627901077,92.75,277.1000061035156,1.9719963073730469
2014-01-02,北京,轻度污染,65,117,110,166,71,92,3.4,8,237.25,0.0,100748.0,0.002062000334262848,86.5,276.239990234375,2.4899978637695312
2014-01-03,北京,良,29,80,46,97,28,52,1.3,32,226.75,0.0,100748.0,0.0016559995710849762,94.5,275.3999938964844,2.1639976501464844
2014-01-04,北京,中度污染,127,153,116,149,40,76,2.84,4,231.75,0.0,100748.0,0.002380000427365303,75.75,271.22998046875,1.4599990844726562
2014-01-05,北京,轻度污染,48,119,89,116,35,67,2.29,15,225.25,0.0,100748.0,0.0017820000648498535,93.25,274.29998779296875,2.109996795654297
2014-01-06,北京,中度污染,112,184,139,160,46,68,2.38,4,284.25,0.0,100748.0,0.002576000988483429,25.0,271.6399841308594,1.39599609375
2014-01-07,北京,轻度污染,116,143,110,124,34,59,1.97,20,263.25,0.0,100748.0,0.0011590011417865753,53.75,274.2699890136719,3.779998779296875
2014-01-08,北京,优,1,29,15,25,13,21,0.51,43,201.75,0.0,100748.0,0.0005080010741949081,98.0,270.42999267578125,2.9499969482421875
2014-01-09,北京,优,4,43,26,45,19,34,0.8,35,192.5,0.0,100748.0,0.0004370007663965225,102.5,268.22998046875,2.079998016357422
2014-01-10,北京,良,59,87,63,94,53,70,1.89,9,198.25,0.0,100748.0,0.0005830004811286926,100.5,269.29998779296875,1.5319976806640625
2014-01-11,北京,轻度污染,124,143,109,131,77,92,2.8,8,210.75,0.0,100748.0,0.0006980001926422119,103.25,272.9599914550781,2.1859970092773438
2014-01-12,北京,优,6,42,23,42,25,36,0.69,39,200.5,0.0,100748.0,0.0005240011960268021,105.0,270.2200012207031,1.8939971923828125
2014-01-13,北京,轻度污染,113,110,82,107,66,78,2.3,9,206.5,0.0,100748.0,0.0010740011930465698,101.5,270.1499938964844,1.5319976806640625
2014-01-14,北京,轻度污染,84,109,82,108,67,75,2.37,12,206.25,0.0,100748.0,0.0012490004301071167,99.5,269.3899841308594,1.1959953308105469
2014-01-15,北京,轻度污染,104,148,122,149,74,91,2.8,10,218.25,0.0,100748.0,0.0014810003340244293,99.5,271.75,1.503997802734375
2014-01-16,北京,严重污染,183,381,343,376,110,122,4.45,9,251.0,0.0,100748.0,0.0022710002958774567,70.0,272.8699951171875,1.8699989318847656
2014-01-17,北京,重度污染,134,211,169,200,67,76,2.51,12,223.75,0.0,100748.0,0.0017440002411603928,91.25,271.47998046875,2.1599960327148438
2014-01-18,北京,轻度污染,48,104,77,84,43,62,1.57,21,227.0,0.0,100748.0,0.001867000013589859,95.25,273.0799865722656,2.095996856689453
