Time,City,质量等级,当天AQI排名,AQI指数,PM2.5,PM10,So2,No2,Co,O3,lrad,prec,pres,shum,srad,temp,wind
2014-01-01,南京,中度污染,159,165,131,244,44,95,1.9,25,255.75,0.0,101304.0,0.0028460007160902023,132.5,280.3399963378906,1.4579963684082031
2014-01-02,南京,中度污染,161,193,158,286,75,126,2.31,20,272.75,0.0,101304.0,0.0030000004917383194,131.25,284.1999816894531,1.839996337890625
2014-01-03,南京,严重污染,171,258,204,354,78,112,2.1,16,284.75,0.0,101304.0,0.0033059995621442795,106.25,282.2699890136719,2.4079971313476562
2014-01-04,南京,重度污染,175,217,169,282,58,78,1.71,12,316.0,0.0,101304.0,0.004189999774098396,35.75,277.9599914550781,1.4099960327148438
2014-01-05,南京,严重污染,174,255,205,333,55,96,2.13,14,267.75,0.0,101304.0,0.0038479994982481003,113.25,279.0899963378906,2.625995635986328
2014-01-06,南京,中度污染,91,165,129,209,52,67,1.25,42,273.75,0.0149993896484375,101304.0,0.004382001236081123,126.5,281.7799987792969,6.0019989013671875
2014-01-07,南京,轻度污染,82,104,77,110,24,55,1.03,18,332.75,0.2999992370605469,101304.0,0.006089000031352043,34.0,280.8299865722656,3.053997039794922
2014-01-08,南京,良,96,77,56,68,15,38,1.03,34,311.5,0.16500091552734375,101304.0,0.004324000328779221,33.5,276.75,3.5499954223632812
2014-01-09,南京,良,53,65,40,79,25,44,0.7,32,240.5,0.0,101304.0,0.0027680005878210068,127.75,274.7900085449219,2.2299957275390625
2014-01-10,南京,轻度污染,107,112,84,141,42,70,0.93,24,254.5,0.00250244140625,101304.0,0.0032870005816221237,123.25,277.3399963378906,3.609996795654297
2014-01-11,南京,轻度污染,107,126,96,145,48,75,1.19,14,314.25,0.0475006103515625,101304.0,0.004521999508142471,36.25,277.55999755859375,2.75799560546875
2014-01-12,南京,中度污染,160,175,134,184,52,68,1.29,29,288.75,0.00250244140625,101304.0,0.00399400107562542,81.0,278.3399963378906,2.4759979248046875
2014-01-13,南京,中度污染,159,156,122,182,45,61,0.98,19,294.75,0.0,101304.0,0.0031240005046129227,49.0,275.17999267578125,2.9099960327148438
2014-01-14,南京,良,72,98,73,124,51,75,0.93,20,252.25,0.0,101304.0,0.002871999517083168,119.0,275.6000061035156,1.7719955444335938
2014-01-15,南京,轻度污染,64,110,82,133,43,74,0.75,33,240.5,0.0,101304.0,0.002727000042796135,139.0,276.05999755859375,3.0159988403320312
2014-01-16,南京,轻度污染,64,121,91,148,43,89,1.07,25,252.75,0.0,101304.0,0.0032870005816221237,139.5,278.69000244140625,1.5999984741210938
2014-01-17,南京,中度污染,121,194,147,239,47,103,1.6,31,264.75,0.0,101304.0,0.0035120006650686264,129.75,279.6399841308594,2.467998504638672
2014-01-18,南京,严重污染,181,349,299,395,70,80,2.07,27,302.75,0.0,101304.0,0.0034549999982118607,39.75,275.3899841308594,1.8879966735839844
2014-01-19,南京,严重污染,177,327,276,371,66,87,2.04,40,262.5,0.0,101304.0,0.0033170003443956375,119.5,278.19000244140625,1.951995849609375
2014-01-20,南京,中度污染,150,189,122,263,42,59,1.05,41,242.25,0.005001068115234375,101304.0,0.0017569996416568756,142.5,277.2200012207031,2.6859970092773438
2014-01-21,南京,良,102,90,46,128,45,59,0.8,35,223.0,0.02500152587890625,101304.0,0.001536000519990921,155.5,273.9499816894531,1.9399986267089844
