Time,City,质量等级,当天AQI排名,AQI指数,PM2.5,PM10,So2,No2,Co,O3,lrad,prec,pres,shum,srad,temp,wind
2014-01-01,南宁,重度污染,180,209,154,223,61,85,2.09,61,287.5,0.0,100172.0,0.0056950002908706665,175.5,283.8500061035156,1.1939964294433594
2014-01-02,南宁,中度污染,164,194,138,187,40,71,1.59,82,321.5,0.0,100188.0,0.008253000676631927,164.5,287.8500061035156,1.5219955444335938
2014-01-03,南宁,中度污染,123,184,139,186,33,75,1.53,61,363.5,0.0,100194.0,0.008867001160979271,82.0,289.19000244140625,1.4839973449707031
2014-01-04,南宁,重度污染,171,206,157,215,48,80,1.69,56,306.0,0.0,100180.0,0.0065470002591609955,163.0,285.6499938964844,1.1579971313476562
2014-01-05,南宁,重度污染,141,202,152,216,43,75,1.59,74,321.5,0.00250244140625,100194.0,0.007344000041484833,168.25,288.9700012207031,2.191997528076172
2014-01-06,南宁,中度污染,97,169,128,171,24,48,1.47,92,391.25,0.005001068115234375,100202.0,0.011655000038444996,48.75,291.4100036621094,2.9179954528808594
2014-01-07,南宁,轻度污染,94,118,89,119,17,38,1.21,67,400.0,0.00749969482421875,100208.0,0.012508000247180462,46.5,292.6499938964844,2.4219970703125
2014-01-08,南宁,良,117,86,64,89,41,39,1.62,57,359.75,0.0,100182.0,0.00704600103199482,48.5,286.1600036621094,1.7079963684082031
2014-01-09,南宁,轻度污染,146,111,84,105,32,36,1.25,56,348.75,0.00250244140625,100176.0,0.00571100041270256,50.25,284.3999938964844,0.9459953308105469
2014-01-10,南宁,中度污染,142,162,123,179,41,57,1.58,36,351.75,0.005001068115234375,100178.0,0.00713299959897995,53.5,284.8899841308594,0.9499969482421875
2014-01-11,南宁,中度污染,137,168,127,163,29,54,1.84,23,355.5,0.022502899169921875,100178.0,0.007903000339865685,48.25,285.1099853515625,1.5739974975585938
2014-01-12,南宁,良,40,65,47,63,23,32,1.51,35,349.5,0.0,100172.0,0.006095999851822853,39.5,283.5299987792969,1.7619972229003906
2014-01-13,南宁,良,48,70,50,75,27,37,1.15,49,336.0,0.0175018310546875,100162.0,0.005222000181674957,41.5,280.94000244140625,2.2199974060058594
2014-01-14,南宁,良,68,94,70,115,34,58,1.23,40,261.75,0.0,100158.0,0.004475999623537064,193.5,280.2599792480469,1.6099967956542969
2014-01-15,南宁,轻度污染,83,132,100,161,51,70,2.03,61,270.5,0.0,100164.0,0.004579000174999237,186.0,281.3899841308594,1.1279983520507812
2014-01-16,南宁,中度污染,106,159,120,185,37,83,1.81,42,308.5,0.0,100174.0,0.00619100034236908,142.0,283.92999267578125,1.1079978942871094
2014-01-17,南宁,中度污染,94,170,128,195,36,77,1.84,43,308.0,0.0,100178.0,0.006409000605344772,158.5,285.1399841308594,1.4799957275390625
2014-01-18,南宁,中度污染,94,172,130,203,39,73,1.86,40,287.25,0.0,100172.0,0.005459999665617943,181.25,283.44000244140625,1.2459983825683594
2014-01-19,南宁,中度污染,111,186,141,226,37,84,1.86,45,288.5,0.0,100174.0,0.0057040005922317505,189.25,284.2799987792969,1.0979957580566406
2014-01-20,南宁,中度污染,152,190,144,220,44,77,1.88,50,294.0,0.0,100180.0,0.00560699962079525,190.0,285.7200012207031,2.161998748779297
2014-01-21,南宁,轻度污染,169,136,102,173,44,58,1.34,51,269.5,0.0,100168.0,0.0038559995591640472,199.25,282.6499938964844,1.7159957885742188
2014-01-22,南宁,轻度污染,161,145,109,203,76,79,1.84,47,265.25,0.0,100164.0,0.0037820003926753998,199.25,281.67999267578125,1.0559959411621094
2014-01-24,南宁,良,57,87,64,99,21,40,1.02,76,357.25,0.0,100186.0,0.00812700018286705,76.0,287.3399963378906,1.8779983520507812
2014-01-25,南宁,轻度污染,88,119,89,125,17,56,1.3,27,367.0,0.0,100186.0,0.008875001221895218,51.75,287.1600036621094,1.1319961547851562
2014-01-26,南宁,重度污染,172,228,177,217,24,62,1.9,32,374.25,0.0,100192.0,0.009271999821066856,53.5,288.6099853515625,0.9739990234375
2014-01-27,南宁,中度污染,155,179,137,170,20,48,1.61,43,361.0,0.0,100200.0,0.009875000454485416,124.75,290.3999938964844,2.115997314453125
2014-01-28,南宁,良,75,76,55,72,10,23,0.98,72,383.0,0.0,100198.0,0.010346000082790852,60.0,290.3399963378906,1.6799964904785156
2014-01-29,南宁,良,59,78,56,75,27,26,1.34,79,353.5,0.0,100200.0,0.010436000302433968,150.75,290.6300048828125,1.4499969482421875
2014-01-30,南宁,良,29,80,58,83,13,25,1.18,64,337.25,0.0,100198.0,0.00938700046390295,182.0,290.1600036621094,1.4719963073730469
2014-01-31,南宁,重度污染,103,221,200,300,49,25,1.1,69,329.5,0.0,100200.0,0.008413000032305717,202.25,290.5899963378906,1.6799964904785156
2014-02-01,南宁,良,37,67,48,61,10,18,0.9,70,343.25,0.0,100200.0,0.009588000364601612,173.0,290.44000244140625,1.7199974060058594
2014-02-02,南宁,良,20,58,41,55,10,23,0.9,57,360.5,0.0,100200.0,0.010100000537931919,130.5,290.6099853515625,1.2559967041015625
2014-02-03,南宁,良,100,76,55,77,16,35,1.07,42,390.0,0.0,100204.0,0.010591000318527222,63.25,291.7200012207031,1.0439987182617188
2014-02-04,南宁,良,141,78,57,77,13,29,1.03,54,369.0,0.0,100212.0,0.010816000401973724,160.0,293.67999267578125,2.263996124267578
2014-02-05,南宁,良,105,53,31,47,33,16,1.17,85,387.75,0.0,100212.0,0.01279400009661913,116.0,293.6000061035156,3.1819992065429688
2014-02-06,南宁,优,48,34,23,30,8,15,1.0,54,396.75,0.005001068115234375,100212.0,0.013611000031232834,91.0,293.7799987792969,2.4379959106445312
2014-02-07,南宁,优,69,44,30,43,9,21,1.08,33,367.5,0.02500152587890625,100186.0,0.007978999987244606,49.0,287.0299987792969,1.8299980163574219
2014-02-08,南宁,良,70,59,42,56,9,25,1.2,29,341.5,0.02500152587890625,100168.0,0.006389999762177467,55.0,282.5199890136719,1.25799560546875
2014-02-09,南宁,优,48,39,26,33,7,23,1.2,23,333.0,0.0175018310546875,100162.0,0.005470000207424164,57.75,281.19000244140625,1.8979988098144531
2014-02-10,南宁,良,118,62,45,61,16,18,1.17,55,323.5,0.0,100156.0,0.0038270000368356705,60.0,279.5299987792969,1.9499969482421875
2014-02-11,南宁,良,117,94,69,86,23,22,1.19,64,326.0,0.0,100158.0,0.003583000972867012,60.75,280.0899963378906,1.5179977416992188
2014-02-12,南宁,轻度污染,126,117,87,110,35,33,1.76,64,316.25,0.02500152587890625,100148.0,0.004580000415444374,60.75,277.75,1.58599853515625
2014-02-13,南宁,良,62,72,52,64,13,26,1.13,42,320.75,0.0,100158.0,0.0041860006749629974,75.75,280.1999816894531,1.7979965209960938
2014-02-14,南宁,良,60,91,67,92,20,29,1.03,55,316.25,0.0,100166.0,0.0038160011172294617,112.25,282.239990234375,0.9339981079101562
2014-02-15,南宁,轻度污染,95,128,96,126,21,38,1.17,45,339.25,0.01000213623046875,100166.0,0.005501000210642815,59.75,282.1099853515625,1.2979965209960938
