Time,City,质量等级,当天AQI排名,AQI指数,PM2.5,PM10,So2,No2,Co,O3,lrad,prec,pres,shum,srad,temp,wind
2014-01-01,南昌,轻度污染,133,145,120,191,58,73,1.87,25,266.5,0.0,101188.0,0.003776000812649727,147.75,282.3599853515625,1.1779975891113281
2014-01-02,南昌,中度污染,136,171,130,193,54,72,1.87,29,282.75,0.0,101188.0,0.00441800057888031,143.0,284.7599792480469,1.1279983520507812
2014-01-03,南昌,轻度污染,89,138,103,165,43,59,1.51,33,326.5,0.0,101188.0,0.003073999658226967,77.75,286.1099853515625,2.1019973754882812
2014-01-04,南昌,良,51,95,68,128,46,38,1.07,38,265.75,0.0,101188.0,0.0029969997704029083,151.75,283.17999267578125,1.503997802734375
2014-01-05,南昌,轻度污染,69,133,100,166,43,55,1.46,33,267.75,0.0,101188.0,0.0035130009055137634,148.0,282.79998779296875,1.2219963073730469
2014-01-06,南昌,轻度污染,69,139,105,161,43,52,1.35,33,343.25,0.032501220703125,101188.0,0.004615999758243561,43.25,284.03997802734375,1.3059959411621094
2014-01-07,南昌,轻度污染,101,127,96,116,25,42,1.5,22,338.75,0.25749969482421875,101188.0,0.006331000477075577,38.75,282.1499938964844,2.0259971618652344
2014-01-08,南昌,轻度污染,144,111,83,94,18,40,1.79,13,328.5,0.042499542236328125,101188.0,0.005242999643087387,37.75,280.1099853515625,2.6899986267089844
2014-01-09,南昌,轻度污染,138,101,75,89,29,33,1.37,25,277.75,0.0,101188.0,0.004236999899148941,116.75,279.44000244140625,1.6239967346191406
2014-01-10,南昌,良,23,69,49,69,31,30,1.01,23,286.25,0.05500030517578125,101188.0,0.004684999585151672,109.0,279.7799987792969,2.083995819091797
2014-01-11,南昌,优,4,41,29,32,13,24,0.86,27,319.25,0.1875,101188.0,0.005118001252412796,36.75,278.3599853515625,1.9099960327148438
2014-01-12,南昌,良,20,55,39,50,16,26,0.95,25,324.0,0.0,101188.0,0.004881000146269798,39.0,279.3699951171875,1.4079971313476562
2014-01-13,南昌,轻度污染,106,107,80,104,30,38,1.21,22,319.0,0.00749969482421875,101188.0,0.00444599986076355,43.25,278.8899841308594,1.5659980773925781
2014-01-14,南昌,中度污染,130,159,121,158,37,41,1.5,25,298.5,0.0,101188.0,0.0040090009570121765,68.25,277.8299865722656,1.947998046875
2014-01-15,南昌,轻度污染,69,116,88,112,35,35,1.16,37,254.5,0.0,101188.0,0.003428000956773758,153.75,279.2599792480469,1.4419975280761719
