Time,City,质量等级,当天AQI排名,AQI指数,PM2.5,PM10,So2,No2,Co,O3,lrad,prec,pres,shum,srad,temp,wind
2014-01-01,合肥,轻度污染,108,134,125,157,27,43,1.46,26,258.5,0.0,101048.0,0.003078000620007515,126.0,279.6499938964844,1.6399955749511719
2014-01-02,合肥,重度污染,173,207,169,218,47,58,2.15,22,272.0,0.0,101048.0,0.003066999837756157,121.5,282.3800048828125,1.5779991149902344
2014-01-03,合肥,中度污染,136,198,154,183,46,42,1.49,20,285.0,0.0,101048.0,0.0024510007351636887,93.0,280.8999938964844,3.389995574951172
2014-01-04,合肥,严重污染,185,253,202,252,50,49,2.53,19,290.25,0.0,101048.0,0.0035130009055137634,64.5,276.6399841308594,1.3179969787597656
2014-01-05,合肥,重度污染,163,243,195,228,55,56,2.42,24,254.25,0.0,101048.0,0.0030110012739896774,125.0,278.8599853515625,1.365997314453125
2014-01-06,合肥,重度污染,148,220,173,186,36,57,1.84,24,291.25,0.005001068115234375,101048.0,0.004029000177979469,100.0,282.03997802734375,2.0939979553222656
2014-01-07,合肥,轻度污染,118,145,110,70,19,37,1.32,25,324.5,0.38500213623046875,101048.0,0.005956999957561493,32.5,279.72998046875,2.161998748779297
2014-01-08,合肥,中度污染,181,192,152,96,21,30,1.64,31,306.5,0.095001220703125,101048.0,0.004437999799847603,30.75,275.91998291015625,2.0819969177246094
2014-01-09,合肥,良,135,98,73,57,18,27,0.92,21,274.75,0.17499923706054688,101048.0,0.0033240001648664474,67.5,273.6600036621094,1.5979957580566406
2014-01-10,合肥,轻度污染,115,120,91,104,18,36,1.27,22,263.75,0.0,101048.0,0.003402000293135643,107.5,277.1000061035156,1.891998291015625
2014-01-11,合肥,中度污染,129,152,115,118,22,42,1.38,16,314.75,0.01000213623046875,101048.0,0.004430999979376793,35.25,277.55999755859375,1.5419960021972656
2014-01-12,合肥,中度污染,171,196,149,134,21,34,1.32,28,263.0,0.0,101048.0,0.0038370005786418915,118.0,278.2900085449219,1.563995361328125
