Time,City,质量等级,当天AQI排名,AQI指数,PM2.5,PM10,So2,No2,Co,O3,lrad,prec,pres,shum,srad,temp,wind
2014-01-01,呼和浩特,轻度污染,136,146,61,175,95,65,6.35,15,198.25,0.0,88894.0,0.0013079997152090073,84.5,266.16998291015625,2.371997833251953
2014-01-02,呼和浩特,轻度污染,70,120,93,180,114,77,4.97,13,219.0,0.0,88894.0,0.001357000321149826,66.25,266.7699890136719,1.6259956359863281
2014-01-03,呼和浩特,轻度污染,57,103,68,152,79,61,4.36,18,210.0,0.0,88894.0,0.00137300044298172,71.5,265.54998779296875,2.7559967041015625
2014-01-04,呼和浩特,轻度污染,82,117,87,171,112,75,4.76,12,214.5,0.0,88894.0,0.0012660007923841476,66.25,265.29998779296875,2.0379981994628906
2014-01-05,呼和浩特,良,14,82,55,109,77,67,4.24,16,195.75,0.0,88894.0,0.0012069996446371078,89.0,266.4599914550781,3.0679969787597656
2014-01-06,呼和浩特,良,32,95,65,137,116,75,4.61,15,244.75,0.0,88894.0,0.0010950006544589996,50.0,268.9499816894531,4.269996643066406
2014-01-07,呼和浩特,优,4,49,15,53,51,27,2.64,38,194.25,0.0,88894.0,0.0007720012217760086,83.25,264.2699890136719,4.905998229980469
2014-01-08,呼和浩特,良,42,54,26,63,45,30,2.71,32,188.0,0.0,88894.0,0.00039499998092651367,72.25,258.8299865722656,2.901996612548828
2014-01-09,呼和浩特,良,64,67,38,83,77,57,3.74,19,194.5,0.0,88894.0,0.00044700130820274353,65.0,258.3699951171875,2.897998809814453
2014-01-10,呼和浩特,轻度污染,93,106,77,146,125,75,4.53,12,196.25,0.0,88894.0,0.0006170012056827545,71.25,260.5799865722656,2.8699989318847656
2014-01-11,呼和浩特,轻度污染,97,117,83,160,145,70,4.73,16,205.75,0.0,88894.0,0.0006310008466243744,68.25,262.67999267578125,3.1759986877441406
2014-01-12,呼和浩特,良,31,60,34,73,68,46,3.22,22,175.75,0.0,88894.0,0.000691000372171402,96.0,260.8699951171875,3.3999977111816406
2014-01-13,呼和浩特,良,76,88,62,118,113,72,4.57,18,213.75,0.0,88894.0,0.000672999769449234,61.25,262.82000732421875,2.3999977111816406
2014-01-14,呼和浩特,良,50,77,51,98,101,72,4.29,12,181.5,0.0,88894.0,0.0007419995963573456,96.75,262.4700012207031,3.139995574951172
