Time,City,质量等级,当天AQI排名,AQI指数,PM2.5,PM10,So2,No2,Co,O3,lrad,prec,pres,shum,srad,temp,wind
2014-01-01,哈尔滨,轻度污染,85,121,107,140,102,55,1.32,22,197.75,0.0,99468.0,0.0006990004330873489,38.75,256.0799865722656,2.3819961547851562
2014-01-02,哈尔滨,轻度污染,83,133,100,139,123,66,1.4,17,200.0,0.0,99474.0,0.0006950013339519501,37.5,255.9499969482422,2.0579986572265625
2014-01-03,哈尔滨,中度污染,126,188,143,196,137,73,1.65,15,161.75,0.0,99468.0,0.0004220008850097656,56.25,250.92999267578125,1.4719963073730469
2014-01-04,哈尔滨,重度污染,178,240,193,242,145,90,2.19,12,179.75,0.0,99468.0,0.00047999992966651917,38.25,249.9099884033203,1.2739982604980469
2014-01-05,哈尔滨,严重污染,190,407,369,451,184,123,3.17,13,173.25,0.0,99470.0,0.0005479995161294937,52.5,253.07998657226562,1.2699966430664062
2014-01-06,哈尔滨,中度污染,128,197,159,206,170,84,1.34,19,208.75,0.0,99514.0,0.0012510009109973907,56.25,264.19000244140625,3.927997589111328
2014-01-07,哈尔滨,中度污染,122,151,114,148,102,62,1.39,18,186.25,0.0,99478.0,0.0008780006319284439,57.75,258.7799987792969,2.4639968872070312
2014-01-08,哈尔滨,良,97,78,57,72,83,47,1.05,24,160.75,0.0,99468.0,0.0003859996795654297,65.5,252.69000244140625,2.3619956970214844
2014-01-09,哈尔滨,良,128,90,66,88,93,53,0.99,23,165.5,0.0,99468.0,0.00041900016367435455,65.5,253.67999267578125,3.0199966430664062
2014-01-10,哈尔滨,轻度污染,114,120,90,127,124,61,1.16,20,160.0,0.0,99468.0,0.00047800131142139435,72.75,254.42999267578125,1.9579963684082031
2014-01-11,哈尔滨,轻度污染,103,120,90,128,111,61,1.16,18,178.75,0.012500762939453125,99468.0,0.00042800046503543854,49.0,251.97999572753906,2.7699966430664062
2014-01-12,哈尔滨,良,61,79,57,79,87,43,0.89,26,142.25,0.0,99468.0,0.00024400092661380768,76.5,248.19000244140625,2.3219985961914062
2014-01-13,哈尔滨,中度污染,174,185,146,162,140,69,1.45,15,146.0,0.0,99468.0,0.0002459995448589325,69.25,246.75,1.451995849609375
2014-01-14,哈尔滨,重度污染,156,202,155,207,182,86,1.58,14,159.0,0.0,99468.0,0.000522000715136528,70.5,252.00999450683594,1.78399658203125
2014-01-15,哈尔滨,重度污染,127,205,160,209,163,81,1.51,19,180.25,0.0,99470.0,0.0005710013210773468,50.25,252.59999084472656,2.1739959716796875
2014-01-16,哈尔滨,中度污染,98,152,116,164,128,67,1.38,19,146.0,0.0,99468.0,0.00028200075030326843,73.5,246.9099884033203,1.5579986572265625
2014-01-17,哈尔滨,重度污染,136,212,166,201,155,83,1.67,15,161.25,0.00250244140625,99468.0,0.0002870000898838043,68.75,251.3699951171875,1.5019989013671875
2014-01-18,哈尔滨,重度污染,126,221,173,232,155,88,1.92,16,176.5,0.0,99468.0,0.0004409998655319214,52.75,251.3699951171875,1.6559982299804688
2014-01-19,哈尔滨,中度污染,94,172,131,179,163,77,1.4,16,212.25,0.04000091552734375,99468.0,0.0006620008498430252,33.25,256.6199951171875,3.1199989318847656
2014-01-20,哈尔滨,轻度污染,101,134,101,134,136,70,1.27,19,165.5,0.005001068115234375,99468.0,0.0006090011447668076,76.5,254.95999145507812,2.4219970703125
2014-01-21,哈尔滨,中度污染,190,195,148,195,111,75,1.65,24,169.0,0.0,99472.0,0.000693000853061676,77.75,255.87998962402344,2.5179977416992188
2014-01-22,哈尔滨,重度污染,185,212,164,223,201,92,1.57,24,193.5,0.0,99478.0,0.0008220002055168152,59.25,257.4700012207031,1.5919990539550781
2014-01-24,哈尔滨,中度污染,123,163,123,165,98,68,1.72,30,212.0,0.0,99490.0,0.0008170008659362793,47.5,259.5299987792969,2.0419960021972656
2014-01-25,哈尔滨,中度污染,151,188,144,201,92,83,1.75,24,210.25,0.0,99474.0,0.000701000913977623,35.25,256.05999755859375,1.7599983215332031
2014-01-26,哈尔滨,轻度污染,126,111,83,124,94,59,1.13,35,177.0,0.0,99488.0,0.0007310006767511368,89.25,260.17999267578125,3.3579978942871094
2014-01-27,哈尔滨,良,54,71,45,82,79,46,0.78,40,218.75,0.0,99496.0,0.001005999743938446,48.5,261.3999938964844,4.3639984130859375
2014-01-28,哈尔滨,良,37,58,38,60,61,38,0.79,43,167.75,0.0,99470.0,0.0005090013146400452,88.75,255.92999267578125,2.6739959716796875
2014-01-29,哈尔滨,良,66,81,56,100,97,53,0.99,39,236.75,0.0,99490.0,0.001027001067996025,26.5,260.2799987792969,4.6999969482421875
2014-01-30,哈尔滨,良,25,73,52,69,63,33,0.94,44,155.75,0.0,99468.0,0.0004949998110532761,93.0,252.70999145507812,2.9379959106445312
2014-01-31,哈尔滨,重度污染,97,217,170,205,118,53,1.32,36,177.25,0.0,99470.0,0.0005329996347427368,74.5,254.34999084472656,1.753997802734375
2014-02-01,哈尔滨,中度污染,118,154,117,167,135,66,1.21,40,222.0,0.00250244140625,99492.0,0.0011730007827281952,53.5,261.8699951171875,2.5759963989257812
