Time,City,质量等级,当天AQI排名,AQI指数,PM2.5,PM10,So2,No2,Co,O3,lrad,prec,pres,shum,srad,temp,wind
2014-01-01,天津,轻度污染,121,141,89,210,121,75,2.28,13,233.0,0.0,101574.0,0.0016600005328655243,95.0,276.5099792480469,2.4459991455078125
2014-01-02,天津,轻度污染,92,142,112,220,139,96,3.03,7,241.25,0.0,101574.0,0.0026200003921985626,83.25,274.6300048828125,1.6319961547851562
2014-01-03,天津,轻度污染,65,115,82,148,107,71,2.32,12,230.0,0.0,101574.0,0.00222100131213665,93.0,273.8899841308594,2.095996856689453
2014-01-04,天津,良,25,69,50,73,121,64,1.36,12,234.25,0.0,101574.0,0.0021180007606744766,79.25,271.8500061035156,1.9399986267089844
2014-01-05,天津,轻度污染,52,121,91,141,107,67,2.52,13,229.75,0.0,101574.0,0.0024229995906352997,90.0,272.8699951171875,2.6599960327148438
2014-01-06,天津,轻度污染,71,139,105,142,86,69,2.22,10,291.5,0.0,101574.0,0.0027860011905431747,19.75,271.97998046875,1.1879959106445312
2014-01-07,天津,轻度污染,111,137,103,143,105,67,2.25,9,265.25,0.0,101574.0,0.0019819997251033783,52.25,273.0799865722656,2.313995361328125
2014-01-08,天津,良,44,55,33,59,60,44,1.2,23,215.75,0.0,101574.0,0.0013880003243684769,88.0,268.239990234375,1.9419975280761719
2014-01-09,天津,良,92,73,46,90,79,57,1.42,18,194.25,0.00749969482421875,101574.0,0.0008160006254911423,105.5,267.17999267578125,2.7919960021972656
2014-01-10,天津,中度污染,165,198,152,241,150,86,2.5,10,209.5,0.0,101574.0,0.002174999564886093,92.5,268.8500061035156,1.8119964599609375
2014-01-11,天津,严重污染,184,361,309,434,144,113,4.33,8,238.0,0.0,101574.0,0.0019199997186660767,69.0,269.8399963378906,2.233997344970703
2014-01-12,天津,轻度污染,117,124,88,142,76,57,1.78,24,205.5,0.0,101574.0,0.001012999564409256,105.5,269.1499938964844,2.2519989013671875
2014-01-13,天津,轻度污染,119,113,85,136,132,74,2.3,9,221.5,0.0,101574.0,0.0017940010875463486,87.0,269.16998291015625,1.503997802734375
2014-01-14,天津,轻度污染,124,150,113,193,137,86,3.26,7,215.5,0.0,101574.0,0.0018530003726482391,91.0,268.6499938964844,1.697998046875
2014-01-15,天津,严重污染,177,324,269,387,164,110,4.49,8,250.25,0.0,101574.0,0.002569999545812607,66.25,271.0799865722656,1.7959976196289062
2014-01-16,天津,严重污染,164,286,235,309,108,86,3.92,6,290.75,0.0,101574.0,0.0028070006519556046,21.75,271.91998291015625,2.4739990234375
