Time,City,质量等级,当天AQI排名,AQI指数,PM2.5,PM10,So2,No2,Co,O3,lrad,prec,pres,shum,srad,temp,wind
2014-01-01,太原,良,34,88,68,149,99,33,2.81,17,215.25,0.0,92098.0,0.0014260001480579376,104.0,272.41998291015625,2.177997589111328
2014-01-02,太原,轻度污染,49,104,86,156,155,38,3.63,13,286.25,0.0,92082.0,0.0016099996864795685,27.75,272.239990234375,1.5479965209960938
2014-01-03,太原,良,28,80,55,102,90,32,2.38,19,212.0,0.0,92082.0,0.0014880001544952393,103.25,270.9599914550781,1.7759971618652344
2014-01-04,太原,轻度污染,63,103,76,129,132,37,2.84,14,211.25,0.0,92086.0,0.0012370012700557709,104.5,271.3899841308594,2.147998809814453
2014-01-05,太原,良,24,93,66,119,109,36,2.83,10,211.25,0.0,92082.0,0.0012500006705522537,107.25,271.69000244140625,2.1839981079101562
2014-01-06,太原,轻度污染,60,126,95,162,128,44,3.16,6,283.75,0.0,92082.0,0.001716000959277153,28.0,271.5799865722656,1.2659988403320312
2014-01-07,太原,轻度污染,119,145,109,171,121,41,2.98,8,289.0,0.0,92082.0,0.0015879999846220016,28.75,273.0899963378906,2.30999755859375
2014-01-08,太原,良,46,56,23,61,41,20,1.9,30,196.25,0.0,92082.0,0.0007339995354413986,107.5,267.1600036621094,1.8839988708496094
2014-01-09,太原,良,105,77,50,98,96,34,2.59,13,187.5,0.0,92082.0,0.0007039997726678848,111.75,265.1499938964844,1.4359970092773438
2014-01-10,太原,轻度污染,88,105,78,131,128,39,3.07,7,201.0,0.0,92082.0,0.0008749999105930328,105.75,267.5,1.4279975891113281
2014-01-11,太原,轻度污染,77,104,75,128,145,35,3.07,15,219.25,0.0,92082.0,0.0009840000420808792,96.75,270.6999816894531,1.6819953918457031
2014-01-12,太原,良,27,59,33,68,65,27,2.37,22,195.5,0.0,92082.0,0.0008400008082389832,113.75,267.6199951171875,1.4279975891113281
2014-01-13,太原,良,72,85,61,109,117,37,3.05,9,193.25,0.0,92082.0,0.0007780008018016815,114.25,266.8800048828125,1.9599990844726562
2014-01-14,太原,轻度污染,89,112,84,136,128,41,3.33,9,197.25,0.0,92082.0,0.0008600000292062759,111.0,266.97998046875,1.2699966430664062
2014-01-15,太原,轻度污染,103,147,112,171,181,43,3.84,8,205.25,0.0,92082.0,0.0009509995579719543,108.25,268.32000732421875,1.339996337890625
