Time,City,质量等级,当天AQI排名,AQI指数,PM2.5,PM10,So2,No2,Co,O3,lrad,prec,pres,shum,srad,temp,wind
2014-01-01,广州,轻度污染,88,122,96,127,29,98,1.87,42,285.5,0.0,101154.0,0.004676001146435738,178.5,284.75,2.069995880126953
2014-01-02,广州,轻度污染,101,146,120,146,38,121,1.79,36,331.75,0.0,101156.0,0.007871000096201897,143.0,288.54998779296875,1.6199989318847656
2014-01-03,广州,中度污染,118,179,135,172,30,110,1.88,44,338.0,0.0,101158.0,0.008194999769330025,155.25,290.8800048828125,2.431995391845703
2014-01-04,广州,中度污染,143,169,128,158,40,73,1.57,68,321.0,0.0,101156.0,0.005757000297307968,143.5,287.989990234375,3.263996124267578
2014-01-05,广州,中度污染,96,153,116,145,38,92,1.45,60,293.75,0.0,101154.0,0.005299000069499016,175.25,285.6600036621094,2.1079978942871094
2014-01-06,广州,重度污染,137,205,155,188,41,108,1.73,59,334.5,0.0,101156.0,0.007636001333594322,133.5,288.2599792480469,1.9839973449707031
2014-01-07,广州,轻度污染,108,133,100,122,28,91,1.4,29,388.75,0.020000457763671875,101158.0,0.010152000002563,47.5,290.9499816894531,1.6219978332519531
2014-01-08,广州,轻度污染,153,122,91,115,15,68,1.89,18,368.0,0.0,101156.0,0.007620999589562416,46.5,287.53997802734375,5.239997863769531
2014-01-09,广州,良,57,66,47,64,11,40,1.48,40,349.75,0.0,101154.0,0.0055440012365579605,64.25,285.8999938964844,3.053997039794922
2014-01-10,广州,良,65,91,67,87,17,55,1.36,35,331.25,0.0,101156.0,0.006861001253128052,117.5,286.17999267578125,1.5979957580566406
2014-01-11,广州,轻度污染,119,133,100,130,23,80,1.63,35,330.0,0.0,101156.0,0.008070999756455421,155.0,288.6199951171875,1.8479957580566406
2014-01-12,广州,轻度污染,113,121,90,120,17,59,1.78,26,328.5,0.0,101154.0,0.006348000839352608,118.75,286.32000732421875,4.795997619628906
2014-01-13,广州,良,33,60,37,68,10,31,1.15,31,342.75,0.0,101154.0,0.004801999777555466,49.5,283.4100036621094,4.405998229980469
2014-01-14,广州,良,33,64,41,70,11,40,0.97,48,275.5,0.0,101152.0,0.004877001047134399,190.5,282.9100036621094,2.2959976196289062
2014-01-15,广州,良,50,91,67,89,14,55,1.02,61,272.0,0.0,101152.0,0.004457000643014908,192.25,282.6399841308594,2.221996307373047
2014-01-16,广州,轻度污染,79,130,99,134,20,97,1.39,41,287.75,0.0,101154.0,0.005243999883532524,180.25,284.0,2.201995849609375
2014-01-17,广州,轻度污染,71,145,109,151,22,100,1.57,39,296.25,0.0,101156.0,0.005055001005530357,182.0,286.8399963378906,3.701995849609375
2014-01-18,广州,良,34,94,69,98,19,50,0.89,81,284.25,0.0,101154.0,0.004312001168727875,193.25,285.6099853515625,3.105998992919922
2014-01-19,广州,轻度污染,69,135,103,136,26,82,1.15,75,281.75,0.0,101154.0,0.004487000405788422,187.5,283.80999755859375,2.0939979553222656
2014-01-20,广州,轻度污染,103,137,103,140,22,89,1.35,68,288.25,0.0,101156.0,0.00362200103700161,188.25,287.239990234375,3.6579971313476562
2014-01-21,广州,轻度污染,126,101,76,111,24,43,0.96,89,269.75,0.0,101154.0,0.0026290006935596466,197.25,284.2200012207031,3.763996124267578
2014-01-22,广州,良,19,69,49,76,12,52,0.87,64,262.0,0.0,101152.0,0.003246000036597252,203.5,281.82000732421875,2.3059959411621094
2014-01-24,广州,良,60,89,66,93,20,82,1.01,42,336.25,0.0,101156.0,0.007574001327157021,140.25,288.19000244140625,1.7679977416992188
