日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2014-01-01,重度污染,241,186,176,244,18,73,1.48,18
2014-01-02,重度污染,231,182,179,272,28,75,1.8,24
2014-01-03,中度污染,190,129,149,229,30,81,1.92,30
2014-01-04,中度污染,186,156,141,229,31,97,1.97,33
2014-01-05,严重污染,253,171,202,296,59,109,1.78,29
2014-01-06,中度污染,195,127,151,220,38,76,1.43,26
2014-01-07,良,99,75,74,97,19,62,1.04,26
2014-01-08,良,82,107,58,99,19,60,0.87,32
2014-01-09,轻度污染,121,154,91,153,26,59,1.03,31
2014-01-10,轻度污染,135,127,102,134,30,51,0.98,24
2014-01-11,轻度污染,117,98,88,124,24,59,1.18,22
2014-01-12,轻度污染,102,95,75,122,24,60,1.02,35
2014-01-13,轻度污染,111,116,83,131,23,70,1.0,31
2014-01-14,重度污染,216,162,167,257,52,87,1.67,18
2014-01-15,重度污染,235,141,184,265,37,80,1.67,19
2014-01-16,重度污染,243,153,195,289,37,84,1.74,31
2014-01-17,严重污染,266,164,216,304,36,91,1.78,22
2014-01-18,严重污染,302,173,251,338,41,72,2.06,13
2014-01-19,轻度污染,149,84,113,156,30,53,1.27,33
2014-01-20,良,78,41,54,100,16,58,1.07,34
2014-01-21,中度污染,151,179,114,185,36,72,1.24,37
2014-01-22,重度污染,242,186,193,297,37,101,1.73,39
2014-01-24,严重污染,272,176,222,323,46,99,1.9,42
2014-01-25,重度污染,242,178,192,283,39,96,1.84,31
2014-01-26,严重污染,264,179,214,284,37,81,1.79,44
2014-01-27,严重污染,346,185,296,379,24,60,1.94,20
2014-01-28,严重污染,352,187,304,395,25,60,2.07,34
2014-01-29,严重污染,333,186,283,351,15,47,1.75,33
2014-01-30,严重污染,343,187,293,374,11,47,1.82,28
2014-01-31,严重污染,451,185,396,562,18,41,1.88,27
2014-02-01,重度污染,210,151,160,206,13,42,1.55,46
2014-02-02,中度污染,193,117,145,177,13,34,1.36,48
2014-02-03,重度污染,201,180,152,187,14,40,1.3,45
2014-02-04,重度污染,207,187,157,195,15,32,1.31,40
2014-02-05,良,98,171,72,97,12,22,1.42,36
2014-02-06,优,42,73,25,41,9,20,1.33,29
2014-02-07,良,61,106,43,60,13,27,1.17,31
2014-02-08,良,100,151,74,107,25,35,1.16,25
2014-02-09,良,70,123,51,70,11,23,1.05,48
2014-02-10,轻度污染,109,172,81,103,15,31,1.4,49
2014-02-11,轻度污染,129,162,98,120,16,45,1.47,30
2014-02-12,轻度污染,132,137,100,120,16,40,1.48,42
2014-02-13,中度污染,168,163,127,157,16,50,1.66,45
2014-02-14,中度污染,151,137,114,150,28,55,1.39,37
2014-02-15,中度污染,179,135,136,175,36,54,1.33,40
2014-02-16,重度污染,201,164,152,202,26,68,1.66,29
2014-02-17,轻度污染,149,157,113,142,29,43,1.27,38
2014-02-18,轻度污染,115,167,86,106,18,53,1.5,40
2014-02-19,轻度污染,138,161,105,138,27,58,1.38,38
2014-02-20,重度污染,225,183,175,252,43,73,1.93,19
2014-02-21,重度污染,209,167,160,222,50,91,1.79,32
2014-02-22,重度污染,233,170,182,262,40,76,1.95,32
2014-02-23,重度污染,232,161,182,249,49,75,1.87,34
2014-02-24,中度污染,197,144,150,199,32,65,1.51,32
2014-02-25,轻度污染,140,103,107,152,26,60,1.17,17
2014-02-26,轻度污染,103,88,77,112,39,50,1.16,23
2014-02-27,良,53,29,33,60,18,45,0.94,31
2014-02-28,良,73,116,49,89,19,45,1.02,14
2014-03-01,良,72,110,49,90,20,55,1.01,31
2014-03-02,良,74,68,53,94,15,51,1.07,29
2014-03-03,良,68,60,47,70,16,43,1.12,19
2014-03-04,良,62,57,42,71,16,46,1.17,37
2014-03-05,良,87,121,64,100,21,65,1.3,21
2014-03-06,良,63,98,45,66,20,51,1.38,23
2014-03-07,良,84,132,62,92,16,53,1.44,17
2014-03-08,优,44,19,30,44,10,45,1.12,52
2014-03-09,良,94,106,70,113,18,66,1.37,26
2014-03-10,轻度污染,131,128,98,158,34,70,1.57,23
2014-03-11,轻度污染,137,142,104,160,39,72,1.49,45
2014-03-12,轻度污染,127,155,87,171,28,72,1.15,30
2014-03-13,轻度污染,118,179,76,186,24,64,0.96,35
2014-03-14,良,73,40,42,96,10,40,0.7,61
2014-03-15,轻度污染,101,98,75,129,25,70,1.12,45
2014-03-16,中度污染,178,181,135,222,33,85,1.53,72
2014-03-17,中度污染,173,147,130,198,46,76,1.37,61
2014-03-18,中度污染,165,121,124,191,29,97,1.49,55
2014-03-19,中度污染,165,179,122,212,52,74,1.5,60
2014-03-20,良,81,101,41,110,13,47,0.91,45
2014-03-21,良,68,72,37,84,13,42,0.66,46
2014-03-22,良,65,35,45,73,11,47,0.92,16
2014-03-23,良,82,64,60,84,11,53,1.08,24
2014-03-25,中度污染,165,148,125,190,26,78,1.57,46
2014-03-26,重度污染,207,166,161,224,29,85,1.8,43
2014-03-27,重度污染,211,171,161,238,35,100,1.91,43
2014-03-28,中度污染,196,181,153,228,30,88,1.79,60
2014-03-29,重度污染,205,180,158,251,36,103,2.18,36
2014-03-30,轻度污染,115,133,85,134,20,45,1.45,45
