Time,City,质量等级,当天AQI排名,AQI指数,PM2.5,PM10,So2,No2,Co,O3,lrad,prec,pres,shum,srad,temp,wind
2014-01-01,拉萨,良,3,57,34,69,9,27,1.68,50,217.0,0.0,65392.0,0.0011529996991157532,175.75,274.0099792480469,1.7459983825683594
2014-01-02,拉萨,良,2,52,18,41,8,19,1.56,66,214.75,0.0,65434.0,0.0008910000324249268,180.0,274.5799865722656,1.8479957580566406
2014-01-03,拉萨,优,3,50,24,53,13,24,1.72,56,209.25,0.0,65340.0,0.0007720012217760086,182.75,273.3999938964844,0.9939956665039062
2014-01-04,拉萨,优,10,50,30,54,14,25,1.86,52,207.25,0.00250244140625,65230.0,0.0009630005806684494,184.0,272.2900085449219,2.3119964599609375
2014-01-05,拉萨,良,10,77,50,96,18,36,2.3,50,219.75,0.00250244140625,65498.0,0.0011580009013414383,180.25,275.1999816894531,1.6579971313476562
2014-01-06,拉萨,良,11,59,21,67,8,20,1.7,70,216.5,0.0,65470.0,0.001202000305056572,181.25,274.44000244140625,1.7499961853027344
2014-01-07,拉萨,良,10,54,25,60,11,21,1.79,66,208.5,0.0,65262.0,0.0008199997246265411,183.5,272.5400085449219,1.7039985656738281
2014-01-08,拉萨,良,70,61,26,73,12,23,1.86,55,218.75,0.0,65338.0,0.0008860006928443909,169.75,273.1600036621094,1.1479988098144531
2014-01-09,拉萨,优,8,44,20,45,11,24,1.89,58,224.25,0.0,65572.0,0.0009480006992816925,176.5,275.6600036621094,1.5839958190917969
2014-01-10,拉萨,良,8,53,19,55,8,12,1.74,76,216.5,0.0,65560.0,0.0011340007185935974,187.75,275.4599914550781,1.3799972534179688
2014-01-11,拉萨,良,9,51,21,55,7,15,1.67,63,251.25,0.005001068115234375,65222.0,0.0021139997988939285,113.0,271.9599914550781,2.385997772216797
2014-01-12,拉萨,优,11,45,24,37,8,10,1.73,80,208.5,0.00250244140625,64950.0,0.0016300007700920105,173.75,269.32000732421875,2.091999053955078
2014-01-13,拉萨,优,11,43,22,36,9,15,1.83,71,199.25,0.0,64856.0,0.0014660004526376724,186.75,268.4100036621094,2.0379981994628906
2014-01-14,拉萨,良,22,57,34,61,12,24,2.07,54,212.5,0.0,65148.0,0.0020090006291866302,182.25,271.25,1.701995849609375
2014-01-15,拉萨,良,13,62,37,72,11,22,2.07,47,223.5,0.0,65564.0,0.0012870002537965775,182.25,275.72998046875,2.815998077392578
2014-01-16,拉萨,优,3,48,17,48,9,9,1.81,75,223.75,0.0,65364.0,0.0017460007220506668,172.75,273.3599853515625,2.3699989318847656
2014-01-17,拉萨,优,1,40,21,36,11,16,1.91,56,212.75,0.0,65200.0,0.0014779996126890182,184.5,271.7699890136719,1.4639968872070312
2014-01-18,拉萨,良,2,53,28,55,10,17,1.92,50,235.0,0.037502288818359375,65494.0,0.0012970007956027985,162.25,274.69000244140625,2.0559959411621094
2014-01-19,拉萨,优,1,40,12,28,7,10,1.83,75,231.5,0.00250244140625,65264.0,0.0012360010296106339,154.0,272.3800048828125,2.341999053955078
2014-01-20,拉萨,优,3,40,13,33,9,13,1.83,67,202.75,0.0,65074.0,0.0010280013084411621,194.25,270.5299987792969,2.03399658203125
2014-01-21,拉萨,优,4,37,16,36,10,18,1.14,54,205.25,0.0,65110.0,0.0010369997471570969,194.0,270.8899841308594,1.8759956359863281
2014-01-22,拉萨,良,8,63,36,53,11,25,0.83,53,210.0,0.0,65242.0,0.0013180002570152283,198.5,272.32000732421875,1.3219985961914062
2014-01-24,拉萨,良,22,62,28,68,11,22,0.94,64,227.75,0.0,65596.0,0.0013790000230073929,190.5,276.16998291015625,1.3559989929199219
2014-01-25,拉萨,良,11,51,25,51,10,18,0.87,67,216.75,0.0,65486.0,0.0010989997535943985,199.0,274.72998046875,1.839996337890625
2014-01-26,拉萨,优,7,45,17,45,10,18,0.84,64,215.5,0.0,65456.0,0.0009530000388622284,203.25,274.5299987792969,1.6179962158203125
2014-01-27,拉萨,优,20,45,17,43,9,17,0.88,73,226.0,0.0,65802.0,0.000850999727845192,205.0,278.1999816894531,2.0759963989257812
2014-01-28,拉萨,优,23,50,12,43,6,6,0.65,86,219.5,0.0,65404.0,0.0007720012217760086,191.25,273.7799987792969,1.253997802734375
2014-01-29,拉萨,优,8,42,15,34,8,12,0.76,68,215.25,0.0,65236.0,0.0008870009332895279,194.0,272.1300048828125,0.9199981689453125
2014-01-30,拉萨,优,5,49,23,54,8,16,0.86,58,225.0,0.0,65432.0,0.0010850001126527786,189.0,274.0899963378906,1.201995849609375
2014-01-31,拉萨,良,1,53,23,56,10,13,0.83,72,212.25,0.0,65352.0,0.0011240001767873764,209.75,273.3399963378906,1.2319984436035156
2014-02-01,拉萨,优,7,40,17,35,9,14,0.85,69,214.25,0.0,65364.0,0.0009480006992816925,208.5,273.6600036621094,1.3539962768554688
2014-02-02,拉萨,优,6,44,22,44,10,18,0.94,56,214.25,0.0,65378.0,0.0009870007634162903,211.75,273.91998291015625,1.5579986572265625
2014-02-03,拉萨,优,15,42,21,42,12,19,1.09,61,217.25,0.00250244140625,65424.0,0.0010839998722076416,214.75,274.6600036621094,1.5019989013671875
2014-02-04,拉萨,良,125,68,31,86,11,23,1.19,59,232.5,0.0,65612.0,0.0010560005903244019,203.5,277.54998779296875,2.7559967041015625
2014-02-05,拉萨,良,118,61,24,74,9,17,0.96,61,237.5,0.0,65796.0,0.0009180009365081787,203.0,278.8299865722656,2.2699966430664062
2014-02-06,拉萨,优,85,45,15,43,7,9,0.84,75,226.25,0.0,65666.0,0.0005419999361038208,212.75,277.1300048828125,1.58599853515625
2014-02-07,拉萨,优,57,41,19,37,8,15,0.93,60,214.5,0.0,65460.0,0.0008310005068778992,225.25,274.92999267578125,1.8439979553222656
2014-02-08,拉萨,良,67,57,21,62,9,15,1.0,74,230.0,0.0,65700.0,0.0010960008949041367,217.5,278.1999816894531,1.9719963073730469
2014-02-09,拉萨,良,119,69,26,88,9,15,1.0,77,231.5,0.0,65772.0,0.0012500006705522537,223.25,279.07000732421875,1.75799560546875
2014-02-10,拉萨,良,155,92,33,134,8,11,0.94,77,238.5,0.0,65886.0,0.0009770002216100693,227.25,281.3599853515625,3.9939956665039062
2014-02-11,拉萨,轻度污染,171,139,41,187,6,5,0.87,87,235.5,0.0,65800.0,0.001203000545501709,213.75,278.57000732421875,2.8319969177246094
2014-02-12,拉萨,良,53,72,21,85,7,12,0.95,98,217.0,0.0,65594.0,0.0005820002406835556,235.0,276.19000244140625,1.7599983215332031
2014-02-13,拉萨,优,38,48,19,49,9,17,1.04,70,224.75,0.0,65672.0,0.0006099995225667953,228.75,277.54998779296875,2.2559967041015625
2014-02-14,拉萨,轻度污染,90,108,30,130,8,11,1.0,78,252.5,0.0,65856.0,0.0016010012477636337,197.0,279.5099792480469,3.2439956665039062
2014-02-15,拉萨,重度污染,150,201,41,284,7,11,1.0,91,258.75,0.0,65812.0,0.001358000561594963,171.0,278.5799865722656,2.7979965209960938
