Time,City,质量等级,当天AQI排名,AQI指数,PM2.5,PM10,So2,No2,Co,O3,lrad,prec,pres,shum,srad,temp,wind
2014-01-01,昆明,良,10,71,41,83,36,45,1.34,30,268.0,0.0,80818.0,0.004379000514745712,182.5,283.8599853515625,4.377998352050781
2014-01-02,昆明,良,3,57,28,56,33,35,1.11,42,269.0,0.0,80808.0,0.004546999931335449,182.25,283.6999816894531,3.841999053955078
2014-01-03,昆明,良,32,81,55,98,27,50,1.27,36,263.25,0.0,80634.0,0.005142999812960625,175.25,280.91998291015625,2.3639984130859375
2014-01-04,昆明,轻度污染,64,104,75,120,24,55,1.28,30,281.75,0.0,80648.0,0.005781000480055809,146.5,281.1300048828125,1.8299980163574219
2014-01-05,昆明,良,4,62,33,73,27,44,1.35,29,274.25,0.0,80818.0,0.005347000434994698,180.25,283.8299865722656,4.247997283935547
2014-01-06,昆明,良,7,54,25,58,26,37,1.1,34,275.0,0.0,80892.0,0.004827000200748444,182.5,284.989990234375,4.021995544433594
2014-01-07,昆明,良,9,54,27,58,27,41,0.97,37,266.0,0.0,80786.0,0.00428600050508976,184.75,283.3399963378906,4.189998626708984
2014-01-08,昆明,良,81,70,38,90,22,46,1.13,34,264.75,0.0,80734.0,0.004568001255393028,183.0,282.5299987792969,2.6019973754882812
2014-01-09,昆明,良,47,63,37,75,20,42,1.06,40,277.5,0.0,80828.0,0.005778999999165535,181.25,284.0,3.197998046875
2014-01-10,昆明,良,6,52,26,54,27,36,0.97,39,272.5,0.0,80818.0,0.004941999912261963,184.0,283.8699951171875,4.683998107910156
2014-01-11,昆明,良,11,53,26,57,28,37,0.99,41,267.25,0.0,80770.0,0.004523999989032745,186.5,283.1300048828125,3.4659957885742188
2014-01-12,昆明,良,45,68,46,69,18,39,1.39,13,316.25,0.21750259399414062,80434.0,0.005644001066684723,44.5,277.82000732421875,2.3939971923828125
