Time,City,质量等级,当天AQI排名,AQI指数,PM2.5,PM10,So2,No2,Co,O3,lrad,prec,pres,shum,srad,temp,wind
2014-01-01,沈阳,良,29,85,32,79,97,38,0.83,28,198.5,0.0,100824.0,0.0009420011192560196,85.25,267.55999755859375,2.7359962463378906
2014-01-02,沈阳,良,16,72,45,107,104,51,1.12,22,218.5,0.0,100824.0,0.001703999936580658,83.75,271.5099792480469,3.233997344970703
2014-01-03,沈阳,良,13,62,40,70,96,42,0.59,27,192.25,0.0,100824.0,0.0009829998016357422,87.0,265.4499816894531,1.947998046875
2014-01-04,沈阳,轻度污染,110,138,104,151,203,71,1.32,14,190.0,0.0,100824.0,0.0009570010006427765,86.0,264.44000244140625,1.6819953918457031
2014-01-05,沈阳,轻度污染,54,123,92,134,199,62,1.18,18,188.5,0.00250244140625,100824.0,0.0011090002954006195,86.25,264.239990234375,1.9679985046386719
2014-01-06,沈阳,中度污染,86,155,117,157,199,61,1.55,18,233.25,0.0149993896484375,100824.0,0.0021340008825063705,67.25,270.1499938964844,2.815998077392578
2014-01-07,沈阳,良,64,92,63,97,104,42,0.9,25,208.5,0.0,100824.0,0.0011750012636184692,82.75,268.9100036621094,3.815998077392578
2014-01-08,沈阳,优,31,50,23,54,77,32,0.43,40,169.5,0.0,100824.0,0.0003660004585981369,95.25,259.30999755859375,1.9559974670410156
2014-01-09,沈阳,轻度污染,141,106,77,125,127,60,1.33,16,171.75,0.0,100824.0,0.00040800124406814575,93.0,259.1399841308594,1.813995361328125
2014-01-10,沈阳,轻度污染,106,112,83,137,169,73,1.63,12,179.0,0.0,100824.0,0.0007220003753900528,93.0,261.72998046875,1.5539970397949219
2014-01-11,沈阳,轻度污染,123,142,104,163,186,73,1.87,14,195.75,0.0,100824.0,0.0007070004940032959,89.5,266.0099792480469,2.457996368408203
2014-01-12,沈阳,良,37,63,36,70,87,32,0.46,37,164.0,0.0,100824.0,0.0005140006542205811,95.0,256.5,1.8699989318847656
2014-01-13,沈阳,轻度污染,146,134,101,155,202,67,1.36,11,171.25,0.0,100824.0,0.0004719998687505722,97.25,258.92999267578125,1.6139984130859375
2014-01-14,沈阳,中度污染,137,174,132,199,261,81,1.99,10,179.75,0.0,100824.0,0.0007540006190538406,96.0,261.3899841308594,1.3599967956542969
2014-01-15,沈阳,轻度污染,96,143,108,161,195,76,2.03,13,198.0,0.0,100824.0,0.0010730009526014328,91.0,265.989990234375,1.7399978637695312
2014-01-16,沈阳,重度污染,138,219,172,241,187,76,2.18,10,214.25,0.0,100824.0,0.00102199986577034,60.25,262.2799987792969,2.891998291015625
2014-01-17,沈阳,中度污染,97,176,134,195,291,78,1.4,9,183.5,0.0,100824.0,0.0007579997181892395,93.5,261.29998779296875,1.8239974975585938
2014-01-18,沈阳,轻度污染,58,115,85,117,132,53,0.99,20,179.0,0.0,100824.0,0.00086200051009655,98.75,261.2099914550781,2.263996124267578
2014-01-19,沈阳,轻度污染,68,134,101,140,163,63,1.33,12,258.75,0.10499954223632812,100824.0,0.0016400013118982315,24.75,264.9700012207031,2.095996856689453
2014-01-20,沈阳,轻度污染,85,125,94,116,112,52,1.06,21,225.5,0.0149993896484375,100824.0,0.0008979998528957367,30.5,257.6099853515625,2.2239990234375
