Time,City,质量等级,当天AQI排名,AQI指数,PM2.5,PM10,So2,No2,Co,O3,lrad,prec,pres,shum,srad,temp,wind
2014-01-01,济南,轻度污染,113,138,71,207,138,73,1.35,19,238.75,0.0,101980.0,0.001357000321149826,113.75,279.6099853515625,2.161998748779297
2014-01-02,济南,轻度污染,95,144,100,241,149,83,2.1,18,246.75,0.0,101980.0,0.001531999558210373,113.25,281.3299865722656,1.3979988098144531
2014-01-03,济南,重度污染,150,212,158,312,173,93,2.28,14,269.75,0.0,101980.0,0.002074001356959343,73.0,277.1300048828125,2.375995635986328
2014-01-04,济南,轻度污染,92,121,86,171,107,62,1.41,21,243.5,0.0,101980.0,0.002699000760912895,112.0,278.1600036621094,2.3799972534179688
2014-01-05,济南,重度污染,162,243,194,318,130,80,1.87,15,293.5,0.0,101980.0,0.002923000603914261,38.0,275.1499938964844,1.8979988098144531
2014-01-06,济南,严重污染,190,410,375,605,162,117,4.19,12,305.0,0.0,101980.0,0.003395000472664833,30.75,276.1999816894531,1.0139961242675781
2014-01-07,济南,严重污染,190,425,398,613,150,109,3.77,13,304.5,0.0,101980.0,0.003221999853849411,30.0,275.94000244140625,3.3579978942871094
2014-01-08,济南,轻度污染,156,125,93,154,120,55,1.56,19,267.25,0.0,101980.0,0.002203000709414482,56.5,272.32000732421875,2.315998077392578
2014-01-09,济南,轻度污染,153,120,89,162,148,58,1.47,19,218.75,0.0,101980.0,0.001857999712228775,115.25,272.42999267578125,1.9959983825683594
2014-01-10,济南,中度污染,162,194,148,241,109,62,1.83,19,262.75,0.0,101980.0,0.002710999920964241,69.5,273.7200012207031,2.1759986877441406
2014-01-11,济南,重度污染,148,204,155,240,114,69,1.95,25,252.25,0.0,101980.0,0.0024730004370212555,94.75,276.3399963378906,2.2259979248046875
2014-01-12,济南,重度污染,184,234,188,297,178,83,2.51,15,236.0,0.0,101980.0,0.0021139997988939285,93.25,271.82000732421875,2.4299964904785156
2014-01-13,济南,轻度污染,148,135,102,179,125,64,1.66,17,225.0,0.0,101980.0,0.0019540004432201385,118.5,274.1099853515625,1.6759986877441406
2014-01-14,济南,重度污染,170,231,181,294,130,73,2.07,15,268.5,0.0,101980.0,0.0026709996163845062,63.75,273.3800048828125,1.4739990234375
2014-01-15,济南,重度污染,145,247,196,303,117,70,1.9,32,243.0,0.0,101980.0,0.0021069999784231186,108.25,276.8299865722656,2.5359954833984375
2014-01-16,济南,重度污染,140,220,177,286,105,65,1.64,38,294.25,0.0,101980.0,0.0027970001101493835,43.0,275.54998779296875,2.8679962158203125
