Time,City,质量等级,当天AQI排名,AQI指数,PM2.5,PM10,So2,No2,Co,O3,lrad,prec,pres,shum,srad,temp,wind
2014-01-01,深圳,轻度污染,78,116,83,128,19,83,1.45,62,303.5,0.0,101120.0,0.004645001143217087,179.75,289.0099792480469,1.7979965209960938
2014-01-02,深圳,轻度污染,50,105,80,126,16,76,1.4,58,347.0,0.0,101122.0,0.008283000439405441,137.5,290.8299865722656,1.6599960327148438
2014-01-03,深圳,轻度污染,69,117,87,135,16,84,1.47,64,343.75,0.0,101124.0,0.008212000131607056,170.5,293.2200012207031,1.9419975280761719
2014-01-04,深圳,轻度污染,103,131,99,134,27,47,1.45,86,311.25,0.0,101122.0,0.004481000825762749,174.0,290.67999267578125,2.3379974365234375
2014-01-05,深圳,轻度污染,61,128,96,138,26,32,1.32,101,307.75,0.0,101120.0,0.005502000451087952,181.0,289.03997802734375,2.5879974365234375
2014-01-06,深圳,轻度污染,58,122,92,129,19,30,1.42,102,324.75,0.0,101122.0,0.007302999496459961,177.0,290.2699890136719,2.967998504638672
2014-01-07,深圳,良,18,62,41,71,10,29,1.03,67,361.5,0.0,101122.0,0.010434000752866268,137.5,292.03997802734375,2.319995880126953
2014-01-08,深圳,良,87,72,52,79,10,52,1.41,36,383.0,0.005001068115234375,101122.0,0.009346000850200653,58.0,290.82000732421875,2.7559967041015625
2014-01-09,深圳,良,45,63,45,64,10,34,1.73,46,361.75,0.0,101120.0,0.005788000300526619,51.5,287.0299987792969,2.33599853515625
2014-01-10,深圳,良,42,79,58,81,10,33,1.48,52,357.75,0.0,101120.0,0.007426999509334564,79.0,288.03997802734375,2.6439971923828125
2014-01-11,深圳,良,25,65,46,69,11,34,1.12,65,324.75,0.0,101122.0,0.008280999958515167,187.0,289.8800048828125,1.7419967651367188
2014-01-12,深圳,良,66,80,58,85,10,39,1.33,60,321.5,0.0,101120.0,0.007209001109004021,170.25,288.8599853515625,2.8379974365234375
2014-01-13,深圳,良,18,51,35,49,9,26,1.34,39,332.5,0.0,101118.0,0.00522799976170063,81.75,284.07000732421875,3.569995880126953
2014-01-14,深圳,良,27,60,42,57,10,28,1.41,44,284.25,0.0,101118.0,0.004845000803470612,192.75,285.1199951171875,3.4139976501464844
2014-01-15,深圳,良,17,66,47,67,10,31,1.19,73,287.25,0.0,101118.0,0.004912000149488449,194.5,285.5899963378906,2.3999977111816406
2014-01-16,深圳,良,20,73,52,87,11,43,1.23,68,303.0,0.0,101120.0,0.006071999669075012,189.75,287.2099914550781,2.00799560546875
2014-01-17,深圳,良,25,84,62,102,11,57,1.31,57,306.5,0.0,101122.0,0.005536999553442001,189.5,289.1499938964844,2.5219955444335938
