Time,City,质量等级,当天AQI排名,AQI指数,PM2.5,PM10,So2,No2,Co,O3,lrad,prec,pres,shum,srad,temp,wind
2014-01-01,石家庄,良,30,86,45,118,96,54,0.93,41,247.0,0.0,100754.0,0.001544000580906868,103.25,281.32000732421875,2.841999053955078
2014-01-02,石家庄,中度污染,110,153,150,255,226,104,2.48,16,266.5,0.0,100754.0,0.0017640013247728348,80.5,279.8999938964844,2.105998992919922
2014-01-03,石家庄,轻度污染,94,144,105,209,178,74,1.58,28,235.5,0.0,100754.0,0.0016690008342266083,101.75,277.3500061035156,2.4699974060058594
2014-01-04,石家庄,重度污染,179,241,180,335,175,88,3.11,16,237.0,0.0,100754.0,0.002057000994682312,90.0,274.2200012207031,1.8699989318847656
2014-01-05,石家庄,严重污染,183,290,224,373,150,85,3.25,19,229.5,0.0,100754.0,0.0021110009402036667,97.0,273.6000061035156,1.5679969787597656
2014-01-06,石家庄,严重污染,189,390,325,475,150,86,4.3,14,285.0,0.0,100754.0,0.0025230012834072113,27.25,271.6199951171875,1.25799560546875
2014-01-07,石家庄,严重污染,189,404,346,504,180,85,4.25,11,288.0,0.0,100754.0,0.0026910006999969482,26.75,272.30999755859375,1.2919960021972656
2014-01-08,石家庄,重度污染,185,215,171,270,108,57,2.68,20,245.25,0.0,100754.0,0.0017600003629922867,66.0,270.0199890136719,2.151996612548828
2014-01-09,石家庄,中度污染,172,162,116,240,126,63,2.18,16,207.0,0.0,100754.0,0.0012430008500814438,109.0,270.0899963378906,1.3479957580566406
2014-01-10,石家庄,严重污染,182,261,204,372,265,96,3.01,7,214.0,0.0,100754.0,0.0013600010424852371,110.5,272.32000732421875,1.9579963684082031
2014-01-11,石家庄,严重污染,190,463,368,591,301,130,5.53,8,227.5,0.0,100754.0,0.001500999554991722,95.0,272.41998291015625,1.8999977111816406
2014-01-12,石家庄,中度污染,166,185,143,258,129,71,1.89,29,222.25,0.0,100754.0,0.0011149998754262924,95.75,270.9499816894531,1.4199981689453125
2014-01-13,石家庄,重度污染,185,248,188,346,198,87,5.05,15,219.0,0.0,100754.0,0.001229001209139824,102.0,271.47998046875,1.4359970092773438
2014-01-14,石家庄,严重污染,189,347,260,461,257,111,5.35,9,221.0,0.0,100754.0,0.001372000202536583,96.5,270.3599853515625,1.3459968566894531
2014-01-15,石家庄,严重污染,190,453,403,638,273,135,5.34,8,248.25,0.0,100754.0,0.002074001356959343,72.5,271.3699951171875,1.4259986877441406
2014-01-16,石家庄,严重污染,190,500,519,701,209,142,5.31,10,238.75,0.0,100754.0,0.0021080002188682556,86.5,271.8299865722656,1.7159957885742188
2014-01-17,石家庄,严重污染,190,500,484,724,150,128,5.22,9,289.5,0.0,100754.0,0.0023330003023147583,25.0,272.07000732421875,1.5119972229003906
2014-01-18,石家庄,严重污染,189,459,424,594,175,120,5.29,13,231.25,0.0,100754.0,0.0018889997154474258,104.0,273.66998291015625,1.5939979553222656
2014-01-19,石家庄,严重污染,190,489,329,654,136,103,3.7,20,296.75,0.0,100754.0,0.0012250002473592758,41.5,277.16998291015625,3.3519973754882812
2014-01-20,石家庄,良,61,100,28,143,46,33,0.63,45,216.75,0.0,100754.0,0.0008390005677938461,122.5,274.57000732421875,2.0439987182617188
2014-01-21,石家庄,轻度污染,172,138,97,208,127,65,1.94,18,213.0,0.0,100754.0,0.0010660011321306229,121.25,272.4599914550781,2.0199966430664062
