Time,City,质量等级,当天AQI排名,AQI指数,PM2.5,PM10,So2,No2,Co,O3,lrad,prec,pres,shum,srad,temp,wind
2015-01-01,福州,良,67,56,29,60,12,21,0.67,59,338.75,0.0,101226.0,0.004371000453829765,46.75,283.03997802734375,2.441997528076172
2015-01-02,福州,良,213,75,54,82,40,37,0.94,41,270.25,0.0,101226.0,0.00390700064599514,164.5,282.29998779296875,2.191997528076172
2015-01-03,福州,良,146,98,73,108,46,53,1.26,44,288.75,0.0,101228.0,0.005386000499129295,167.5,284.8999938964844,1.8299980163574219
2015-01-04,福州,良,55,79,58,89,30,44,0.97,86,307.25,0.0,101228.0,0.00668800063431263,167.5,287.6499938964844,1.7939987182617188
2015-01-05,福州,良,74,77,55,88,44,54,1.19,42,371.0,0.0,101228.0,0.007625000551342964,44.75,288.17999267578125,1.2939987182617188
2015-01-06,福州,轻度污染,272,101,75,92,27,38,1.64,33,337.25,0.0,101228.0,0.00803999975323677,135.0,289.5,2.2879981994628906
2015-01-07,福州,优,38,46,32,43,20,26,1.37,43,348.75,0.032501220703125,101226.0,0.007009999826550484,44.0,283.91998291015625,1.7299957275390625
2015-01-08,福州,良,74,62,42,66,38,31,1.41,49,281.75,0.00250244140625,101226.0,0.004616999998688698,162.25,283.4100036621094,2.089996337890625
2015-01-09,福州,良,82,70,49,77,50,38,1.19,55,307.25,0.0149993896484375,101226.0,0.0040250010788440704,108.75,283.4599914550781,2.273998260498047
2015-01-10,福州,轻度污染,186,115,86,128,69,55,1.66,42,348.25,0.042499542236328125,101228.0,0.003258001059293747,49.25,285.3599853515625,2.2119979858398438
2015-01-11,福州,轻度污染,218,122,92,131,63,46,1.58,48,340.0,0.0149993896484375,101228.0,0.004753001034259796,89.25,287.67999267578125,2.697998046875
2015-01-12,福州,良,170,81,59,77,31,35,1.27,47,353.5,0.00749969482421875,101228.0,0.005607999861240387,46.0,285.2799987792969,3.3479957580566406
2015-01-13,福州,良,95,55,38,44,15,25,1.26,40,341.5,1.5200004577636719,101226.0,0.006816999986767769,43.0,282.6999816894531,4.521995544433594
2015-01-14,福州,良,103,59,41,51,29,29,1.38,37,294.75,0.0,101226.0,0.0058650001883506775,166.75,285.4700012207031,5.099998474121094
2015-01-15,福州,优,32,46,32,42,21,24,1.38,39,312.0,0.0,101226.0,0.005451999604701996,118.75,284.1399841308594,2.2499961853027344
2015-01-16,福州,良,75,65,46,62,29,33,1.46,44,299.5,0.005001068115234375,101228.0,0.006131000816822052,172.5,286.239990234375,1.9939956665039062
2015-01-17,福州,良,173,95,70,96,24,26,1.42,79,334.25,0.0,101226.0,0.004799000918865204,63.5,283.30999755859375,2.897998809814453
