日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,良,56,67,29,60,12,21,0.67,59
2015-01-02,良,75,213,54,82,40,37,0.94,41
2015-01-03,良,98,146,73,108,46,53,1.26,44
2015-01-04,良,79,55,58,89,30,44,0.97,86
2015-01-05,良,77,74,55,88,44,54,1.19,42
2015-01-06,轻度污染,101,272,75,92,27,38,1.64,33
2015-01-07,优,46,38,32,43,20,26,1.37,43
2015-01-08,良,62,74,42,66,38,31,1.41,49
2015-01-09,良,70,82,49,77,50,38,1.19,55
2015-01-10,轻度污染,115,186,86,128,69,55,1.66,42
2015-01-11,轻度污染,122,218,92,131,63,46,1.58,48
2015-01-12,良,81,170,59,77,31,35,1.27,47
2015-01-13,良,55,95,38,44,15,25,1.26,40
2015-01-14,良,59,103,41,51,29,29,1.38,37
2015-01-15,优,46,32,32,42,21,24,1.38,39
2015-01-16,良,65,75,46,62,29,33,1.46,44
2015-01-17,良,95,173,70,96,24,26,1.42,79
2015-01-18,轻度污染,131,270,99,140,30,45,1.8,49
2015-01-19,轻度污染,108,244,80,118,34,36,1.36,62
2015-01-20,良,91,154,67,102,38,44,1.3,42
2015-01-21,良,94,153,69,95,45,42,1.41,50
2015-01-22,良,86,127,63,100,28,28,0.79,69
2015-01-23,良,80,57,58,98,45,50,0.86,35
2015-01-24,良,77,65,54,91,35,45,0.72,45
2015-01-25,良,93,113,69,96,37,51,0.87,13
2015-01-26,中度污染,169,233,127,158,14,46,1.75,19
2015-01-27,良,87,208,64,81,8,48,1.81,9
2015-01-28,优,28,19,19,23,3,21,0.81,13
2015-01-29,优,19,6,13,15,4,22,0.74,12
2015-01-30,优,45,68,31,38,7,22,0.79,17
2015-01-31,良,100,286,74,85,10,22,1.04,24
2015-02-01,良,100,236,75,93,12,25,1.15,21
2015-02-02,良,65,76,46,52,4,22,1.14,12
2015-02-03,良,74,100,53,63,10,24,1.24,16
2015-02-04,轻度污染,132,241,100,130,15,26,1.36,39
2015-02-05,轻度污染,138,322,105,132,22,25,1.32,70
2015-02-06,良,74,94,53,77,22,26,1.0,68
2015-02-07,轻度污染,122,255,91,131,36,45,1.31,37
2015-02-08,轻度污染,136,324,103,144,30,33,1.37,65
2015-02-09,良,69,131,49,77,17,20,1.0,69
2015-02-10,良,90,153,66,97,32,38,1.25,47
2015-02-11,轻度污染,118,216,89,136,32,47,1.56,48
2015-02-12,轻度污染,123,219,93,128,20,35,1.46,67
2015-02-13,良,93,181,68,106,17,30,1.23,72
2015-02-14,良,87,106,64,100,19,33,1.38,55
2015-02-15,良,53,40,36,48,5,17,1.21,77
2015-02-16,良,91,151,67,92,15,17,1.6,82
2015-02-17,轻度污染,136,277,103,150,24,23,2.09,90
2015-02-18,轻度污染,129,296,97,131,27,19,1.74,64
2015-02-19,中度污染,155,272,119,169,50,17,1.63,76
2015-02-20,良,57,157,40,50,4,9,1.45,50
