Time,City,质量等级,当天AQI排名,AQI指数,PM2.5,PM10,So2,No2,Co,O3,lrad,prec,pres,shum,srad,temp,wind
2014-01-01,西安,轻度污染,61,108,90,188,71,68,3.86,18,219.75,0.0,96506.0,0.0016590002924203873,124.5,272.5299987792969,1.3579978942871094
2014-01-02,西安,轻度污染,76,126,90,180,67,64,3.63,17,265.25,0.0,96506.0,0.0015939995646476746,79.5,275.92999267578125,2.5679969787597656
2014-01-03,西安,良,47,92,49,133,49,52,2.7,19,218.75,0.0,96506.0,0.001524999737739563,129.5,273.3800048828125,2.539997100830078
2014-01-04,西安,轻度污染,78,114,72,171,67,65,3.34,14,218.0,0.0,96506.0,0.0017360001802444458,127.5,272.4499816894531,1.4179954528808594
2014-01-05,西安,中度污染,139,199,151,289,110,82,4.17,13,244.5,0.0,96506.0,0.001857999712228775,99.25,274.0299987792969,1.6059989929199219
2014-01-06,西安,重度污染,144,215,165,307,145,83,4.2,13,303.5,0.00250244140625,96506.0,0.0026270002126693726,33.75,275.9499816894531,2.6299972534179688
2014-01-07,西安,轻度污染,98,124,89,164,63,52,3.03,12,302.75,0.0,96506.0,0.0024410001933574677,33.25,275.8399963378906,2.333995819091797
2014-01-08,西安,良,88,73,34,96,46,41,2.43,19,215.75,0.0,96506.0,0.0012890007346868515,122.25,270.2200012207031,1.4539985656738281
2014-01-09,西安,良,132,96,64,139,79,54,2.76,13,225.5,0.00749969482421875,96506.0,0.001524999737739563,106.0,269.57000732421875,2.4039955139160156
2014-01-10,西安,中度污染,153,178,135,235,119,76,3.01,13,263.75,0.0,96506.0,0.0020100008696317673,66.0,272.1199951171875,0.8339958190917969
2014-01-11,西安,中度污染,135,161,122,209,90,66,2.66,16,246.75,0.0,96506.0,0.0015859995037317276,101.0,274.9100036621094,3.1839981079101562
2014-01-12,西安,良,75,89,45,127,62,53,2.13,15,211.0,0.0,96506.0,0.0013779997825622559,130.25,269.9499816894531,0.8619956970214844
2014-01-13,西安,轻度污染,128,119,81,186,75,63,2.76,12,203.0,0.0,96506.0,0.00137300044298172,134.25,268.25,1.9579963684082031
2014-01-14,西安,中度污染,145,182,137,261,101,82,3.35,12,218.0,0.0,96506.0,0.0016360003501176834,121.25,269.7900085449219,1.8699989318847656
2014-01-15,西安,严重污染,156,279,228,369,125,92,3.69,14,284.0,0.0,96506.0,0.0021490007638931274,35.25,271.47998046875,1.8439979553222656
2014-01-16,西安,严重污染,177,317,266,390,121,101,3.96,15,219.5,0.0,96506.0,0.0017959997057914734,124.25,270.25,1.4719963073730469
2014-01-17,西安,重度污染,148,236,190,277,83,87,3.42,14,220.5,0.0,96506.0,0.001509999856352806,134.25,272.94000244140625,2.6539955139160156
2014-01-18,西安,轻度污染,67,124,93,175,91,72,2.57,14,228.5,0.0,96506.0,0.001391001045703888,132.75,274.92999267578125,3.447998046875
2014-01-19,西安,轻度污染,32,105,56,151,59,58,1.97,20,264.5,0.0,96506.0,0.001179000362753868,82.75,274.9100036621094,2.915996551513672
2014-01-20,西安,良,39,78,45,104,53,60,2.1,20,209.25,0.0,96506.0,0.0011309999972581863,146.25,271.3699951171875,1.7999954223632812
2014-01-21,西安,轻度污染,146,115,83,173,77,77,2.65,15,204.25,0.0,96506.0,0.0012330003082752228,144.5,269.0799865722656,1.2459983825683594
2014-01-22,西安,中度污染,180,190,144,231,92,90,3.11,17,211.0,0.0,96506.0,0.0013849996030330658,142.25,270.32000732421875,1.1379966735839844
2014-01-24,西安,重度污染,158,222,173,282,99,78,2.73,18,284.5,0.0,96506.0,0.0016850009560585022,66.75,276.0099792480469,2.177997589111328
2014-01-25,西安,轻度污染,98,131,98,189,78,70,2.49,17,232.5,0.0,96506.0,0.0018959995359182358,136.75,274.6399841308594,1.6379966735839844
2014-01-26,西安,中度污染,161,168,127,218,85,65,2.38,20,232.25,0.0,96506.0,0.0019990000873804092,133.0,273.17999267578125,2.115997314453125
2014-01-27,西安,严重污染,170,253,202,289,81,74,2.82,19,238.5,0.0,96506.0,0.00238800048828125,131.75,274.44000244140625,2.009998321533203
2014-01-28,西安,重度污染,172,247,197,281,88,76,2.9,22,254.0,0.0,96506.0,0.0023180004209280014,111.0,274.989990234375,2.0719985961914062
2014-01-29,西安,严重污染,181,293,242,331,82,84,3.08,29,244.75,0.0,96506.0,0.0026179999113082886,138.5,276.42999267578125,1.1659965515136719
2014-01-30,西安,严重污染,188,356,302,409,92,88,3.31,39,246.5,0.0,96506.0,0.0027489997446537018,139.0,276.66998291015625,2.4239959716796875
2014-01-31,西安,严重污染,189,486,527,659,125,85,3.84,24,302.25,0.0,96506.0,0.0030080005526542664,42.75,275.5199890136719,1.1339988708496094
2014-02-01,西安,严重污染,188,391,346,454,67,72,3.75,26,250.75,0.0,96298.0,0.0034309998154640198,129.75,275.5400085449219,1.1519966125488281
2014-02-02,西安,严重污染,187,432,395,508,64,87,4.34,33,258.75,0.0,96346.0,0.0034650005400180817,139.25,278.6399841308594,1.697998046875
2014-02-03,西安,严重污染,188,253,204,324,52,53,2.74,35,247.25,0.0,96338.0,0.001857999712228775,146.25,278.3399963378906,4.099998474121094
2014-02-04,西安,轻度污染,172,122,63,193,54,35,1.95,24,286.0,0.00250244140625,96228.0,0.002549000084400177,42.0,271.8699951171875,9.03399658203125
2014-02-05,西安,良,157,82,60,87,29,29,1.85,24,278.5,0.37000274658203125,96208.0,0.002735000103712082,39.75,270.0099792480469,4.313999176025391
2014-02-06,西安,轻度污染,156,101,75,96,47,33,1.88,20,277.75,0.08250045776367188,96208.0,0.0026830006390810013,40.0,269.72998046875,2.1939964294433594
2014-02-07,西安,中度污染,180,163,125,154,53,44,2.11,21,257.5,0.01000213623046875,96218.0,0.0027660001069307327,81.5,270.30999755859375,2.5219955444335938
2014-02-08,西安,重度污染,189,230,179,229,72,45,2.39,19,282.25,0.07250213623046875,96210.0,0.0029560010880231857,42.25,270.9100036621094,1.8419990539550781
2014-02-09,西安,良,173,93,68,98,55,36,1.92,29,284.25,0.0,96210.0,0.002567000687122345,33.0,270.17999267578125,2.2399978637695312
2014-02-10,西安,轻度污染,174,111,83,115,58,42,2.0,26,254.75,0.0,96220.0,0.002407999709248543,85.25,269.72998046875,1.8839988708496094
