Time,City,质量等级,当天AQI排名,AQI指数,PM2.5,PM10,So2,No2,Co,O3,lrad,prec,pres,shum,srad,temp,wind
2014-01-01,贵阳,轻度污染,99,128,105,145,85,70,1.52,40,334.25,0.0,88874.0,0.0051809996366500854,40.5,281.4700012207031,1.9159965515136719
2014-01-02,贵阳,轻度污染,94,143,107,138,78,58,1.36,52,332.5,0.0,88874.0,0.00508200004696846,38.5,280.8699951171875,2.8999977111816406
2014-01-03,贵阳,轻度污染,62,110,82,107,66,35,1.08,66,278.0,0.0,88874.0,0.004312001168727875,129.25,280.3999938964844,2.3839988708496094
2014-01-04,贵阳,轻度污染,91,121,91,121,114,65,1.25,47,273.25,0.0,88874.0,0.0037890002131462097,154.5,282.6499938964844,1.7079963684082031
2014-01-05,贵阳,中度污染,97,153,116,162,88,65,1.5,48,343.0,0.0,88874.0,0.0058650001883506775,43.5,283.5,2.1179962158203125
2014-01-06,贵阳,中度污染,118,187,142,176,63,52,1.37,31,322.75,0.01000213623046875,88874.0,0.0058920010924339294,43.5,279.25,2.6959991455078125
2014-01-07,贵阳,轻度污染,96,121,90,115,48,35,1.01,46,318.5,0.005001068115234375,88874.0,0.005064999684691429,42.5,278.2699890136719,3.221996307373047
2014-01-08,贵阳,轻度污染,142,109,82,89,39,33,1.08,38,306.0,0.0475006103515625,88874.0,0.004641000181436539,42.5,276.1000061035156,3.197998046875
2014-01-09,贵阳,轻度污染,155,122,92,99,64,33,1.08,49,308.75,0.0,88874.0,0.004583001136779785,43.75,276.3800048828125,1.865997314453125
2014-01-10,贵阳,良,34,75,54,45,23,35,1.36,22,305.25,0.30750274658203125,88874.0,0.005121000111103058,35.0,275.6499938964844,1.9419975280761719
2014-01-11,贵阳,良,12,54,39,42,46,29,1.3,17,302.75,0.09749984741210938,88874.0,0.0048600006848573685,39.0,275.2200012207031,2.263996124267578
2014-01-12,贵阳,良,25,58,41,42,40,28,1.24,21,304.0,0.08500289916992188,88874.0,0.004720000550150871,42.0,275.3899841308594,1.8499984741210938
2014-01-13,贵阳,良,69,83,61,58,47,34,1.17,48,298.5,0.030002593994140625,88874.0,0.004107000306248665,40.5,273.9499816894531,1.0279960632324219
2014-01-14,贵阳,轻度污染,110,131,99,134,71,53,1.83,23,269.25,0.0,88874.0,0.0044999998062849045,112.75,275.9499816894531,2.289997100830078
2014-01-15,贵阳,轻度污染,78,128,96,112,72,56,1.53,27,308.75,0.0,88874.0,0.003909001126885414,47.75,277.0,1.8759956359863281
2014-01-16,贵阳,中度污染,101,156,120,139,100,59,1.37,32,314.25,0.0,88874.0,0.004395000636577606,47.75,277.9499816894531,1.7199974060058594
2014-01-17,贵阳,轻度污染,73,148,112,126,107,45,1.29,42,269.0,0.00250244140625,88874.0,0.004700999706983566,150.5,279.29998779296875,2.4899978637695312
2014-01-18,贵阳,轻度污染,65,121,91,109,67,50,1.18,48,265.25,0.0,88874.0,0.004194000735878944,174.0,281.9599914550781,2.3439979553222656
2014-01-19,贵阳,轻度污染,46,115,86,107,59,41,1.04,61,278.75,0.0,88874.0,0.005115000531077385,143.5,280.29998779296875,3.1039962768554688
2014-01-20,贵阳,良,43,79,58,71,54,30,0.94,60,294.75,0.0,88874.0,0.003909999504685402,90.75,278.5400085449219,2.1759986877441406
2014-01-21,贵阳,轻度污染,166,134,101,126,83,60,1.46,35,253.75,0.0,88874.0,0.003082999959588051,179.25,280.239990234375,1.4499969482421875
2014-01-22,贵阳,轻度污染,121,113,84,114,79,54,1.24,49,260.25,0.0,88874.0,0.0030110012739896774,180.25,281.8699951171875,2.5719985961914062
2014-01-24,贵阳,轻度污染,73,107,80,104,47,37,0.94,107,274.75,0.0,88874.0,0.0046810004860162735,181.5,283.739990234375,1.977996826171875
2014-01-25,贵阳,中度污染,144,182,139,166,87,51,1.3,87,291.75,0.0,88874.0,0.0055360011756420135,160.5,284.1999816894531,1.6959953308105469
2014-01-26,贵阳,中度污染,157,159,120,132,51,36,1.07,58,333.0,0.0149993896484375,88874.0,0.006512999534606934,47.25,281.1399841308594,1.7299957275390625
2014-01-27,贵阳,轻度污染,149,150,113,116,59,34,1.16,35,344.5,0.0,88874.0,0.008097000420093536,45.75,283.3299865722656,2.2199974060058594
2014-01-28,贵阳,轻度污染,142,149,113,110,55,39,1.52,21,336.75,0.012500762939453125,88874.0,0.007515000179409981,43.0,281.5799865722656,2.355998992919922
2014-01-29,贵阳,轻度污染,132,136,102,108,68,41,1.74,26,346.0,0.0,88874.0,0.007805000990629196,47.0,283.5099792480469,1.39599609375
