Time,City,质量等级,当天AQI排名,AQI指数,PM2.5,PM10,So2,No2,Co,O3,lrad,prec,pres,shum,srad,temp,wind
2014-01-01,郑州,良,23,83,48,122,96,59,1.92,24,248.0,0.0,100270.0,0.0015939995646476746,123.0,281.66998291015625,2.2419967651367188
2014-01-02,郑州,良,43,98,80,177,132,72,2.56,17,297.25,0.0,100270.0,0.001709001138806343,70.25,282.3800048828125,2.7559967041015625
2014-01-03,郑州,良,33,83,46,114,91,53,1.89,29,248.25,0.0,100270.0,0.00173100084066391,118.5,280.22998046875,2.345996856689453
2014-01-04,郑州,轻度污染,72,110,74,166,79,78,2.4,20,241.25,0.0,100270.0,0.0018809996545314789,118.5,278.2099914550781,1.5319976806640625
2014-01-05,郑州,轻度污染,74,137,103,182,118,83,2.79,21,249.75,0.0,100270.0,0.002221999689936638,109.75,278.07000732421875,1.8159980773925781
2014-01-06,郑州,中度污染,114,186,141,190,96,82,3.11,18,312.0,0.0,100270.0,0.00327100045979023,32.0,277.6399841308594,1.8239974975585938
2014-01-07,郑州,重度污染,157,228,177,242,145,92,3.47,14,313.5,0.0149993896484375,100270.0,0.0029770005494356155,31.5,278.0,1.5979957580566406
2014-01-08,郑州,轻度污染,155,124,93,129,92,70,2.84,15,285.75,0.0,100270.0,0.0021280013024806976,45.0,274.0400085449219,1.1299972534179688
2014-01-09,郑州,轻度污染,147,113,84,116,63,58,2.52,19,235.0,0.0,100270.0,0.0019899997860193253,111.0,274.0799865722656,1.6779975891113281
2014-01-10,郑州,中度污染,156,184,142,224,89,70,3.05,13,281.25,0.0,100270.0,0.002735000103712082,60.0,275.22998046875,1.25799560546875
2014-01-11,郑州,严重污染,169,264,214,300,91,74,3.62,13,313.5,0.0,100270.0,0.002399999648332596,32.75,278.2200012207031,1.7999954223632812
2014-01-12,郑州,良,86,94,70,99,78,51,2.79,24,242.0,0.0,100270.0,0.001358000561594963,106.75,275.1499938964844,1.7499961853027344
2014-01-13,郑州,轻度污染,131,121,91,152,79,66,3.16,16,241.5,0.0,100270.0,0.0019049998372793198,112.25,275.2699890136719,1.6359977722167969
2014-01-14,郑州,中度污染,148,190,143,200,35,53,3.01,17,294.75,0.0,100270.0,0.0031690001487731934,33.0,273.739990234375,1.0719985961914062
2014-01-15,郑州,重度污染,135,219,169,226,55,63,3.38,14,297.5,0.0,100270.0,0.0031380001455545425,33.0,274.3500061035156,1.7619972229003906
2014-01-16,郑州,重度污染,150,240,192,265,115,78,3.65,17,264.5,0.0,100270.0,0.0025230012834072113,89.0,275.8899841308594,1.9299964904785156
2014-01-17,郑州,严重污染,173,308,257,338,119,88,4.51,15,252.0,0.0,100270.0,0.0024239998310804367,91.75,273.1099853515625,2.0359954833984375
2014-01-18,郑州,严重污染,161,279,229,301,84,73,3.91,23,246.25,0.0,100270.0,0.0021550003439188004,118.25,276.55999755859375,1.8679962158203125
2014-01-19,郑州,中度污染,110,184,133,204,78,48,2.88,26,307.75,0.0,100270.0,0.0011299997568130493,57.5,281.239990234375,4.477996826171875
2014-01-20,郑州,优,7,49,25,56,48,31,1.83,39,226.0,0.0,100270.0,0.0008770003914833069,143.0,277.489990234375,2.7259979248046875
2014-01-21,郑州,良,57,75,47,99,55,46,1.02,25,221.5,0.0,100270.0,0.0010759998112916946,139.25,274.67999267578125,1.6939964294433594
2014-01-22,郑州,轻度污染,109,107,77,146,71,63,1.41,25,237.5,0.0,100270.0,0.0017830003052949905,133.25,276.7599792480469,1.3519973754882812
2014-01-24,郑州,严重污染,171,253,202,286,134,94,3.81,13,309.25,0.005001068115234375,100270.0,0.0022529996931552887,37.25,277.1600036621094,1.3379974365234375
2014-01-25,郑州,中度污染,139,179,143,195,100,65,3.16,26,257.5,0.005001068115234375,100270.0,0.0017360001802444458,118.0,278.8399963378906,1.6059989929199219
2014-01-26,郑州,良,68,73,53,79,50,42,1.31,28,255.0,0.0,100270.0,0.002394000068306923,114.5,276.7099914550781,1.7559967041015625
2014-01-27,郑州,轻度污染,110,107,80,122,67,59,1.83,22,263.5,0.0,100270.0,0.0028450004756450653,125.75,280.0400085449219,1.5659980773925781
2014-01-28,郑州,轻度污染,135,137,103,150,72,54,2.28,32,263.0,0.005001068115234375,100270.0,0.0021430011838674545,120.25,279.489990234375,2.0579986572265625
2014-01-29,郑州,中度污染,156,186,140,189,68,52,2.47,38,276.5,0.00250244140625,100270.0,0.003367999568581581,116.25,280.989990234375,1.9859962463378906
2014-01-30,郑州,重度污染,156,246,196,262,89,57,3.05,35,278.0,0.0,100270.0,0.004094000905752182,113.75,279.8599853515625,1.7419967651367188
2014-01-31,郑州,严重污染,145,281,230,302,26,43,3.28,15,312.5,0.00749969482421875,100270.0,0.004576001316308975,35.25,277.3999938964844,1.4759979248046875
2014-02-01,郑州,重度污染,157,228,177,217,103,58,4.0,14,315.0,0.0,100006.0,0.0036079995334148407,38.75,278.0899963378906,1.2439956665039062
2014-02-02,郑州,严重污染,170,271,221,278,71,50,3.8,20,287.75,0.0,100010.0,0.004072999581694603,89.5,278.8699951171875,2.7399978637695312
2014-02-03,郑州,轻度污染,131,103,73,95,43,29,1.96,34,244.25,0.0,100004.0,0.002379000186920166,130.75,274.79998779296875,2.2319984436035156
2014-02-04,郑州,良,114,62,44,51,26,25,1.4,29,292.25,0.0,100004.0,0.0023180004209280014,40.25,273.17999267578125,2.6959991455078125
2014-02-05,郑州,优,97,50,33,47,18,21,1.47,34,283.25,0.3100013732910156,100004.0,0.0026489999145269394,39.5,271.0,2.221996307373047
2014-02-06,郑州,良,131,73,51,93,40,30,1.88,27,284.5,0.30750274658203125,100004.0,0.0027900002896785736,39.5,271.2799987792969,1.9599990844726562
2014-02-07,郑州,轻度污染,170,133,100,170,75,41,2.29,28,291.5,0.0,100004.0,0.0028349999338388443,40.0,272.6499938964844,1.5099983215332031
2014-02-08,郑州,轻度污染,170,137,104,138,51,31,1.77,44,291.0,0.0,100004.0,0.00269399955868721,41.75,272.8299865722656,2.1679954528808594
2014-02-09,郑州,良,138,78,56,73,37,25,1.55,39,264.75,0.0,100004.0,0.0016120001673698425,66.0,270.2900085449219,2.4559974670410156
2014-02-10,郑州,优,25,38,17,37,37,30,1.32,37,212.5,0.0,100004.0,0.001229001209139824,151.5,268.5400085449219,1.3899955749511719
2014-02-11,郑州,良,98,83,51,106,56,46,1.7,27,221.75,0.0,100004.0,0.0017610006034374237,148.25,270.2699890136719,1.7479972839355469
2014-02-12,郑州,轻度污染,129,124,94,114,44,36,1.84,51,249.75,0.00250244140625,100004.0,0.0018230006098747253,109.25,271.989990234375,1.5219955444335938
2014-02-13,郑州,中度污染,170,184,139,175,124,54,2.48,31,252.25,0.0,100004.0,0.002061000093817711,109.0,272.04998779296875,0.9279975891113281
2014-02-14,郑州,重度污染,170,220,170,224,117,58,2.56,33,242.25,0.0,100004.0,0.002516999840736389,152.5,275.1099853515625,1.8619956970214844
2014-02-15,郑州,重度污染,157,219,171,219,72,49,2.19,33,276.25,0.0,100006.0,0.00306599959731102,105.5,276.6600036621094,1.6599960327148438
2014-02-16,郑州,重度污染,163,201,159,193,45,54,2.63,23,310.5,0.049999237060546875,100006.0,0.0034910012036561966,45.0,276.9100036621094,2.135997772216797
2014-02-17,郑州,重度污染,185,231,186,207,42,48,3.04,22,299.25,0.1725006103515625,100004.0,0.0034740008413791656,44.5,274.5,3.135997772216797
2014-02-18,郑州,良,114,76,55,85,36,36,1.61,31,257.75,0.00250244140625,100004.0,0.0030070003122091293,133.5,275.55999755859375,1.7659988403320312
2014-02-19,郑州,中度污染,172,158,120,181,70,48,2.27,24,258.25,0.0,100010.0,0.00325700081884861,158.0,278.16998291015625,2.2099990844726562
2014-02-20,郑州,重度污染,184,238,187,282,48,52,2.49,17,277.25,0.005001068115234375,100008.0,0.00375400111079216,108.0,276.3800048828125,1.2419967651367188
2014-02-21,郑州,轻度污染,60,108,81,122,44,47,1.86,37,264.5,0.037502288818359375,100014.0,0.0035340003669261932,157.25,279.2099914550781,1.7519989013671875
2014-02-22,郑州,中度污染,117,151,114,184,41,53,2.13,25,304.0,0.0,100014.0,0.004146000370383263,85.75,279.5400085449219,1.2399978637695312
2014-02-23,郑州,中度污染,131,175,132,178,37,49,1.82,28,331.5,0.06500244140625,100018.0,0.00463700108230114,47.25,281.1600036621094,1.4899978637695312
2014-02-24,郑州,重度污染,167,249,199,265,37,48,2.29,28,330.75,0.0,100018.0,0.004796000197529793,51.75,281.1600036621094,1.477996826171875
2014-02-25,郑州,重度污染,162,244,196,253,39,51,2.14,27,332.5,0.00250244140625,100022.0,0.005157999694347382,58.75,282.1499938964844,1.5559959411621094
2014-02-26,郑州,轻度污染,113,128,97,130,38,47,1.47,24,349.75,0.0,100032.0,0.005754999816417694,49.25,284.6399841308594,1.9019966125488281
2014-02-27,郑州,轻度污染,161,133,96,143,43,38,1.67,33,331.25,0.00749969482421875,100018.0,0.0033529996871948242,50.5,281.5099792480469,3.595996856689453
2014-02-28,郑州,良,99,66,44,79,35,38,1.4,24,313.5,0.06500244140625,100004.0,0.0039799995720386505,51.25,277.6000061035156,1.2259979248046875
2014-03-01,郑州,轻度污染,172,139,106,194,50,48,1.79,23,280.25,0.005001068115234375,100006.0,0.004110001027584076,137.25,278.72998046875,1.6099967956542969
2014-03-02,郑州,中度污染,166,185,139,267,55,47,1.88,25,297.75,0.0,100012.0,0.004120999947190285,123.5,280.44000244140625,2.591999053955078
2014-03-03,郑州,轻度污染,137,118,89,145,41,41,1.61,44,286.25,0.0,100022.0,0.003922000527381897,160.75,282.1600036621094,2.1859970092773438
2014-03-04,郑州,中度污染,181,176,135,212,65,52,2.27,32,295.75,0.00250244140625,100014.0,0.003384999930858612,126.5,280.7699890136719,2.4599990844726562
2014-03-05,郑州,良,82,70,50,77,30,45,1.52,21,313.75,0.0,100002.0,0.0033730007708072662,56.0,277.79998779296875,2.0739974975585938
2014-03-06,郑州,良,133,87,63,112,32,44,1.63,21,320.25,0.01000213623046875,100006.0,0.0036500003188848495,56.25,279.0099792480469,1.6219978332519531
2014-03-07,郑州,良,139,89,66,103,37,42,1.76,35,312.0,0.00749969482421875,100012.0,0.0036389995366334915,84.5,279.9499816894531,1.779998779296875
2014-03-08,郑州,轻度污染,150,123,93,136,81,52,2.09,36,283.75,0.00749969482421875,100014.0,0.0038210004568099976,161.25,280.94000244140625,1.7439956665039062
2014-03-09,郑州,轻度污染,143,124,93,146,82,51,1.99,39,281.5,0.01000213623046875,100038.0,0.003208000212907791,209.25,285.8699951171875,2.141998291015625
2014-03-10,郑州,良,68,83,60,104,48,39,1.68,62,276.5,0.005001068115234375,100038.0,0.0033660009503364563,218.75,285.94000244140625,2.8479957580566406
2014-03-11,郑州,良,64,89,66,101,52,48,1.96,49,320.5,0.0,100038.0,0.005188001319766045,144.5,285.9599914550781,2.39599609375
2014-03-12,郑州,中度污染,180,171,99,215,38,48,2.36,27,319.25,0.0,100006.0,0.0035110004246234894,59.0,278.9499816894531,3.4759979248046875
2014-03-13,郑州,良,133,90,56,117,57,46,2.01,26,262.75,0.00250244140625,100026.0,0.002234000712633133,221.5,283.1199951171875,2.135997772216797
2014-03-14,郑州,良,109,91,53,131,60,51,1.84,33,275.5,0.0,100040.0,0.0026420000940561295,232.75,286.3500061035156,2.3699989318847656
2014-03-15,郑州,轻度污染,127,111,80,136,58,58,2.13,40,302.75,0.0,100058.0,0.004253000020980835,230.5,290.5099792480469,2.427997589111328
2014-03-16,郑州,轻度污染,120,119,88,147,63,61,2.17,45,314.0,0.005001068115234375,100060.0,0.005904000252485275,231.5,290.9599914550781,2.7459983825683594
2014-03-17,郑州,轻度污染,126,145,108,175,76,63,1.98,50,332.75,0.0,100072.0,0.005637001246213913,210.25,293.6600036621094,2.277996063232422
2014-03-18,郑州,重度污染,153,224,176,300,52,46,1.82,46,315.5,0.14750289916992188,100046.0,0.004871999844908714,182.0,287.8699951171875,3.2239990234375
2014-03-19,郑州,良,79,89,65,101,41,40,1.76,45,314.75,0.0,100032.0,0.003600001335144043,136.25,284.66998291015625,1.9899978637695312
2014-03-20,郑州,良,79,74,46,95,44,48,1.87,39,272.0,0.022502899169921875,100030.0,0.002728000283241272,231.0,284.3599853515625,1.8759956359863281
2014-03-21,郑州,轻度污染,174,109,80,143,76,63,2.13,41,288.0,0.0,100040.0,0.0038120001554489136,229.25,286.5099792480469,2.6719970703125
2014-03-22,郑州,良,134,99,72,129,60,65,2.03,48,295.25,0.00250244140625,100050.0,0.004031000658869743,237.25,288.57000732421875,1.7519989013671875
2014-03-23,郑州,良,98,93,68,104,35,57,2.04,42,339.25,0.00250244140625,100046.0,0.004983000457286835,126.75,287.47998046875,1.5159988403320312
2014-03-25,郑州,中度污染,159,188,142,225,90,79,2.76,36,349.25,0.00250244140625,100060.0,0.0072210002690553665,165.75,290.9599914550781,1.3839988708496094
2014-03-26,郑州,重度污染,161,201,157,232,54,62,2.45,40,360.75,0.0,100070.0,0.009529000148177147,191.25,293.17999267578125,2.141998291015625
2014-03-27,郑州,良,69,98,69,111,30,40,2.22,61,355.25,0.0,100078.0,0.008307000622153282,219.5,295.19000244140625,2.947998046875
2014-03-28,郑州,良,112,95,59,129,44,51,1.89,52,356.25,0.0,100078.0,0.0067360009998083115,195.25,295.0799865722656,2.2239990234375
2014-03-29,郑州,中度污染,162,169,123,213,50,56,2.4,61,338.5,0.0,100072.0,0.0072290003299713135,233.0,293.6999816894531,2.2399978637695312
2014-03-30,郑州,中度污染,186,184,139,175,34,54,2.33,44,384.0,0.07500076293945312,100060.0,0.00695200078189373,66.25,290.8599853515625,1.8899955749511719
2014-03-31,郑州,轻度污染,145,112,79,130,55,53,2.15,57,331.5,0.0,100058.0,0.004590000957250595,192.5,290.42999267578125,1.5459976196289062
2014-04-01,郑州,轻度污染,165,125,85,173,68,59,2.42,64,331.5,0.00250244140625,100062.0,0.005626000463962555,216.25,291.5099792480469,2.263996124267578
2014-04-02,郑州,良,115,91,62,123,42,57,2.13,67,331.25,0.0,100062.0,0.005698001012206078,223.25,291.3299865722656,2.165996551513672
2014-04-03,郑州,轻度污染,153,101,61,151,30,58,2.26,43,338.25,0.0,100042.0,0.005110999569296837,127.0,286.7099914550781,2.1299972534179688
2014-04-04,郑州,轻度污染,174,129,78,195,60,72,2.53,44,315.0,0.00749969482421875,100068.0,0.004408000037074089,259.75,292.7799987792969,2.6739959716796875
2014-04-05,郑州,轻度污染,174,145,46,208,44,45,2.07,55,281.0,0.0,100040.0,0.003223000094294548,265.75,286.54998779296875,1.9899978637695312
2014-04-06,郑州,良,107,85,51,119,35,62,2.13,49,298.0,0.0,100048.0,0.0037869997322559357,234.25,287.8899841308594,2.779998779296875
2014-04-07,郑州,轻度污染,138,101,69,148,51,65,2.34,52,331.5,0.0,100060.0,0.005947001278400421,223.25,290.7599792480469,1.7859954833984375
2014-04-08,郑州,中度污染,160,156,118,193,41,73,2.8,56,344.25,0.0,100072.0,0.00745600089430809,240.5,293.5,2.0759963989257812
2014-04-09,郑州,轻度污染,125,123,89,146,40,52,2.51,75,350.75,0.0,100080.0,0.007596001029014587,256.25,295.75,2.5159988403320312
2014-04-10,郑州,轻度污染,129,114,79,162,33,48,2.54,51,376.5,0.0,100056.0,0.006178000941872597,71.25,289.79998779296875,3.3679962158203125
2014-04-11,郑州,良,111,89,59,109,31,47,2.61,40,350.0,0.5675010681152344,100032.0,0.006443001329898834,72.25,284.5,2.2419967651367188
2014-04-12,郑州,中度污染,178,165,124,183,37,63,3.23,31,358.75,0.005001068115234375,100042.0,0.007642000913619995,88.5,286.9499816894531,1.4919967651367188
2014-04-13,郑州,轻度污染,161,149,112,172,41,65,2.68,42,344.5,0.0,100058.0,0.00824500061571598,216.75,290.6499938964844,1.8839988708496094
2014-04-14,郑州,良,53,71,44,91,27,36,2.06,67,341.75,0.012500762939453125,100066.0,0.008354000747203827,262.75,292.489990234375,2.6139984130859375
2014-04-15,郑州,轻度污染,128,104,77,112,21,41,2.15,50,372.75,0.4225006103515625,100048.0,0.008702000603079796,72.0,288.30999755859375,2.1279983520507812
2014-04-16,郑州,轻度污染,183,134,100,151,32,48,2.42,42,375.75,0.027500152587890625,100056.0,0.00838400050997734,89.5,289.72998046875,1.6359977722167969
2014-04-17,郑州,中度污染,174,163,124,167,38,47,2.66,50,354.25,0.0,100068.0,0.009085999801754951,225.5,292.5799865722656,1.7479972839355469
2014-04-18,郑州,中度污染,177,179,135,163,28,37,2.46,46,371.25,0.6200027465820312,100048.0,0.009051000699400902,72.25,288.0799865722656,2.7459983825683594
2014-04-19,郑州,良,157,82,56,80,19,36,1.7,49,362.25,0.05750274658203125,100048.0,0.008321000263094902,107.25,288.19000244140625,1.28399658203125
2014-04-20,郑州,轻度污染,168,109,80,146,35,66,1.59,35,369.75,0.0,100054.0,0.008737999945878983,113.75,289.67999267578125,1.9579963684082031
2014-04-21,郑州,轻度污染,170,137,98,195,27,73,1.8,26,380.25,0.00749969482421875,100054.0,0.0090549997985363,73.75,289.69000244140625,1.1359977722167969
2014-04-22,郑州,轻度污染,145,105,76,129,49,46,1.58,51,337.0,0.0,100064.0,0.008232999593019485,270.5,292.03997802734375,2.6039962768554688
2014-04-23,郑州,良,64,76,53,96,31,39,1.42,54,369.75,0.0,100064.0,0.009101999923586845,165.0,291.8899841308594,2.2439956665039062
2014-04-24,郑州,良,79,78,55,97,25,48,1.43,50,353.75,0.0,100064.0,0.009169001132249832,217.0,291.78997802734375,1.977996826171875
2014-04-25,郑州,良,125,84,61,93,25,58,1.53,32,372.25,0.595001220703125,100050.0,0.008201001212000847,74.75,288.489990234375,3.28399658203125
2014-04-26,郑州,良,151,88,53,124,51,48,1.47,27,371.0,0.00250244140625,100050.0,0.006357001140713692,80.5,288.6399841308594,1.6439971923828125
2014-04-27,郑州,轻度污染,158,101,64,146,46,57,1.65,36,325.0,0.0,100060.0,0.005956999957561493,266.75,291.03997802734375,1.8459968566894531
2014-04-28,郑州,良,151,90,56,125,41,59,1.52,47,337.5,0.0,100062.0,0.006541000679135323,251.75,291.4499816894531,1.7919960021972656
