Time,City,质量等级,当天AQI排名,AQI指数,PM2.5,PM10,So2,No2,Co,O3,lrad,prec,pres,shum,srad,temp,wind
2014-01-01,银川,良,8,66,44,94,77,54,2.04,24,210.0,0.0,88434.0,0.0013520009815692902,102.75,270.5400085449219,0.9019966125488281
2014-01-02,银川,良,17,72,49,88,91,53,1.81,26,218.25,0.0,88432.0,0.0012730006128549576,97.0,271.4700012207031,1.9019966125488281
2014-01-03,银川,良,10,60,36,67,78,50,1.57,31,216.25,0.0,88452.0,0.0012400001287460327,101.5,272.2099914550781,1.6339988708496094
2014-01-04,银川,良,16,57,30,63,57,40,1.32,45,211.25,0.0,88462.0,0.0011120010167360306,107.25,272.05999755859375,1.8419990539550781
2014-01-05,银川,良,12,78,52,101,106,52,2.56,19,214.5,0.0,88426.0,0.0014239996671676636,94.75,269.2099914550781,1.6559982299804688
2014-01-06,银川,良,27,89,63,119,145,65,2.9,11,276.5,0.0,88426.0,0.0012539997696876526,27.75,269.7799987792969,0.9839973449707031
2014-01-07,银川,良,34,74,41,96,139,51,1.64,22,223.5,0.0,88426.0,0.000870000571012497,77.25,267.6199951171875,1.3379974365234375
2014-01-08,银川,优,26,47,25,49,68,30,0.98,42,186.5,0.0,88426.0,0.0007210001349449158,110.25,264.92999267578125,1.7919960021972656
2014-01-09,银川,良,40,62,39,69,94,41,1.59,29,187.25,0.0,88426.0,0.0007480010390281677,110.75,264.67999267578125,1.4559974670410156
2014-01-10,银川,良,53,85,61,101,135,67,2.23,15,264.75,0.0,88426.0,0.0009679999202489853,27.75,266.9499816894531,1.0479965209960938
2014-01-11,银川,良,54,85,61,99,160,61,1.84,24,210.0,0.0,88426.0,0.0008840002119541168,96.0,267.92999267578125,1.7699966430664062
2014-01-12,银川,良,24,57,33,61,126,48,1.18,31,188.0,0.0,88426.0,0.0008889995515346527,113.25,264.9100036621094,1.1559982299804688
2014-01-13,银川,良,56,77,55,90,103,57,2.09,17,208.5,0.0,88426.0,0.0009480006992816925,94.0,266.3299865722656,1.8819961547851562
2014-01-14,银川,良,44,72,50,88,112,53,1.86,20,195.0,0.0,88426.0,0.000873001292347908,114.5,267.239990234375,1.9019966125488281
2014-01-15,银川,良,53,94,67,120,180,63,2.78,18,198.75,0.0,88426.0,0.0009840000420808792,111.25,266.8999938964844,0.7619972229003906
2014-01-16,银川,轻度污染,47,108,81,139,145,62,2.6,19,196.75,0.00250244140625,88426.0,0.0010379999876022339,114.5,266.97998046875,1.1899986267089844
2014-01-17,银川,良,37,97,69,122,164,66,2.03,17,197.0,0.0,88426.0,0.0009490009397268295,115.5,267.2099914550781,1.2699966430664062
2014-01-18,银川,良,24,87,57,117,116,55,2.34,18,209.5,0.0,88426.0,0.0009400006383657455,108.0,268.91998291015625,1.865997314453125
2014-01-19,银川,良,7,76,30,101,81,27,1.31,56,204.75,0.0,88428.0,0.0008150003850460052,119.25,270.3899841308594,2.3819961547851562
2014-01-20,银川,良,18,62,37,71,101,46,1.65,28,194.5,0.0,88426.0,0.0008899997919797897,120.25,266.79998779296875,1.3739967346191406
2014-01-21,银川,良,60,77,52,95,118,60,2.12,20,199.25,0.0,88426.0,0.0010369997471570969,121.0,267.8800048828125,1.1879959106445312
2014-01-22,银川,轻度污染,136,126,95,161,174,75,3.38,18,210.0,0.0,88450.0,0.0012340005487203598,118.75,270.16998291015625,1.2959976196289062
2014-01-24,银川,中度污染,134,172,127,233,232,91,3.69,14,250.5,0.0,88458.0,0.0013319998979568481,77.25,271.72998046875,1.0699958801269531
2014-01-25,银川,轻度污染,82,112,84,159,141,62,2.7,24,213.25,0.0,88446.0,0.001346999779343605,122.0,271.2200012207031,1.3499984741210938
2014-01-26,银川,中度污染,155,155,117,194,246,89,3.43,17,222.75,0.0,88478.0,0.001546001061797142,118.25,272.4700012207031,1.2899971008300781
2014-01-27,银川,轻度污染,148,147,107,195,219,75,3.11,19,224.25,0.0,88450.0,0.0014120005071163177,114.0,272.0099792480469,1.1319961547851562
2014-01-28,银川,良,85,81,57,100,113,52,1.9,29,220.0,0.0,88476.0,0.00153299979865551,127.75,273.2900085449219,1.451995849609375
2014-01-29,银川,良,82,93,63,127,137,45,1.65,39,226.25,0.0,88520.0,0.0015259999781847,128.75,275.07000732421875,1.75799560546875
2014-01-30,银川,良,46,91,64,110,172,53,1.53,31,225.75,0.0,88520.0,0.0016760006546974182,130.0,274.5400085449219,1.4139976501464844
