Time,City,质量等级,当天AQI排名,AQI指数,PM2.5,PM10,So2,No2,Co,O3,lrad,prec,pres,shum,srad,temp,wind
2014-01-01,长春,良,6,62,26,51,51,25,0.6,38,181.0,0.0,98910.0,0.0007680002599954605,73.0,260.8800048828125,2.259998321533203
2014-01-02,长春,良,11,69,46,99,63,42,0.96,29,205.5,0.0,98910.0,0.0010560005903244019,60.75,263.92999267578125,2.717998504638672
2014-01-03,长春,轻度污染,73,120,89,135,78,54,1.13,23,164.5,0.0,98910.0,0.0006870012730360031,75.75,256.66998291015625,1.3799972534179688
2014-01-04,长春,轻度污染,113,140,106,145,71,62,1.46,24,175.75,0.0,98910.0,0.0006579998880624771,74.0,259.17999267578125,1.5059967041015625
2014-01-05,长春,重度污染,168,250,200,265,92,83,2.33,21,176.25,0.0,98910.0,0.0007509998977184296,72.5,259.07000732421875,1.3039970397949219
2014-01-06,长春,中度污染,87,158,123,165,92,59,1.44,31,205.5,0.0,98918.0,0.0017879996448755264,77.25,268.04998779296875,4.571998596191406
2014-01-07,长春,良,62,91,66,96,65,37,0.97,31,186.5,0.0,98910.0,0.0010960008949041367,77.0,263.1099853515625,2.789997100830078
2014-01-08,长春,良,69,61,35,69,50,29,0.58,39,157.5,0.0,98910.0,0.00042900070548057556,83.5,255.14999389648438,2.4299964904785156
2014-01-09,长春,良,94,74,52,82,61,37,0.79,35,165.0,0.0,98910.0,0.0003159996122121811,79.5,255.8199920654297,3.233997344970703
2014-01-10,长春,良,41,79,57,88,78,43,0.8,30,172.5,0.0,98910.0,0.0007250010967254639,81.0,258.8299865722656,2.609996795654297
2014-01-11,长春,良,45,80,57,97,79,42,0.82,33,170.75,0.0,98910.0,0.0007119998335838318,83.5,259.0299987792969,3.0059967041015625
2014-01-12,长春,良,79,91,67,97,58,37,0.8,37,153.75,0.0,98910.0,0.0003570001572370529,82.0,252.38999938964844,2.2499961853027344
2014-01-13,长春,轻度污染,120,114,85,122,70,48,1.15,27,155.0,0.0,98910.0,0.0003009997308254242,88.5,253.57998657226562,1.8239974975585938
2014-01-14,长春,轻度污染,116,137,103,144,84,58,1.38,28,173.5,0.0,98910.0,0.0007950011640787125,87.0,260.239990234375,2.5639991760253906
2014-01-15,长春,轻度污染,100,146,111,151,107,59,1.49,27,196.25,0.0,98910.0,0.0009690001606941223,67.75,261.7900085449219,2.4659957885742188
2014-01-16,长春,中度污染,102,158,120,157,77,53,1.23,37,164.0,0.0,98910.0,0.00039399974048137665,83.0,254.14999389648438,2.2419967651367188
2014-01-17,长春,中度污染,89,164,124,163,99,61,1.41,30,177.0,0.0,98910.0,0.00047899968922138214,80.25,257.6300048828125,1.3219985961914062
2014-01-18,长春,中度污染,85,157,119,159,72,51,1.28,30,167.25,0.0,98910.0,0.0006349999457597733,86.5,257.30999755859375,2.4999961853027344
2014-01-19,长春,良,22,96,72,97,81,44,1.09,34,224.25,0.15999984741210938,98910.0,0.001024000346660614,40.75,260.9599914550781,2.565998077392578
2014-01-20,长春,轻度污染,108,139,105,128,83,54,1.26,33,186.25,0.042499542236328125,98910.0,0.000700000673532486,65.75,256.7200012207031,2.1539955139160156
2014-01-21,长春,中度污染,188,179,136,172,94,61,1.47,33,170.75,0.0,98910.0,0.0008739996701478958,91.25,258.9100036621094,3.345996856689453
2014-01-22,长春,轻度污染,153,138,104,138,120,68,1.55,32,195.75,0.0,98910.0,0.0011510010808706284,87.25,264.2699890136719,2.9379959106445312
2014-01-24,长春,中度污染,131,167,127,158,76,50,1.35,48,215.75,0.0,98910.0,0.0015240013599395752,66.0,264.510009765625,1.7739982604980469
2014-01-25,长春,轻度污染,114,143,110,141,62,53,1.25,32,212.25,0.0,98910.0,0.0008020009845495224,48.25,259.1999816894531,2.5499954223632812
2014-01-26,长春,良,66,71,50,80,73,38,0.86,41,186.75,0.0,98912.0,0.0008390005677938461,101.75,264.3800048828125,3.8619956970214844
2014-01-27,长春,良,71,78,35,106,65,26,0.72,44,231.25,0.0,98916.0,0.0012609995901584625,52.0,264.5199890136719,4.28399658203125
2014-01-28,长春,良,44,61,34,69,57,25,0.7,49,172.75,0.0,98910.0,0.0006400011479854584,102.75,259.510009765625,3.5059967041015625
2014-01-29,长春,良,65,81,48,113,70,29,0.91,50,220.0,0.005001068115234375,98924.0,0.0014079995453357697,77.5,266.6600036621094,4.301998138427734
2014-01-30,长春,良,36,88,64,97,76,26,0.86,40,170.75,0.0,98910.0,0.0006640013307332993,99.25,257.9100036621094,1.8839988708496094
2014-01-31,长春,重度污染,94,213,164,216,101,38,1.33,41,177.75,0.0,98910.0,0.0006770007312297821,104.5,260.6999816894531,1.7619972229003906
2014-02-01,长春,中度污染,128,176,135,167,106,41,1.5,62,212.75,0.0,98912.0,0.0014210008084774017,99.75,268.91998291015625,3.3479957580566406
2014-02-02,长春,中度污染,109,189,44,255,51,15,0.79,57,195.0,0.0,98862.0,0.0008230004459619522,96.5,263.3899841308594,6.227996826171875
2014-02-03,长春,优,33,50,21,55,42,14,0.68,53,158.0,0.0,98780.0,0.000331999734044075,113.5,254.64999389648438,3.009998321533203
2014-02-04,长春,良,76,52,30,56,60,22,0.8,45,171.0,0.0,98792.0,0.00042900070548057556,100.25,255.989990234375,2.3479957580566406
2014-02-05,长春,良,151,79,57,85,71,33,1.11,39,166.5,0.0,98814.0,0.000531001016497612,118.25,258.2799987792969,1.4899978637695312
2014-02-06,长春,良,147,92,68,98,72,38,1.21,37,168.75,0.0,98812.0,0.0006480012089014053,115.5,258.1199951171875,1.7319984436035156
2014-02-07,长春,轻度污染,153,107,80,114,88,47,1.32,34,207.75,0.0,98842.0,0.0007360000163316727,76.25,261.2200012207031,2.4799957275390625
2014-02-08,长春,良,138,90,66,92,65,32,1.04,56,192.25,0.0,98822.0,0.0007220003753900528,90.75,259.16998291015625,2.7659988403320312
2014-02-09,长春,良,125,73,53,76,56,34,0.8,44,160.75,0.0,98794.0,0.0004990007728338242,124.0,256.1099853515625,1.4919967651367188
2014-02-10,长春,良,147,82,60,87,67,39,1.01,42,170.75,0.0,98830.0,0.000539001077413559,126.0,260.010009765625,2.39599609375
2014-02-11,长春,良,94,82,60,88,84,46,1.03,44,175.0,0.0,98838.0,0.0005680005997419357,129.5,260.8699951171875,1.3859977722167969
2014-02-12,长春,轻度污染,144,142,107,149,79,57,1.34,42,179.0,0.0,98838.0,0.0007419995963573456,123.0,260.760009765625,2.411998748779297
2014-02-13,长春,轻度污染,108,103,76,104,83,50,1.05,47,181.25,0.0,98854.0,0.0007819999009370804,131.0,262.44000244140625,2.359996795654297
2014-02-14,长春,轻度污染,117,131,99,154,90,49,1.34,49,235.0,0.032501220703125,98894.0,0.0016189999878406525,79.0,266.8299865722656,3.0219955444335938
2014-02-15,长春,中度污染,123,165,125,164,113,54,1.34,45,207.25,0.0,98890.0,0.001524999737739563,116.0,266.5199890136719,1.9259986877441406
2014-02-16,长春,轻度污染,139,141,107,138,82,50,1.19,55,190.75,0.0,98856.0,0.0009490009397268295,121.0,262.6600036621094,1.6039962768554688
2014-02-17,长春,中度污染,163,160,122,159,67,63,1.41,39,190.25,0.0,98856.0,0.0010940004140138626,125.5,262.6399841308594,1.3559989929199219
2014-02-18,长春,良,158,99,74,101,57,49,1.07,40,181.0,0.0,98860.0,0.0005489997565746307,139.75,263.1600036621094,1.2739982604980469
2014-02-19,长春,良,112,97,72,116,88,59,1.2,41,184.75,0.0,98856.0,0.0007640011608600616,135.25,262.7799987792969,1.8179969787597656
2014-02-20,长春,良,89,97,72,103,77,54,1.2,44,191.75,0.0,98876.0,0.001183999702334404,143.0,264.8500061035156,1.9859962463378906
2014-02-21,长春,良,49,92,68,100,65,58,1.01,60,200.0,0.0,98902.0,0.0012379996478557587,144.75,267.80999755859375,2.023998260498047
2014-02-22,长春,轻度污染,88,132,100,148,82,69,1.21,50,202.25,0.0,98886.0,0.001384001225233078,135.0,266.0099792480469,1.7939987182617188
2014-02-23,长春,轻度污染,80,114,86,121,77,69,1.1,44,202.0,0.0,98902.0,0.0013110004365444183,145.25,267.69000244140625,1.2479972839355469
2014-02-24,长春,重度污染,147,206,163,225,107,78,1.85,43,236.5,0.0,98950.0,0.002715000882744789,130.75,273.2200012207031,2.891998291015625
2014-02-25,长春,严重污染,168,277,227,285,82,67,2.02,42,265.75,0.0,98982.0,0.0036949999630451202,108.0,277.0299987792969,2.8379974365234375
2014-02-26,长春,中度污染,155,182,139,195,74,41,1.29,80,272.25,0.0175018310546875,98992.0,0.003251999616622925,109.5,278.2900085449219,4.607997894287109
2014-02-27,长春,良,34,55,29,61,36,25,0.55,51,219.0,0.0,98918.0,0.0013120006769895554,132.75,269.55999755859375,2.8119964599609375
2014-02-28,长春,良,55,52,29,60,71,36,0.62,41,256.5,0.00250244140625,98888.0,0.0010720007121562958,51.25,266.16998291015625,1.3939971923828125
2014-03-01,长春,良,81,60,38,70,47,32,0.58,59,204.25,0.00749969482421875,98904.0,0.0009420011192560196,158.25,268.0799865722656,1.8719978332519531
2014-03-02,长春,良,57,64,43,74,56,38,0.66,43,201.25,0.0,98904.0,0.0010720007121562958,165.25,267.9499816894531,1.9679985046386719
2014-03-03,长春,良,49,63,41,74,58,36,0.69,46,218.5,0.0,98924.0,0.001210000365972519,152.5,270.30999755859375,2.359996795654297
2014-03-04,长春,良,64,65,42,77,55,34,0.66,52,203.75,0.0,98904.0,0.0008940007537603378,164.75,268.0199890136719,2.3499984741210938
2014-03-05,长春,良,70,66,39,79,50,32,0.73,47,191.75,0.0,98874.0,0.0006579998880624771,168.0,264.7200012207031,3.279998779296875
