Time,City,质量等级,当天AQI排名,AQI指数,PM2.5,PM10,So2,No2,Co,O3,lrad,prec,pres,shum,srad,temp,wind
2014-01-01,长沙,中度污染,171,187,146,173,71,108,2.3,23,267.5,0.0,100662.0,0.003068000078201294,154.0,283.67999267578125,1.2759971618652344
2014-01-02,长沙,中度污染,169,199,147,177,71,112,2.08,25,316.25,0.0,100662.0,0.00392800010740757,93.5,285.239990234375,1.4939956665039062
2014-01-03,长沙,严重污染,170,257,209,186,70,82,1.73,20,341.0,0.0,100662.0,0.0038179997354745865,38.0,283.1499938964844,1.865997314453125
2014-01-04,长沙,中度污染,128,153,116,146,56,81,1.4,32,262.5,0.0,100662.0,0.003055000677704811,155.0,282.3899841308594,1.1079978942871094
2014-01-05,长沙,中度污染,104,159,120,142,50,87,1.64,30,279.25,0.0,100662.0,0.002709999680519104,146.0,285.69000244140625,2.0739974975585938
2014-01-06,长沙,中度污染,100,173,132,137,48,82,1.48,28,347.25,0.13249969482421875,100662.0,0.004706000909209251,40.75,284.2799987792969,2.401996612548828
2014-01-07,长沙,重度污染,161,236,187,38,25,63,1.92,6,329.25,0.034999847412109375,100662.0,0.005504000931978226,35.25,280.0,3.3819961547851562
2014-01-08,长沙,中度污染,175,177,134,0,30,44,1.38,30,324.0,0.027500152587890625,100662.0,0.004891000688076019,42.0,279.739990234375,2.1559982299804688
2014-01-09,长沙,中度污染,182,190,143,67,39,62,1.72,24,323.25,0.0175018310546875,100662.0,0.004635000601410866,40.25,279.2900085449219,1.2239990234375
2014-01-10,长沙,中度污染,154,179,137,42,32,67,1.86,10,325.75,0.12000274658203125,100662.0,0.004793001338839531,36.25,279.3999938964844,1.7399978637695312
2014-01-11,长沙,良,30,70,50,31,19,42,1.13,25,319.5,0.02500152587890625,100662.0,0.004906000569462776,35.0,278.0299987792969,2.0779991149902344
2014-01-12,长沙,轻度污染,125,132,100,48,40,45,1.22,36,315.25,0.0,100662.0,0.004530999809503555,52.0,279.1099853515625,1.8019981384277344
2014-01-13,长沙,重度污染,182,205,161,108,51,75,1.79,18,288.5,0.0,100662.0,0.0040100011974573135,91.5,278.3999938964844,1.28399658203125
2014-01-14,长沙,重度污染,158,206,159,191,43,79,2.07,21,280.25,0.0,100662.0,0.003909001126885414,121.0,280.2699890136719,1.6319961547851562
2014-01-15,长沙,中度污染,109,160,121,120,34,74,1.48,44,258.0,0.0,100662.0,0.003601999953389168,157.0,279.8699951171875,1.7779960632324219
2014-01-16,长沙,中度污染,117,174,132,165,36,77,1.58,32,292.75,0.0,100662.0,0.0038240011781454086,115.5,282.1300048828125,1.6619987487792969
2014-01-17,长沙,严重污染,163,264,213,218,52,58,1.62,46,282.25,0.0,100662.0,0.004318000748753548,138.25,282.2799987792969,1.8939971923828125
2014-01-18,长沙,重度污染,135,231,184,130,44,67,1.56,39,262.25,0.0,100662.0,0.0033050011843442917,162.75,281.7099914550781,1.9319953918457031
2014-01-19,长沙,中度污染,101,180,137,161,46,74,1.48,47,264.5,0.0,100662.0,0.0028090011328458786,166.75,283.04998779296875,1.7659988403320312
2014-01-20,长沙,中度污染,148,187,148,135,45,59,1.39,48,262.0,0.0,100662.0,0.0026399996131658554,161.0,281.72998046875,1.9919967651367188
2014-01-21,长沙,良,116,94,69,106,30,66,1.13,35,250.0,0.0,100662.0,0.002028999850153923,174.75,281.17999267578125,1.7439956665039062
2014-01-22,长沙,良,95,100,75,109,43,69,1.27,41,255.75,0.0,100662.0,0.0017640013247728348,172.5,282.72998046875,2.0219955444335938
2014-01-24,长沙,轻度污染,88,120,91,125,40,57,1.34,75,287.5,0.0,100662.0,0.0033130012452602386,166.75,287.3500061035156,1.5799980163574219
2014-01-25,长沙,重度污染,169,222,174,196,52,63,1.84,46,293.0,0.0,100662.0,0.0036820005625486374,143.0,285.30999755859375,2.3079986572265625
2014-01-26,长沙,严重污染,187,310,259,146,59,65,2.51,20,336.5,0.0,100662.0,0.004139000549912453,45.5,282.3699951171875,1.5459976196289062
2014-01-27,长沙,严重污染,186,356,306,101,48,76,3.01,27,314.25,0.0,100662.0,0.005093000829219818,118.0,285.2699890136719,1.9459991455078125
2014-01-28,长沙,严重污染,182,320,269,97,34,62,2.46,32,353.0,0.00250244140625,100662.0,0.006447000429034233,43.75,284.79998779296875,2.5479965209960938
2014-01-29,长沙,严重污染,183,295,245,89,25,45,2.11,29,339.25,0.0,100662.0,0.006141999736428261,42.5,282.1099853515625,1.7479972839355469
2014-01-30,长沙,严重污染,166,274,224,151,39,49,2.54,40,321.75,0.0,100662.0,0.007313000038266182,152.75,288.29998779296875,2.911998748779297
2014-01-31,长沙,严重污染,148,285,270,219,53,40,1.73,66,332.5,0.0,100662.0,0.007013000547885895,164.25,292.6399841308594,1.8579978942871094
2014-02-01,长沙,轻度污染,91,117,88,108,38,37,1.39,78,330.5,0.0,100558.0,0.007153000682592392,174.0,292.3299865722656,1.5319976806640625
2014-02-02,长沙,重度污染,130,215,170,143,28,42,1.87,58,339.0,0.00250244140625,100556.0,0.008344000205397606,160.25,291.6099853515625,1.3879966735839844
2014-02-03,长沙,中度污染,179,199,153,156,19,34,2.16,34,352.75,0.005001068115234375,100540.0,0.006923001259565353,52.75,285.3899841308594,3.665996551513672
2014-02-04,长沙,良,155,93,68,34,14,26,1.63,16,333.75,0.042499542236328125,100528.0,0.005970999598503113,43.5,281.0299987792969,2.1119956970214844
2014-02-05,长沙,优,98,50,35,0,9,22,1.04,24,319.5,0.10000228881835938,100518.0,0.004940999671816826,40.25,278.0,2.727996826171875
2014-02-06,长沙,优,86,45,31,4,8,20,0.98,23,306.75,0.11750030517578125,100512.0,0.0040170010179281235,41.5,275.44000244140625,2.7519989013671875
2014-02-07,长沙,良,128,75,55,37,16,24,1.17,24,305.0,0.06750106811523438,100510.0,0.0036469995975494385,44.0,275.2900085449219,2.759998321533203
2014-02-08,长沙,良,106,74,54,13,13,27,1.17,22,309.0,0.5475006103515625,100512.0,0.004041999578475952,44.25,276.1099853515625,2.181995391845703
2014-02-09,长沙,良,170,90,67,32,17,24,1.17,42,299.75,0.022502899169921875,100506.0,0.0037040002644062042,43.75,273.9599914550781,2.9259986877441406
2014-02-10,长沙,轻度污染,178,118,89,3,28,25,1.47,46,290.0,0.005001068115234375,100502.0,0.003050999715924263,48.75,272.3899841308594,2.161998748779297
2014-02-11,长沙,良,106,87,64,39,29,25,1.12,52,270.75,0.0,100508.0,0.002890000119805336,107.5,274.17999267578125,1.6799964904785156
2014-02-12,长沙,轻度污染,116,106,80,26,22,31,1.23,39,300.75,0.012500762939453125,100508.0,0.0032870005816221237,50.0,274.69000244140625,2.1939964294433594
2014-02-13,长沙,轻度污染,119,113,85,38,21,27,1.24,52,289.25,0.0149993896484375,100506.0,0.0029630009084939957,69.0,274.0299987792969,2.1199989318847656
2014-02-14,长沙,轻度污染,120,134,101,32,17,35,1.32,43,280.25,0.0,100516.0,0.0036200005561113358,122.0,277.1999816894531,1.4979972839355469
2014-02-15,长沙,轻度污染,66,110,82,67,19,39,1.41,33,322.75,0.0,100522.0,0.0042129997164011,51.25,279.1399841308594,1.563995361328125
2014-02-16,长沙,良,98,95,70,67,12,35,1.24,22,321.5,0.0475006103515625,100520.0,0.004824001342058182,48.0,278.6399841308594,1.3739967346191406
2014-02-17,长沙,良,119,93,69,24,12,31,1.35,19,318.5,0.2350006103515625,100518.0,0.004769999533891678,42.5,277.5400085449219,2.6119956970214844
2014-02-18,长沙,优,51,48,34,18,11,28,1.43,25,303.25,0.3899993896484375,100508.0,0.003763999789953232,46.5,274.7599792480469,2.763996124267578
2014-02-19,长沙,良,55,64,45,46,20,30,1.03,43,254.0,0.0,100518.0,0.0037990007549524307,191.75,277.6300048828125,1.5099983215332031
2014-02-20,长沙,良,64,77,56,70,43,37,1.29,30,267.0,0.0,100530.0,0.0036350004374980927,200.75,281.8999938964844,2.4339981079101562
2014-02-21,长沙,良,50,92,67,126,53,70,1.94,38,291.0,0.00250244140625,100540.0,0.004262000322341919,189.5,285.44000244140625,1.9099960327148438
2014-02-22,长沙,轻度污染,102,143,108,146,38,63,2.29,21,336.75,0.037502288818359375,100540.0,0.005665000528097153,101.75,285.739990234375,1.6599960327148438
2014-02-23,长沙,重度污染,157,221,171,156,34,49,2.39,14,352.0,0.0774993896484375,100536.0,0.006968000903725624,52.75,284.3999938964844,1.253997802734375
2014-02-24,长沙,良,46,92,68,33,19,40,2.02,9,353.25,1.1475028991699219,100536.0,0.00760200060904026,41.75,284.0,1.6039962768554688
2014-02-25,长沙,良,54,63,45,26,16,25,1.46,19,345.25,0.8425025939941406,100532.0,0.007017999887466431,45.75,282.78997802734375,2.2159957885742188
2014-02-26,长沙,轻度污染,89,104,77,93,16,33,1.45,28,360.0,0.0475006103515625,100540.0,0.007170001044869423,46.75,285.4499816894531,1.4139976501464844
2014-02-27,长沙,良,102,93,69,76,17,42,1.65,10,356.75,0.19000244140625,100538.0,0.00786300003528595,50.0,284.9499816894531,1.8899955749511719
2014-02-28,长沙,优,2,19,13,8,12,27,1.42,13,344.25,0.2800025939941406,100532.0,0.006815999746322632,47.0,282.6000061035156,2.8539962768554688
2014-03-01,长沙,良,53,53,38,47,12,26,1.06,19,324.75,0.6399993896484375,100522.0,0.005140000954270363,55.75,279.2599792480469,2.8999977111816406
2014-03-02,长沙,良,65,72,52,58,14,32,1.26,15,330.75,0.06500244140625,100526.0,0.005793999880552292,56.0,280.5,1.5179977416992188
2014-03-03,长沙,良,67,72,52,63,15,36,1.45,12,339.25,0.05750274658203125,100530.0,0.0063960012048482895,52.0,281.7099914550781,1.5619964599609375
2014-03-04,长沙,轻度污染,166,122,92,102,24,35,1.45,21,340.25,0.0,100530.0,0.0065400004386901855,57.5,282.19000244140625,2.503997802734375
2014-03-05,长沙,中度污染,184,156,119,129,30,50,1.97,19,347.5,0.27500152587890625,100538.0,0.0070680007338523865,79.25,284.9499816894531,2.0359954833984375
2014-03-06,长沙,良,123,78,57,51,16,41,1.08,34,344.0,0.21250152587890625,100532.0,0.006340000778436661,56.25,282.9499816894531,1.563995361328125
2014-03-07,长沙,优,29,41,28,35,10,31,0.82,40,331.75,1.282501220703125,100526.0,0.0055069997906684875,58.25,280.55999755859375,1.5179977416992188
2014-03-08,长沙,良,55,56,39,56,16,32,0.94,32,328.0,0.0,100524.0,0.0057140011340379715,62.75,280.25,1.6659965515136719
2014-03-09,长沙,良,81,75,55,81,18,47,1.37,31,293.75,0.0,100534.0,0.00579800084233284,210.25,283.6399841308594,1.7179985046386719
2014-03-10,长沙,良,93,98,73,102,37,49,1.44,33,321.75,0.00250244140625,100540.0,0.006059000268578529,164.25,285.9499816894531,1.6019973754882812
2014-03-11,长沙,良,44,79,58,72,31,43,1.36,12,357.5,2.0575027465820312,100538.0,0.007829001173377037,60.0,285.29998779296875,3.4939956665039062
2014-03-12,长沙,良,51,63,46,53,17,33,1.31,16,354.75,0.0,100538.0,0.00800199992954731,59.0,284.7200012207031,2.4859962463378906
2014-03-13,长沙,轻度污染,182,128,97,153,20,29,0.99,28,341.0,0.0,100530.0,0.005575001239776611,56.0,282.1999816894531,2.263996124267578
2014-03-14,长沙,轻度污染,169,117,88,120,29,61,1.46,24,331.75,0.0,100536.0,0.005129000172019005,116.0,284.41998291015625,0.9079971313476562
2014-03-15,长沙,轻度污染,147,122,92,129,53,53,1.66,29,331.0,0.0,100542.0,0.006238000467419624,164.0,286.6999816894531,1.5579986572265625
2014-03-16,长沙,良,28,80,59,80,37,38,1.29,33,325.5,0.0,100550.0,0.007997000589966774,238.25,289.57000732421875,1.4199981689453125
2014-03-17,长沙,良,9,62,40,69,36,38,1.42,37,361.75,0.012500762939453125,100564.0,0.010690000839531422,239.25,295.1300048828125,1.451995849609375
2014-03-18,长沙,良,24,67,48,72,27,36,1.2,44,393.5,0.032501220703125,100570.0,0.011877000331878662,176.75,297.0299987792969,1.7459983825683594
2014-03-19,长沙,中度污染,175,155,118,157,18,31,1.33,28,375.75,0.125,100548.0,0.009654000401496887,64.0,288.6099853515625,2.815998077392578
2014-03-20,长沙,良,138,91,67,88,14,24,0.76,51,348.5,0.15500259399414062,100536.0,0.006697000935673714,67.25,283.989990234375,2.2979965209960938
2014-03-21,长沙,良,25,56,39,58,21,33,0.76,56,301.0,0.0,100540.0,0.005232000723481178,221.75,285.3399963378906,2.069995880126953
2014-03-22,长沙,良,120,94,70,102,31,56,1.26,45,333.25,0.022502899169921875,100546.0,0.00555800087749958,181.75,288.07000732421875,2.1139984130859375
2014-03-23,长沙,中度污染,167,151,114,144,38,66,1.77,18,366.5,0.3800010681152344,100544.0,0.008604001253843307,65.75,286.97998046875,1.313995361328125
2014-03-25,长沙,良,77,96,71,90,24,45,1.51,44,383.5,0.17000198364257812,100560.0,0.01133000012487173,140.0,293.22998046875,1.7339973449707031
2014-03-26,长沙,良,62,93,68,93,30,49,1.46,32,384.5,0.46250152587890625,100564.0,0.011825000867247581,176.5,294.5199890136719,1.7199974060058594
2014-03-27,长沙,良,26,63,44,63,18,47,1.18,20,399.75,0.25749969482421875,100560.0,0.012088000774383545,71.25,292.8299865722656,2.9379959106445312
2014-03-28,长沙,良,27,54,36,53,19,39,1.11,33,401.75,0.3800010681152344,100560.0,0.01264100056141615,82.5,293.4499816894531,2.3999977111816406
2014-03-29,长沙,良,40,60,33,76,15,31,0.71,68,368.0,0.5450019836425781,100564.0,0.010499000549316406,229.0,295.0,2.1439971923828125
2014-03-30,长沙,良,86,91,67,95,13,41,0.98,49,394.5,0.7775001525878906,100556.0,0.011077000759541988,66.5,291.7099914550781,2.5319976806640625
2014-03-31,长沙,良,73,79,58,76,16,31,0.85,70,374.75,0.00250244140625,100552.0,0.009301001206040382,97.0,290.3500061035156,1.9199981689453125
2014-04-01,长沙,良,87,81,59,78,27,44,1.35,58,349.0,0.0,100552.0,0.007011000066995621,187.75,290.3899841308594,2.177997589111328
2014-04-02,长沙,轻度污染,164,119,90,121,45,74,1.48,30,396.5,0.005001068115234375,100556.0,0.009597000665962696,51.0,291.6499938964844,1.6299972534179688
2014-04-03,长沙,轻度污染,180,133,100,124,39,58,1.22,57,381.75,0.0,100560.0,0.008302001282572746,127.5,293.1099853515625,2.0319976806640625
2014-04-04,长沙,轻度污染,169,122,92,122,23,49,0.98,73,346.0,0.00250244140625,100558.0,0.008549001067876816,247.25,292.3399963378906,2.2239990234375
2014-04-05,长沙,轻度污染,175,146,110,145,22,62,1.24,64,368.0,1.2024993896484375,100564.0,0.009345000609755516,221.75,294.6399841308594,1.8159980773925781
2014-04-06,长沙,轻度污染,156,101,74,41,9,35,0.91,63,380.0,0.13249969482421875,100550.0,0.010132000781595707,64.25,289.0899963378906,2.1799964904785156
2014-04-07,长沙,良,120,94,70,73,15,41,1.11,39,389.25,0.09749984741210938,100552.0,0.010100000537931919,51.0,290.07000732421875,1.8899955749511719
2014-04-08,长沙,轻度污染,91,102,76,106,26,52,1.67,40,376.5,0.0,100558.0,0.01093200035393238,158.25,292.5099792480469,1.2219963073730469
2014-04-09,长沙,轻度污染,90,105,78,117,27,53,1.67,56,374.75,0.0,100568.0,0.009534000419080257,228.0,296.44000244140625,1.4399986267089844
2014-04-10,长沙,良,76,87,63,96,26,42,0.97,107,414.5,0.01000213623046875,100572.0,0.0120430001989007,134.75,298.0199890136719,1.8259963989257812
2014-04-11,长沙,良,125,97,72,102,22,35,1.14,72,418.5,0.042499542236328125,100568.0,0.014321000315248966,94.75,296.3999938964844,2.5459976196289062
2014-04-12,长沙,良,44,58,42,53,9,23,1.08,25,378.25,0.01000213623046875,100550.0,0.009717000648379326,72.5,289.1000061035156,3.1119956970214844
2014-04-13,长沙,良,95,77,56,71,12,16,0.98,68,363.0,0.005001068115234375,100554.0,0.008684000000357628,168.0,290.91998291015625,1.8679962158203125
2014-04-14,长沙,良,44,68,49,76,17,33,1.04,68,372.5,0.00250244140625,100566.0,0.01016200054436922,232.5,295.2200012207031,1.8679962158203125
2014-04-15,长沙,良,90,83,61,95,21,40,1.12,54,411.0,0.00250244140625,100570.0,0.012853000313043594,153.5,297.489990234375,2.2319984436035156
2014-04-16,长沙,轻度污染,174,119,90,107,16,28,1.0,21,392.75,0.012500762939453125,100566.0,0.013279000297188759,179.5,295.17999267578125,2.4259986877441406
2014-04-17,长沙,良,53,63,44,65,15,27,0.93,32,406.0,0.0,100564.0,0.011983000673353672,90.0,294.42999267578125,2.2119979858398438
2014-04-18,长沙,良,143,99,74,111,25,32,1.03,39,403.25,0.10499954223632812,100570.0,0.013808000832796097,182.0,296.79998779296875,2.431995391845703
2014-04-19,长沙,优,14,39,28,31,9,19,0.66,42,382.5,0.22750091552734375,100552.0,0.010103000327944756,73.5,289.7799987792969,3.0779991149902344
2014-04-20,长沙,优,22,45,31,42,9,22,0.64,52,388.25,0.3025016784667969,100554.0,0.01003200002014637,70.25,290.6099853515625,1.7499961853027344
2014-04-21,长沙,优,19,43,31,36,11,28,1.06,28,382.25,0.022502899169921875,100550.0,0.010499000549316406,69.0,289.5099792480469,1.8179969787597656
2014-04-22,长沙,良,32,52,37,52,14,27,0.72,52,394.25,0.0,100556.0,0.009942000731825829,59.0,291.22998046875,1.8819961547851562
2014-04-23,长沙,良,52,67,48,58,12,46,1.04,21,387.25,0.7725028991699219,100552.0,0.011048000305891037,70.0,290.29998779296875,1.447998046875
2014-04-24,长沙,优,18,49,34,40,9,42,1.02,14,390.5,0.4099998474121094,100554.0,0.01183400023728609,67.0,290.80999755859375,1.1039962768554688
2014-04-25,长沙,优,9,38,25,32,13,36,1.17,15,396.25,0.2975006103515625,100556.0,0.012551000341773033,69.0,291.75,1.9539985656738281
2014-04-26,长沙,优,16,37,24,28,13,28,1.02,37,381.25,0.049999237060546875,100550.0,0.010313000530004501,71.75,289.3999938964844,2.0199966430664062
2014-04-27,长沙,良,100,70,39,89,18,24,0.72,72,359.75,0.06750106811523438,100556.0,0.00928799994289875,212.75,292.0,2.3739967346191406
2014-04-28,长沙,良,157,93,57,135,27,48,0.8,65,366.5,0.0,100560.0,0.008696001023054123,205.5,292.739990234375,1.55999755859375
2014-04-29,长沙,轻度污染,159,111,83,135,34,55,1.15,34,390.0,0.24750137329101562,100554.0,0.009775000624358654,75.75,291.0899963378906,2.391998291015625
2014-04-30,长沙,轻度污染,161,119,84,134,29,56,1.37,31,365.5,0.0,100562.0,0.008592000231146812,223.5,293.67999267578125,1.2379989624023438
2014-05-01,长沙,轻度污染,92,105,75,132,35,57,1.17,57,356.5,0.0,100570.0,0.008097000420093536,299.0,296.78997802734375,1.4399986267089844
2014-05-02,长沙,轻度污染,149,111,68,164,24,48,0.78,58,356.5,0.00250244140625,100568.0,0.008788000792264938,300.5,296.2699890136719,2.3799972534179688
2014-05-03,长沙,轻度污染,163,109,64,166,28,33,1.02,49,367.5,0.25749969482421875,100564.0,0.009564000181853771,251.75,295.0299987792969,2.009998321533203
