日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2014-01-01,中度污染,187,171,146,173,71,108,2.30,23
2014-01-02,中度污染,199,169,147,177,71,112,2.08,25
2014-01-03,严重污染,257,170,209,186,70,82,1.73,20
2014-01-04,中度污染,153,128,116,146,56,81,1.40,32
2014-01-05,中度污染,159,104,120,142,50,87,1.64,30
2014-01-06,中度污染,173,100,132,137,48,82,1.48,28
2014-01-07,重度污染,236,161,187,38,25,63,1.92,6
2014-01-08,中度污染,177,175,134,0,30,44,1.38,30
2014-01-09,中度污染,190,182,143,67,39,62,1.72,24
2014-01-10,中度污染,179,154,137,42,32,67,1.86,10
2014-01-11,良,70,30,50,31,19,42,1.13,25
2014-01-12,轻度污染,132,125,100,48,40,45,1.22,36
2014-01-13,重度污染,205,182,161,108,51,75,1.79,18
2014-01-14,重度污染,206,158,159,191,43,79,2.07,21
2014-01-15,中度污染,160,109,121,120,34,74,1.48,44
2014-01-16,中度污染,174,117,132,165,36,77,1.58,32
2014-01-17,严重污染,264,163,213,218,52,58,1.62,46
2014-01-18,重度污染,231,135,184,130,44,67,1.56,39
2014-01-19,中度污染,180,101,137,161,46,74,1.48,47
2014-01-20,中度污染,187,148,148,135,45,59,1.39,48
2014-01-21,良,94,116,69,106,30,66,1.13,35
2014-01-22,良,100,95,75,109,43,69,1.27,41
2014-01-24,轻度污染,120,88,91,125,40,57,1.34,75
2014-01-25,重度污染,222,169,174,196,52,63,1.84,46
2014-01-26,严重污染,310,187,259,146,59,65,2.51,20
2014-01-27,严重污染,356,186,306,101,48,76,3.01,27
2014-01-28,严重污染,320,182,269,97,34,62,2.46,32
2014-01-29,严重污染,295,183,245,89,25,45,2.11,29
2014-01-30,严重污染,274,166,224,151,39,49,2.54,40
2014-01-31,严重污染,285,148,270,219,53,40,1.73,66
2014-02-01,轻度污染,117,91,88,108,38,37,1.39,78
2014-02-02,重度污染,215,130,170,143,28,42,1.87,58
2014-02-03,中度污染,199,179,153,156,19,34,2.16,34
2014-02-04,良,93,155,68,34,14,26,1.63,16
2014-02-05,优,50,98,35,0,9,22,1.04,24
2014-02-06,优,45,86,31,4,8,20,0.98,23
2014-02-07,良,75,128,55,37,16,24,1.17,24
2014-02-08,良,74,106,54,13,13,27,1.17,22
2014-02-09,良,90,170,67,32,17,24,1.17,42
2014-02-10,轻度污染,118,178,89,3,28,25,1.47,46
2014-02-11,良,87,106,64,39,29,25,1.12,52
2014-02-12,轻度污染,106,116,80,26,22,31,1.23,39
2014-02-13,轻度污染,113,119,85,38,21,27,1.24,52
2014-02-14,轻度污染,134,120,101,32,17,35,1.32,43
2014-02-15,轻度污染,110,66,82,67,19,39,1.41,33
2014-02-16,良,95,98,70,67,12,35,1.24,22
2014-02-17,良,93,119,69,24,12,31,1.35,19
2014-02-18,优,48,51,34,18,11,28,1.43,25
2014-02-19,良,64,55,45,46,20,30,1.03,43
2014-02-20,良,77,64,56,70,43,37,1.29,30
2014-02-21,良,92,50,67,126,53,70,1.94,38
2014-02-22,轻度污染,143,102,108,146,38,63,2.29,21
