日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2016-01-01,中度污染,179,304,136,202,20,78,1.38,34
2016-01-02,轻度污染,143,212,108,175,16,86,1.40,24
2016-01-03,中度污染,163,242,123,203,21,97,1.48,18
2016-01-04,重度污染,215,308,165,246,22,110,1.73,7
2016-01-05,良,64,165,46,68,9,52,0.92,33
2016-01-06,良,69,175,49,67,14,48,0.79,32
2016-01-07,轻度污染,119,294,89,132,26,64,1.06,16
2016-01-08,轻度污染,110,268,83,112,22,53,1.08,27
2016-01-09,轻度污染,147,263,111,165,22,69,1.31,31
2016-01-10,中度污染,161,272,121,172,16,75,1.38,15
2016-01-11,良,56,150,40,49,9,40,0.77,52
2016-01-12,良,65,204,46,61,13,37,0.73,41
2016-01-13,良,96,232,71,96,17,49,0.88,25
2016-01-14,轻度污染,130,276,97,145,24,73,1.11,21
2016-01-15,轻度污染,129,266,97,141,20,74,1.08,27
2016-01-16,轻度污染,124,240,93,146,18,68,1.07,39
2016-01-17,良,84,190,62,80,9,55,1.05,36
2016-01-18,中度污染,188,341,146,195,17,57,1.35,27
2016-01-19,轻度污染,129,273,97,140,25,52,1.06,43
2016-01-20,良,71,145,50,80,16,61,0.79,31
2016-01-21,优,49,116,33,45,7,59,0.74,14
2016-01-22,良,64,195,45,57,9,55,0.87,23
2016-01-23,良,70,254,51,63,15,22,0.87,59
2016-01-24,良,57,191,26,63,13,14,0.67,61
2016-01-25,良,55,108,24,58,7,28,0.62,51
2016-01-26,良,69,163,43,85,11,54,0.67,31
2016-01-27,良,88,202,63,111,12,68,0.85,11
2016-01-28,良,83,185,61,84,8,64,1.06,7
2016-01-29,优,42,75,28,37,6,48,0.88,26
2016-01-30,良,74,200,53,76,10,44,0.94,34
2016-01-31,良,83,252,61,92,13,50,0.91,31
2016-02-01,良,83,207,60,77,14,31,0.98,48
2016-02-02,轻度污染,110,236,82,108,18,40,1.05,59
2016-02-03,轻度污染,126,271,94,134,16,54,1.12,53
2016-02-04,中度污染,156,308,118,161,11,61,1.17,36
2016-02-05,轻度污染,114,279,85,116,12,39,1.06,52
2016-02-06,轻度污染,123,346,92,122,21,27,1.04,76
2016-02-07,良,65,87,44,71,13,25,0.70,66
