日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2016-01-01,优,41,14,24,40,17,32,1.21,26
2016-01-02,优,34,13,17,29,16,26,0.87,43
2016-01-03,优,44,30,20,43,18,25,0.93,42
2016-01-04,优,46,38,23,46,19,29,0.88,44
2016-01-05,良,54,121,30,58,23,35,0.94,41
2016-01-06,良,51,92,27,55,25,38,0.93,44
2016-01-07,优,44,68,21,45,16,32,0.79,48
2016-01-08,优,47,67,23,48,13,31,0.78,51
2016-01-09,优,40,31,17,39,14,29,0.79,54
2016-01-10,优,45,62,21,43,19,32,0.85,55
2016-01-11,良,58,156,33,66,21,41,1.00,54
2016-01-12,良,56,152,28,61,26,38,1.13,55
2016-01-13,优,48,77,27,48,13,25,0.85,56
2016-01-14,良,52,69,27,56,15,29,1.11,42
2016-01-15,优,47,64,24,47,23,26,1.04,46
2016-01-16,优,45,55,18,43,18,24,0.84,62
2016-01-17,良,62,138,37,71,25,35,1.16,56
2016-01-18,良,85,209,57,112,23,33,1.27,53
2016-01-19,良,62,104,39,70,16,25,0.89,61
2016-01-20,良,54,66,31,57,18,26,0.71,67
2016-01-21,良,55,150,31,60,14,27,0.83,58
2016-01-22,优,39,95,15,29,14,17,0.64,72
2016-01-23,优,45,107,28,44,11,29,1.10,23
2016-01-24,良,51,137,34,45,14,26,0.95,56
2016-01-25,良,73,258,53,66,12,25,1.07,51
2016-01-26,良,61,117,41,67,22,29,1.33,41
2016-01-27,优,30,11,14,27,12,19,0.87,56
2016-01-28,优,36,39,17,33,13,27,0.99,46
2016-01-29,优,48,111,25,50,17,30,1.04,48
2016-01-30,良,57,125,36,66,19,29,1.05,46
2016-01-31,良,55,139,35,59,18,34,1.08,40
2016-02-01,优,40,63,27,38,9,25,1.19,28
2016-02-02,优,48,57,33,53,9,29,1.45,23
2016-02-03,良,58,56,37,63,11,24,1.34,49
2016-02-04,良,58,92,39,58,12,26,1.25,35
2016-02-05,良,57,109,39,50,9,18,1.34,30
2016-02-06,良,58,114,41,51,11,14,1.23,69
2016-02-07,良,60,66,41,60,20,15,1.06,84
2016-02-08,良,68,34,47,60,21,10,1.11,82
2016-02-09,优,45,27,29,40,14,12,1.13,65
2016-02-10,优,47,35,23,35,12,11,0.99,90
2016-02-11,良,52,94,19,31,11,7,0.83,99
2016-02-12,良,51,86,19,34,11,6,0.83,100
2016-02-13,良,54,199,23,35,10,8,0.82,99
2016-02-14,优,42,191,20,35,15,17,1.00,71
2016-02-15,良,59,306,40,60,11,20,1.17,55
2016-02-16,良,70,322,47,66,12,19,1.15,69
2016-02-17,良,83,303,57,79,11,21,1.23,68
2016-02-18,良,70,165,48,71,11,19,1.28,55
2016-02-19,良,76,140,55,81,12,23,1.39,41
2016-02-20,优,40,22,26,35,9,19,1.33,51
2016-02-21,优,49,43,29,48,11,14,1.45,65
2016-02-22,良,69,145,49,79,17,25,1.61,61
2016-02-23,良,89,240,64,95,15,29,1.63,36
2016-02-24,优,42,66,28,39,10,18,1.24,55
2016-02-25,优,40,34,26,37,8,25,1.42,31
2016-02-26,优,38,32,22,38,17,24,1.40,54
2016-02-27,良,75,199,53,87,35,38,1.91,29
2016-02-28,良,69,153,44,85,30,32,1.62,50
2016-02-29,良,54,100,29,56,15,27,1.24,71
2016-03-01,优,47,40,23,44,21,22,1.26,69
2016-03-02,优,45,20,22,43,17,24,1.28,64
2016-03-03,优,50,25,24,47,15,22,1.29,71
2016-03-04,良,56,49,31,56,15,23,1.28,78
2016-03-05,良,67,73,41,77,18,33,1.41,72
2016-03-06,良,66,77,41,79,16,29,1.40,67
2016-03-07,良,58,80,33,58,15,20,1.28,93
2016-03-08,良,55,155,27,53,15,15,1.17,97
2016-03-09,良,55,254,29,56,17,22,1.27,86
2016-03-10,良,64,278,40,76,16,25,1.58,61
2016-03-11,良,68,202,42,82,14,27,1.66,59
2016-03-12,良,62,96,30,66,17,24,1.40,90
2016-03-13,良,58,119,32,59,15,17,1.37,99
2016-03-14,良,68,107,41,71,12,18,1.55,82
2016-03-15,良,61,60,30,62,13,12,1.30,111
2016-03-16,良,63,88,36,59,13,15,1.41,114
2016-03-17,良,62,99,36,62,16,17,1.43,107
2016-03-18,良,57,60,22,50,18,20,1.32,103
2016-03-19,良,67,99,38,74,20,28,1.61,95
2016-03-20,良,72,129,46,79,22,25,1.58,105
2016-03-21,良,68,137,44,75,20,23,1.47,97
2016-03-22,良,69,173,43,76,22,25,1.52,92
2016-03-23,良,67,246,33,80,22,28,1.39,86
2016-03-24,优,35,43,18,28,12,15,1.55,63
2016-03-25,良,51,90,27,45,13,20,1.70,85
2016-03-26,良,66,146,42,75,16,24,1.89,82
2016-03-27,优,43,19,24,40,9,21,1.64,46
2016-03-28,良,65,85,45,73,11,20,1.87,77
2016-03-29,良,89,230,65,95,16,25,1.90,91
2016-03-30,良,63,90,30,52,15,18,1.38,104
2016-03-31,良,60,67,33,64,23,23,1.61,85
2016-04-01,良,56,52,29,56,21,18,1.47,93
2016-04-02,良,57,82,31,58,30,22,1.52,79
2016-04-03,优,46,68,23,37,22,17,1.56,79
2016-04-04,良,54,136,26,55,27,21,1.75,69
2016-04-05,良,57,138,35,62,22,14,1.58,88
2016-04-06,良,51,159,26,45,17,12,1.51,90
2016-04-07,良,55,158,27,56,27,21,1.63,73
2016-04-08,良,58,145,30,64,25,22,1.66,74
2016-04-09,良,68,198,31,77,23,25,1.76,79
2016-04-10,良,65,182,20,49,15,13,1.50,117
2016-04-11,良,62,145,33,61,20,19,1.60,104
2016-04-12,良,72,214,42,86,23,20,1.54,119
2016-04-13,良,74,173,44,86,23,26,1.36,99
2016-04-14,良,65,127,32,62,18,18,0.97,113
2016-04-15,良,59,117,27,58,20,18,0.92,103
2016-04-16,良,59,200,27,61,20,18,0.90,104
2016-04-17,优,50,126,25,40,16,22,1.03,79
2016-04-18,良,52,135,23,53,16,22,1.00,72
2016-04-19,良,55,103,29,51,22,21,1.05,85
2016-04-20,良,53,149,26,47,27,22,1.13,88
2016-04-21,良,65,180,38,71,14,28,1.24,67
2016-04-22,良,64,156,31,68,20,25,1.05,85
2016-04-23,良,51,128,23,47,22,23,0.89,81
