日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2016-01-01,中度污染,156,262,118,178,54,91,3.64,29
2016-01-02,良,100,125,74,118,47,83,3.34,29
2016-01-03,良,96,124,69,125,50,75,2.99,24
2016-01-04,良,100,179,73,134,43,69,2.51,29
2016-01-05,良,68,177,38,83,32,59,1.58,30
2016-01-06,良,80,221,55,103,33,57,1.86,26
2016-01-07,良,79,200,54,98,38,62,1.96,31
2016-01-08,轻度污染,109,266,81,132,43,76,2.44,30
2016-01-09,轻度污染,128,240,97,146,34,76,2.55,28
2016-01-10,轻度污染,105,214,76,118,35,56,1.87,32
2016-01-11,良,70,210,45,82,21,35,1.24,41
2016-01-12,良,66,211,39,79,24,35,1.13,36
2016-01-13,良,85,209,59,105,31,55,1.53,34
2016-01-14,良,89,198,60,110,31,72,1.77,29
2016-01-15,轻度污染,138,285,103,166,38,102,2.67,31
2016-01-16,轻度污染,122,237,88,151,40,79,2.23,35
2016-01-17,轻度污染,125,266,50,197,23,60,1.46,34
2016-01-18,良,76,182,41,99,29,56,1.42,37
2016-01-19,良,94,196,54,135,34,52,1.65,33
2016-01-20,良,63,113,29,73,25,50,1.29,32
2016-01-21,良,80,245,40,107,31,43,1.51,35
2016-01-22,优,39,96,12,38,14,15,0.68,57
2016-01-23,良,56,178,20,61,16,31,0.90,47
2016-01-24,优,49,119,23,53,24,42,1.11,43
2016-01-25,良,85,301,60,102,34,62,1.92,32
2016-01-26,良,91,281,66,113,39,58,2.12,31
2016-01-27,轻度污染,109,269,82,127,39,46,2.30,33
2016-01-28,轻度污染,101,223,75,116,37,55,2.10,36
2016-01-29,轻度污染,127,288,96,139,40,62,2.39,42
2016-01-30,轻度污染,116,289,86,129,45,38,1.68,38
2016-01-31,良,65,179,35,78,28,25,1.01,51
2016-02-01,良,73,175,48,86,34,37,1.37,45
2016-02-02,轻度污染,101,209,75,124,34,56,1.97,34
2016-02-03,良,100,188,74,116,34,49,1.70,39
2016-02-04,良,88,197,59,114,25,42,1.33,52
2016-02-05,良,75,175,38,98,18,33,1.05,43
2016-02-06,良,70,201,45,87,23,52,1.44,36
2016-02-07,轻度污染,105,278,75,128,38,70,2.11,43
2016-02-08,轻度污染,137,155,104,153,45,67,2.25,45
2016-02-09,轻度污染,104,248,77,122,37,67,2.30,43
2016-02-10,轻度污染,113,276,84,127,37,72,2.48,48
2016-02-11,轻度污染,113,262,78,137,29,50,2.00,52
2016-02-12,良,85,198,28,117,11,12,0.58,65
2016-02-13,良,52,180,15,54,14,16,0.62,61
2016-02-14,良,57,312,31,61,20,31,0.96,46
2016-02-15,良,64,326,41,70,20,38,1.08,52
2016-02-16,良,79,338,56,89,23,49,1.30,50
2016-02-17,良,93,331,68,109,27,59,1.61,46
2016-02-18,中度污染,164,345,73,358,26,44,1.17,44
2016-02-19,严重污染,322,357,81,479,11,23,0.64,67
2016-02-20,严重污染,382,363,88,541,16,42,1.01,52
2016-02-21,中度污染,157,354,62,259,25,48,1.21,38
2016-02-22,轻度污染,128,296,59,205,22,38,1.10,47
2016-02-23,轻度污染,117,300,57,182,16,38,0.91,59
2016-02-24,良,83,239,45,113,15,39,1.02,62
2016-02-25,良,71,187,40,89,16,42,1.04,55
2016-02-26,良,74,194,46,90,20,60,1.49,49
2016-02-27,良,79,220,47,103,20,48,1.32,51
2016-02-28,重度污染,201,356,77,270,14,41,0.99,40
2016-02-29,良,72,183,35,92,23,61,1.53,51
2016-03-01,良,67,117,32,82,19,38,1.21,59
2016-03-02,良,61,56,26,71,15,46,1.42,51
2016-03-03,良,66,74,33,72,27,58,1.63,64
2016-03-04,中度污染,177,297,54,250,11,32,0.93,57
2016-03-05,轻度污染,129,214,41,206,13,38,0.97,55
2016-03-06,轻度污染,150,255,61,248,21,49,1.30,54
2016-03-07,中度污染,159,310,66,266,19,46,1.21,64
2016-03-08,轻度污染,140,347,53,215,20,41,1.20,63
2016-03-09,中度污染,170,353,58,251,17,16,0.82,64
2016-03-10,良,71,306,42,90,12,30,1.07,59
2016-03-11,良,88,303,53,124,16,43,1.30,62
2016-03-12,轻度污染,148,349,82,243,12,32,1.03,55
2016-03-13,良,81,216,41,109,11,39,1.05,61
2016-03-14,良,86,205,49,121,15,46,1.17,60
2016-03-15,良,83,150,42,114,14,50,1.00,67
2016-03-16,良,72,123,42,92,13,37,1.02,66
2016-03-17,轻度污染,103,203,47,154,10,46,0.96,60
2016-03-18,轻度污染,131,249,68,210,19,71,1.49,62
2016-03-19,轻度污染,103,218,54,154,10,41,1.05,75
2016-03-20,轻度污染,112,278,67,171,12,46,1.32,66
2016-03-21,优,48,72,30,48,9,33,1.41,64
2016-03-22,良,89,250,57,125,10,39,1.17,64
2016-03-23,良,67,244,41,82,7,28,0.91,72
2016-03-24,良,53,166,26,54,6,36,0.86,67
2016-03-25,良,60,158,33,69,9,44,0.93,56
2016-03-26,良,68,161,25,84,8,49,0.91,64
2016-03-27,良,74,181,32,96,10,58,1.05,60
2016-03-28,良,90,243,36,129,10,50,0.99,65
2016-03-29,良,85,210,35,118,10,51,0.98,61
2016-03-30,良,84,192,39,116,11,62,1.12,64
2016-03-31,良,98,250,44,140,14,74,1.32,71
2016-04-01,轻度污染,142,340,59,232,8,32,0.75,78
2016-04-02,良,83,204,27,114,15,25,0.76,71
2016-04-03,轻度污染,103,336,34,153,15,36,1.00,76
2016-04-04,良,88,316,38,125,13,40,1.07,75
2016-04-05,良,67,202,36,82,10,38,0.98,79
2016-04-06,良,65,222,33,79,5,35,0.92,65
2016-04-07,良,77,252,32,102,8,37,0.95,80
2016-04-08,良,72,225,24,92,7,37,1.01,67
2016-04-09,良,57,147,25,61,7,42,1.02,69
2016-04-10,良,86,260,40,117,14,62,0.96,73
2016-04-11,良,88,268,41,125,13,48,0.91,77
2016-04-12,良,88,268,34,124,9,32,0.67,74
2016-04-13,良,85,211,37,118,7,40,0.83,65
2016-04-14,良,72,157,30,89,9,45,0.79,77
2016-04-15,良,68,169,25,86,4,20,0.58,85
2016-04-16,优,48,107,22,48,3,21,0.58,84
2016-04-17,良,55,161,19,51,3,30,0.60,94
2016-04-18,良,90,349,40,118,12,66,1.12,83
2016-04-19,良,77,279,31,102,7,39,0.76,73
2016-04-20,良,88,306,34,125,10,46,0.84,72
2016-04-21,良,78,240,31,102,12,48,0.89,83
2016-04-22,良,83,234,33,114,9,50,0.85,67
2016-04-23,良,51,129,26,47,4,35,0.76,81
2016-04-24,良,90,285,38,89,7,52,0.97,96
2016-04-25,良,79,244,34,106,5,33,0.87,84
2016-04-26,良,64,201,30,71,4,30,0.63,95
2016-04-27,良,85,292,41,87,9,54,0.90,98
