日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2016-01-01,优,49,29,18,39,6,15,0.41,82
2016-01-02,优,47,31,23,50,7,22,0.60,59
2016-01-03,良,60,51,33,65,7,25,0.72,51
2016-01-04,良,51,52,22,48,7,20,0.63,69
2016-01-05,良,64,164,37,74,8,31,0.89,54
2016-01-06,良,82,225,56,89,8,34,1.09,47
2016-01-07,优,45,75,25,46,7,21,0.70,60
2016-01-08,优,50,82,26,54,7,21,0.69,53
2016-01-09,良,59,95,21,70,6,9,0.49,79
2016-01-10,良,56,91,21,41,7,20,0.63,87
2016-01-11,良,57,153,32,62,8,25,0.74,55
2016-01-12,良,60,178,34,70,9,27,0.87,47
2016-01-13,良,65,160,41,76,8,29,0.98,45
2016-01-14,良,56,80,30,62,7,27,0.81,50
2016-01-15,优,50,71,27,54,7,22,0.69,57
2016-01-16,良,56,86,22,54,5,11,0.42,93
2016-01-17,良,51,98,25,42,8,16,0.46,79
2016-01-18,良,53,99,28,60,9,25,0.57,59
2016-01-19,良,64,115,34,79,9,24,0.65,55
2016-01-20,轻度污染,108,285,37,146,6,12,0.49,81
2016-01-21,优,49,118,20,44,7,12,0.46,81
2016-01-22,优,45,122,16,33,6,12,0.48,78
2016-01-23,优,45,108,20,42,7,14,0.49,67
2016-01-24,优,43,62,21,41,6,17,0.55,60
2016-01-25,优,46,43,20,47,6,17,0.54,61
2016-01-26,优,42,24,21,40,7,17,0.53,61
2016-01-27,良,63,112,33,73,8,22,0.61,50
2016-01-28,优,47,81,19,48,6,14,0.39,69
2016-01-29,良,56,143,22,58,7,19,0.49,76
2016-01-30,良,68,173,36,83,8,30,0.89,48
2016-01-31,良,71,205,28,91,7,22,0.65,62
2016-02-01,轻度污染,112,288,38,171,6,16,0.46,64
2016-02-02,良,68,104,25,85,7,18,0.56,65
2016-02-03,良,78,117,33,105,8,22,0.71,58
2016-02-04,良,76,157,33,100,9,20,0.62,60
2016-02-05,良,70,157,34,88,10,26,0.89,46
2016-02-06,良,55,98,24,60,8,24,0.68,57
2016-02-07,良,54,42,22,60,10,17,0.55,67
2016-02-08,良,72,38,23,96,7,7,0.40,80
2016-02-09,良,66,99,27,54,7,8,0.45,109
2016-02-10,良,54,63,23,33,7,10,0.45,83
2016-02-11,良,59,136,20,71,6,9,0.46,73
2016-02-12,良,64,133,20,77,6,8,0.45,86
2016-02-13,良,60,234,17,67,5,5,0.41,86
2016-02-14,良,56,303,12,57,6,7,0.43,87
2016-02-15,优,44,179,12,34,5,10,0.49,80
2016-02-16,优,49,168,14,49,5,11,0.51,74
2016-02-17,优,50,78,14,43,5,10,0.48,82
2016-02-18,优,38,11,14,34,5,12,0.45,65
2016-02-19,优,49,46,17,49,5,12,0.46,66
2016-02-20,优,39,19,11,38,6,11,0.46,50
2016-02-21,良,57,73,13,64,5,7,0.42,83
2016-02-22,良,65,123,21,78,6,15,0.51,71
2016-02-23,良,70,178,24,91,5,9,0.45,66
2016-02-24,良,56,126,16,64,6,6,0.34,82
2016-02-25,优,46,55,11,30,6,7,0.31,92
2016-02-26,优,45,61,13,36,6,13,0.36,82
2016-02-27,良,51,84,18,51,7,17,0.43,71
2016-02-28,优,44,41,12,31,6,13,0.38,79
2016-02-29,优,45,55,14,44,7,15,0.45,70
2016-03-01,优,48,43,17,47,7,15,0.45,73
2016-03-02,优,43,19,15,38,8,15,0.44,74
2016-03-03,优,45,19,15,44,8,19,0.45,66
2016-03-04,良,56,50,20,64,8,24,0.49,56
2016-03-05,优,46,26,17,47,7,17,0.42,68
2016-03-06,良,51,33,17,53,11,18,0.48,72
