日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2016-01-01,中度污染,169,284,128,183,29,81,1.57,36
2016-01-02,中度污染,185,280,143,222,47,99,2.05,22
2016-01-03,轻度污染,140,204,106,169,38,86,1.98,24
2016-01-04,重度污染,231,321,184,255,30,79,2.05,26
2016-01-05,优,48,80,27,42,10,37,0.91,53
2016-01-06,良,59,125,37,69,18,50,0.94,35
2016-01-07,轻度污染,108,264,80,115,19,53,1.29,24
2016-01-08,轻度污染,111,270,83,123,25,66,1.39,38
2016-01-09,中度污染,162,285,122,182,38,82,1.59,39
2016-01-10,中度污染,191,298,145,207,42,83,1.73,40
2016-01-11,轻度污染,120,304,90,114,16,48,1.25,54
2016-01-12,优,46,103,29,46,12,35,0.83,42
2016-01-13,轻度污染,115,275,86,116,21,42,1.15,42
2016-01-14,中度污染,156,306,118,174,34,75,1.97,19
2016-01-15,轻度污染,121,243,91,155,31,74,1.85,34
2016-01-16,轻度污染,133,258,100,158,40,90,1.69,32
2016-01-17,轻度污染,149,302,116,161,31,60,1.53,63
2016-01-18,中度污染,171,324,133,190,22,49,1.40,29
2016-01-19,轻度污染,128,269,96,150,33,64,1.34,34
2016-01-20,良,81,189,50,97,33,52,0.90,33
2016-01-21,优,36,56,23,35,12,38,0.77,36
2016-01-22,良,90,274,66,87,18,43,1.14,40
2016-01-23,良,81,302,53,79,22,25,1.07,54
2016-01-24,良,66,251,18,80,20,18,0.72,58
2016-01-25,良,63,170,19,74,16,33,0.84,46
2016-01-26,良,79,230,40,105,29,64,1.38,29
2016-01-27,良,95,226,65,131,32,81,1.62,18
2016-01-28,良,81,182,59,79,15,65,1.48,11
2016-01-29,优,44,96,30,41,10,32,1.00,62
2016-01-30,良,70,178,48,80,17,39,1.11,46
2016-01-31,良,68,194,47,72,16,35,1.07,38
2016-02-01,轻度污染,129,321,97,127,29,42,1.61,41
2016-02-02,轻度污染,145,326,110,152,27,62,1.66,43
2016-02-03,中度污染,154,319,116,166,25,75,1.83,47
2016-02-04,轻度污染,127,277,95,136,29,76,1.80,37
2016-02-05,轻度污染,142,321,107,149,30,61,1.90,69
2016-02-06,轻度污染,134,354,97,144,25,38,1.72,64
2016-02-07,良,86,197,58,116,28,34,1.48,77
2016-02-08,轻度污染,125,132,93,161,39,44,1.60,72
2016-02-09,轻度污染,108,259,80,120,30,48,1.66,74
2016-02-10,良,78,194,53,80,15,32,1.33,93
2016-02-11,优,46,59,27,50,11,35,1.17,48
2016-02-12,良,95,235,70,98,14,48,1.71,16
2016-02-13,良,94,339,69,86,10,28,1.91,26
