日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2016-01-01,重度污染,207,330,162,244,287,67,3.57,4
2016-01-02,重度污染,235,323,184,264,269,75,3.80,5
2016-01-03,中度污染,182,267,142,209,187,59,3.31,12
2016-01-04,良,96,172,71,119,115,50,2.32,10
2016-01-05,良,84,231,60,97,86,41,1.79,12
2016-01-06,优,40,49,17,39,37,23,1.20,33
2016-01-07,良,55,125,27,58,62,34,1.48,17
2016-01-08,良,69,153,44,81,92,40,1.87,12
2016-01-09,良,97,187,71,119,161,48,2.48,7
2016-01-10,轻度污染,118,237,87,143,162,52,2.78,9
2016-01-11,良,53,138,28,58,49,31,1.57,23
2016-01-12,良,54,140,30,58,68,34,1.65,17
2016-01-13,良,71,179,44,84,114,35,2.03,18
2016-01-14,良,59,94,33,68,93,32,1.81,26
2016-01-15,良,92,179,67,113,178,48,2.44,12
2016-01-16,轻度污染,106,207,78,135,185,52,2.79,11
2016-01-17,优,43,66,11,42,24,14,1.33,50
2016-01-18,优,35,16,9,34,20,13,1.31,48
2016-01-19,良,62,102,38,70,130,39,2.07,16
2016-01-20,良,98,253,71,115,174,52,2.57,6
2016-01-21,轻度污染,109,297,80,124,149,41,2.58,15
2016-01-22,优,43,112,14,43,23,13,1.45,44
2016-01-23,优,40,76,8,40,13,8,1.39,51
2016-01-24,良,51,133,20,53,54,19,1.62,36
2016-01-25,良,72,254,49,84,125,35,2.38,19
2016-01-26,良,65,130,42,72,106,37,2.23,23
2016-01-27,良,95,223,69,114,162,48,2.94,10
2016-01-28,轻度污染,111,248,83,128,174,55,3.19,10
2016-01-29,轻度污染,127,289,96,142,102,56,3.12,13
2016-01-30,轻度污染,129,299,97,133,86,43,2.99,7
2016-01-31,优,44,80,26,43,55,23,2.02,32
2016-02-01,良,56,117,35,58,83,30,2.30,26
2016-02-02,良,70,114,48,74,111,37,2.52,19
2016-02-03,良,88,146,64,97,153,45,2.85,13
2016-02-04,良,63,116,41,68,93,33,2.36,30
2016-02-05,优,34,15,9,33,21,10,1.72,54
2016-02-06,优,43,32,19,42,55,16,2.00,46
2016-02-07,优,50,36,29,51,71,20,2.24,38
2016-02-08,轻度污染,112,109,82,122,152,33,2.97,34
2016-02-09,良,72,123,50,74,136,33,2.74,29
2016-02-10,良,96,250,71,101,110,40,2.91,36
2016-02-11,轻度污染,138,286,104,136,94,42,3.16,23
2016-02-12,中度污染,156,306,119,146,86,36,3.41,10
2016-02-13,优,23,1,6,15,20,8,1.95,46
2016-02-14,优,29,30,4,12,16,5,1.85,57
2016-02-15,优,29,34,6,14,20,8,1.82,58
2016-02-16,优,30,9,10,20,34,13,1.68,52
2016-02-17,优,45,43,29,45,89,26,1.52,35
2016-02-18,良,53,55,27,57,60,25,1.20,39
2016-02-19,轻度污染,131,295,45,200,14,7,0.88,60
2016-02-20,良,53,91,17,58,31,12,1.02,52
2016-02-21,良,68,102,43,72,115,39,1.67,15
2016-02-22,轻度污染,102,261,69,119,160,35,2.07,25
2016-02-23,优,38,48,17,37,40,20,1.23,43
2016-02-24,优,38,51,19,36,49,22,1.32,38
2016-02-25,优,48,63,23,50,73,26,1.51,37
2016-02-26,优,43,51,18,44,62,26,1.42,39
2016-02-27,良,60,123,31,70,91,33,1.78,28
2016-02-28,优,35,6,9,30,22,14,1.19,52
2016-02-29,优,49,73,26,51,67,34,1.55,32
2016-03-01,良,79,164,55,101,112,45,2.10,28
2016-03-02,良,80,119,53,100,111,41,2.02,34
2016-03-03,良,97,188,69,131,108,52,2.14,36
2016-03-04,良,100,184,41,147,66,29,1.72,37
2016-03-05,轻度污染,118,197,39,185,24,14,1.24,55
2016-03-06,良,98,162,50,143,79,34,1.77,32
2016-03-07,良,71,124,28,90,35,24,1.46,48
2016-03-08,良,75,263,33,98,31,27,1.50,38
