日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2017-01-01,中度污染,199,266,150,180,30,113,2.49,22
2017-01-02,重度污染,226,302,177,89,15,84,2.01,22
2017-01-03,中度污染,165,210,127,147,18,93,2.36,21
2017-01-04,严重污染,254,323,203,185,15,120,2.90,15
2017-01-05,良,53,69,36,3,12,59,1.38,37
2017-01-06,优,28,9,15,10,11,42,0.78,41
2017-01-07,良,68,186,49,34,8,44,1.42,27
2017-01-08,轻度污染,141,304,106,50,8,35,1.46,50
2017-01-09,中度污染,153,316,116,113,12,64,1.65,39
2017-01-10,中度污染,154,321,116,90,15,56,1.54,40
2017-01-11,轻度污染,140,306,105,80,16,67,1.37,47
2017-01-12,轻度污染,137,315,103,109,13,66,1.31,45
2017-01-13,轻度污染,103,273,76,105,17,69,1.11,39
2017-01-14,轻度污染,103,293,74,82,14,52,0.90,46
2017-01-15,优,50,119,33,49,11,48,0.59,42
2017-01-16,良,65,138,46,65,13,61,0.81,30
2017-01-17,良,70,125,49,73,13,71,0.95,22
2017-01-18,轻度污染,113,230,84,62,12,60,1.08,21
2017-01-19,轻度污染,105,201,78,54,11,44,0.96,38
2017-01-20,良,85,253,52,99,18,51,0.76,46
2017-01-21,良,73,160,47,88,17,63,0.73,46
2017-01-22,轻度污染,125,300,94,132,26,84,1.16,31
2017-01-23,轻度污染,101,239,75,90,21,69,1.13,43
2017-01-24,良,74,144,53,65,16,54,0.92,48
2017-01-25,良,96,157,71,79,17,61,1.03,44
2017-01-26,轻度污染,120,209,90,58,16,43,1.04,61
2017-01-27,中度污染,166,312,126,156,22,29,1.16,68
2017-01-28,中度污染,160,222,122,156,26,29,0.98,57
2017-01-29,轻度污染,124,278,93,81,12,24,1.04,26
2017-01-30,良,74,240,53,51,12,17,0.79,61
2017-01-31,良,53,122,37,44,12,21,0.67,61
2017-02-01,优,50,107,35,37,13,19,0.58,67
2017-02-02,轻度污染,124,294,93,48,15,35,1.20,75
2017-02-03,轻度污染,105,231,78,39,12,48,1.20,35
2017-02-04,轻度污染,140,282,106,42,12,56,1.34,26
2017-02-05,轻度污染,117,239,88,75,16,57,1.46,32
2017-02-06,轻度污染,145,321,109,46,15,55,1.26,53
2017-02-07,优,50,112,35,40,13,35,0.65,53
2017-02-08,良,100,317,74,32,22,36,0.85,43
2017-02-09,中度污染,151,357,113,42,23,34,1.10,65
2017-02-10,中度污染,154,356,116,81,21,47,1.17,66
2017-02-11,轻度污染,125,331,94,86,18,72,1.10,57
2017-02-12,轻度污染,101,227,75,90,21,76,1.05,55
2017-02-13,轻度污染,103,217,77,102,23,95,1.37,50
2017-02-14,轻度污染,120,237,90,112,21,99,1.41,57
2017-02-15,轻度污染,102,167,76,96,20,89,1.14,63
2017-02-16,轻度污染,103,205,76,115,15,74,1.32,69
2017-02-17,轻度污染,138,319,102,101,13,52,1.08,41
2017-02-18,良,88,190,60,92,12,60,0.94,39
2017-02-19,轻度污染,132,240,100,100,14,45,1.26,64
2017-02-20,轻度污染,119,291,80,94,15,44,1.09,48
2017-02-21,优,50,97,27,43,10,34,0.73,55
2017-02-22,良,93,287,69,29,12,31,0.89,43
2017-02-23,中度污染,157,356,119,50,16,56,1.17,42
2017-02-24,轻度污染,117,337,88,101,12,83,1.14,51
2017-02-25,轻度污染,113,302,85,108,13,101,1.21,53
2017-02-26,轻度污染,108,298,80,116,15,98,1.25,60
2017-02-27,轻度污染,145,348,110,129,19,103,1.29,55
2017-02-28,轻度污染,145,341,109,124,20,96,1.10,70
2017-03-01,良,98,289,51,125,11,44,0.78,65
2017-03-02,良,63,120,41,71,11,56,0.79,54
2017-03-03,良,74,147,51,89,19,77,1.10,49
2017-03-04,良,97,228,72,118,14,97,1.29,37
2017-03-05,良,90,250,66,64,10,65,1.02,52
2017-03-06,良,88,302,62,62,10,52,0.84,60
2017-03-07,良,96,312,71,110,17,82,1.15,59
2017-03-08,良,84,294,60,91,14,64,0.89,60
2017-03-09,轻度污染,113,346,85,137,21,105,1.26,52
2017-03-10,轻度污染,141,348,107,178,28,132,1.42,31
2017-03-11,轻度污染,110,280,80,120,17,85,1.23,53
2017-03-12,轻度污染,119,318,89,67,13,57,1.02,45
2017-03-13,良,71,307,50,27,9,30,0.61,70
2017-03-14,良,61,229,37,65,13,52,0.67,55
2017-03-15,良,63,173,40,71,15,66,0.82,62
2017-03-16,良,68,188,48,69,13,55,0.72,79
2017-03-17,良,82,223,59,75,15,68,0.78,55
2017-03-18,轻度污染,114,294,85,88,22,64,0.93,52
2017-03-19,良,92,253,68,35,10,55,0.99,40
2017-03-20,良,65,183,46,22,8,34,0.75,61
2017-03-21,良,84,260,58,41,9,42,0.81,82
2017-03-22,良,99,303,73,43,10,53,0.96,51
2017-03-23,良,61,197,43,34,9,44,0.76,44
2017-03-24,良,75,242,54,24,9,47,0.81,42
2017-03-25,良,83,260,53,81,10,45,0.83,53
2017-03-26,良,73,210,37,93,11,56,0.85,61
2017-03-27,良,76,216,40,99,12,67,0.80,72
2017-03-28,良,86,259,49,113,14,50,0.76,89
2017-03-29,轻度污染,106,272,79,86,10,51,0.84,86
2017-03-30,轻度污染,129,327,97,90,13,68,1.14,49
2017-03-31,良,67,214,46,50,10,33,0.74,91
2017-04-01,轻度污染,127,347,96,87,10,51,1.07,72
2017-04-02,轻度污染,102,313,73,110,9,70,1.19,67
2017-04-03,良,77,158,51,90,23,56,0.97,93
2017-04-04,良,84,218,58,101,22,76,1.00,56
2017-04-05,轻度污染,118,324,88,75,14,51,1.18,42
2017-04-06,轻度污染,103,265,77,34,11,35,1.21,50
2017-04-07,轻度污染,121,308,91,78,8,44,1.46,40
2017-04-08,轻度污染,133,341,100,88,10,36,1.43,79
2017-04-09,良,55,213,24,26,9,25,0.72,94
2017-04-10,优,40,74,18,28,7,32,0.58,69
2017-04-11,良,66,224,47,51,8,39,0.81,68
2017-04-12,良,83,278,57,83,11,59,0.89,76
2017-04-13,良,71,186,40,79,16,48,0.78,93
2017-04-14,良,73,196,48,86,11,42,0.86,99
2017-04-15,良,86,219,48,116,9,77,1.00,71
2017-04-16,良,92,266,58,122,11,61,1.08,61
2017-04-17,良,84,237,35,104,8,32,0.68,75
2017-04-18,良,90,266,33,129,8,43,0.61,73
2017-04-19,良,90,277,34,128,14,55,0.83,72
2017-04-20,良,65,182,41,74,8,28,0.71,79
2017-04-21,良,89,329,33,127,10,42,0.65,62
2017-04-22,良,77,275,41,87,11,48,0.74,89
2017-04-23,良,75,236,37,86,9,57,0.69,103
2017-04-23,良,75,236,37,86,9,57,0.69,103
2017-04-24,良,77,220,39,93,10,42,0.73,110
2017-04-25,良,95,319,61,129,17,77,0.98,63
2017-04-26,良,71,281,48,61,9,26,0.68,92
2017-04-27,良,68,262,31,64,10,48,0.70,100
2017-04-28,良,76,250,35,81,10,62,0.65,104
2017-04-29,良,82,220,40,83,9,47,0.65,125
2017-04-30,良,80,186,39,86,9,53,0.70,112
2017-05-01,良,86,238,57,111,18,69,0.98,82
2017-05-02,优,50,64,23,37,8,32,0.68,85
2017-05-03,优,50,105,32,49,7,28,0.69,77
2017-05-04,优,39,49,23,31,8,25,0.66,71
2017-05-05,良,95,213,52,136,9,42,0.79,85
2017-05-06,重度污染,203,311,98,326,10,60,0.92,72
2017-05-07,中度污染,178,339,93,275,11,59,0.98,94
2017-05-08,良,88,274,64,85,9,43,0.91,72
2017-05-09,良,54,101,20,45,7,30,0.56,100
2017-05-10,良,75,229,40,84,9,50,0.70,108
2017-05-11,良,81,233,55,104,9,61,0.81,80
2017-05-12,良,74,232,34,50,7,29,0.64,107
2017-05-13,良,68,199,24,63,7,33,0.56,117
2017-05-14,良,85,267,43,114,10,45,0.72,102
2017-05-15,良,78,307,43,101,14,67,0.93,56
2017-05-16,良,59,157,22,49,10,45,0.57,99
2017-05-17,良,90,283,38,72,11,55,0.71,127
2017-05-18,良,94,249,44,81,14,47,0.83,136
2017-05-19,良,92,258,61,107,20,57,0.92,133
2017-05-20,轻度污染,127,353,87,113,12,51,1.04,117
2017-05-20,轻度污染,127,353,87,113,12,51,1.04,117
2017-05-21,轻度污染,144,352,82,106,11,53,1.02,141
2017-05-22,良,92,302,57,79,13,36,0.86,133
2017-05-23,良,55,213,36,40,10,29,0.64,69
2017-05-24,良,63,236,36,51,9,31,0.56,105
2017-05-25,良,83,303,40,63,8,57,0.66,100
2017-05-26,良,91,295,37,76,8,57,0.66,122
2017-05-27,轻度污染,102,275,46,82,8,52,0.69,134
2017-05-28,良,99,248,44,79,9,51,0.71,140
2017-05-29,轻度污染,118,327,48,89,15,47,0.69,174
2017-05-30,良,93,287,51,91,11,40,0.78,136
2017-05-31,良,92,274,58,87,7,37,0.75,125
2017-06-01,轻度污染,102,297,61,101,8,42,0.79,129
2017-06-02,轻度污染,133,341,87,133,11,32,1.04,177
