日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2017-01-01,严重污染,363,357,316,416,32,98,3.26,5
2017-01-02,严重污染,342,357,291,370,25,96,4.15,8
2017-01-03,严重污染,283,343,232,310,32,107,4.28,12
2017-01-04,中度污染,183,242,143,188,16,63,3.10,11
2017-01-05,重度污染,222,326,176,210,27,89,4.87,13
2017-01-06,中度污染,179,314,135,158,24,72,3.67,6
2017-01-07,轻度污染,123,286,95,113,26,64,2.89,9
2017-01-08,重度污染,205,327,162,211,45,77,2.44,18
2017-01-09,重度污染,215,357,167,243,24,71,2.98,6
2017-01-10,严重污染,266,361,215,312,33,75,3.21,12
2017-01-11,中度污染,160,319,118,217,37,67,2.13,21
2017-01-12,良,75,211,40,98,43,51,1.09,37
2017-01-13,良,97,261,61,121,42,57,1.24,36
2017-01-14,良,88,251,62,109,27,64,1.33,24
2017-01-15,良,92,264,66,119,34,65,1.36,21
2017-01-16,轻度污染,141,303,108,161,32,70,1.49,17
2017-01-17,严重污染,373,365,321,413,31,92,2.82,6
2017-01-18,严重污染,341,358,290,358,40,84,2.83,13
2017-01-19,中度污染,193,331,132,235,26,47,1.61,39
2017-01-20,良,68,181,26,83,25,40,1.03,40
2017-01-21,良,88,243,54,121,39,48,1.34,36
2017-01-22,轻度污染,141,324,106,176,43,69,1.74,22
2017-01-23,重度污染,228,353,179,259,31,76,2.08,21
2017-01-24,严重污染,265,355,214,271,55,73,2.75,20
2017-01-25,严重污染,295,343,244,303,52,71,2.50,37
2017-01-26,严重污染,332,349,216,378,45,50,2.16,49
2017-01-27,重度污染,225,347,182,243,37,34,2.08,58
2017-01-28,中度污染,190,259,146,213,21,27,1.48,39
2017-01-29,严重污染,264,358,214,275,35,34,2.11,31
2017-01-30,良,67,209,36,82,20,15,1.19,55
2017-01-31,良,90,282,66,94,25,23,1.29,50
2017-02-01,轻度污染,148,347,112,141,21,33,1.56,44
2017-02-02,轻度污染,149,326,112,152,28,44,1.66,49
2017-02-03,重度污染,208,338,158,193,32,42,1.67,57
2017-02-04,严重污染,252,344,201,254,27,66,2.00,23
2017-02-05,严重污染,378,363,329,413,34,68,3.23,23
2017-02-06,重度污染,225,358,179,241,31,56,2.36,24
2017-02-07,良,71,225,49,84,28,38,1.30,34
2017-02-08,轻度污染,132,348,100,109,26,50,1.54,22
2017-02-09,轻度污染,113,327,80,105,38,46,1.48,32
2017-02-10,良,57,121,33,64,39,46,1.12,40
2017-02-11,良,72,162,48,93,46,60,1.18,33
2017-02-12,轻度污染,132,294,99,165,51,76,1.40,32
2017-02-13,中度污染,199,350,151,198,43,78,1.59,41
2017-02-14,重度污染,216,334,174,224,46,72,1.82,50
2017-02-15,轻度污染,139,264,104,167,33,68,1.37,54
2017-02-16,重度污染,248,361,175,277,47,60,1.84,62
2017-02-17,良,78,182,38,104,21,37,1.10,46
2017-02-18,轻度污染,150,326,109,195,39,70,1.56,33
2017-02-19,重度污染,221,354,168,249,30,62,1.83,60
2017-02-20,轻度污染,117,287,37,174,16,24,1.06,63
2017-02-21,良,86,315,53,92,22,44,1.44,31
2017-02-22,轻度污染,107,315,77,110,31,56,1.60,29
2017-02-23,轻度污染,134,334,100,143,28,59,1.58,43
2017-02-24,轻度污染,108,321,74,130,47,67,1.45,38
2017-02-25,良,90,256,62,115,49,68,1.41,40
2017-02-26,轻度污染,106,292,79,130,51,73,1.59,34
2017-02-27,轻度污染,112,298,84,150,52,69,1.45,51
2017-02-28,轻度污染,125,311,91,149,42,72,1.35,46
2017-03-01,良,79,187,28,106,23,29,0.89,66
2017-03-02,良,78,272,32,103,30,59,1.04,43
2017-03-03,良,97,313,61,141,39,74,1.17,42
2017-03-04,中度污染,171,355,129,206,31,89,1.63,31
2017-03-05,重度污染,202,361,154,245,30,68,1.80,53
2017-03-06,良,95,318,48,136,29,63,1.11,43
2017-03-07,良,68,233,32,85,22,37,0.96,57
2017-03-08,良,83,291,50,114,34,59,1.04,46
2017-03-09,良,86,254,50,118,36,68,1.13,42
2017-03-10,轻度污染,145,352,109,184,35,90,1.33,50
2017-03-11,中度污染,188,360,143,231,36,100,1.63,53
2017-03-12,中度污染,158,348,83,212,26,56,1.26,49
2017-03-13,良,65,273,28,77,21,40,1.06,60
2017-03-14,良,90,323,53,126,30,67,1.18,48
2017-03-15,良,91,316,65,120,26,68,1.10,63
2017-03-16,良,99,309,73,93,23,47,0.98,67
2017-03-17,轻度污染,117,309,87,126,25,63,1.09,77
2017-03-18,轻度污染,135,318,101,148,23,63,1.21,74
2017-03-19,轻度污染,106,287,79,123,17,68,1.03,58
2017-03-20,良,81,258,59,72,13,38,1.00,78
2017-03-21,轻度污染,145,355,108,169,20,67,1.42,56
2017-03-22,中度污染,168,355,128,159,17,59,1.31,52
2017-03-23,良,91,301,64,99,16,50,1.06,36
2017-03-24,轻度污染,136,348,72,184,23,44,0.99,45
2017-03-25,良,69,198,23,86,16,30,0.67,80
2017-03-26,良,55,98,22,59,21,39,0.62,74
2017-03-27,轻度污染,108,332,60,163,31,72,1.05,59
2017-03-28,轻度污染,106,320,78,114,24,38,0.94,81
2017-03-29,轻度污染,142,348,107,152,21,61,0.95,60
2017-03-30,重度污染,217,363,167,203,24,71,1.38,18
2017-03-31,轻度污染,138,352,104,144,16,56,1.24,43
2017-04-01,轻度污染,125,343,84,168,32,69,1.14,44
2017-04-02,轻度污染,101,309,53,150,42,70,0.93,63
2017-04-03,良,95,283,62,136,29,59,0.98,80
2017-04-04,良,81,197,58,73,14,48,0.98,54
2017-04-05,良,86,239,63,89,11,37,1.16,61
2017-04-06,轻度污染,114,295,84,157,19,54,1.30,66
2017-04-07,轻度污染,103,283,72,147,15,70,1.31,62
2017-04-08,良,79,252,55,101,12,52,1.24,41
2017-04-09,良,52,180,14,55,17,37,0.84,65
2017-04-10,良,66,260,41,71,20,63,1.04,29
2017-04-11,良,83,323,50,111,23,51,1.24,63
2017-04-12,轻度污染,149,362,81,231,30,77,1.48,69
2017-04-13,良,90,304,40,129,25,58,0.95,70
2017-04-14,轻度污染,116,355,66,181,25,74,1.09,62
2017-04-15,轻度污染,122,350,75,192,22,74,1.19,70
2017-04-16,良,65,124,36,78,18,46,0.98,51
2017-04-17,轻度污染,117,308,42,183,22,35,0.65,83
2017-04-18,轻度污染,139,340,50,212,18,42,0.60,78
2017-04-19,轻度污染,145,357,65,233,24,47,0.84,67
2017-04-20,良,99,333,43,146,28,38,0.56,75
2017-04-21,良,86,320,34,118,17,32,0.55,85
2017-04-22,良,94,352,48,134,30,56,0.79,79
2017-04-23,轻度污染,101,355,53,150,29,58,0.79,89
2017-04-23,轻度污染,101,355,53,150,29,58,0.79,89
2017-04-24,轻度污染,106,356,70,151,25,44,0.96,106
2017-04-25,轻度污染,136,365,57,199,21,39,1.02,72
2017-04-26,良,70,280,35,86,21,44,0.97,66
2017-04-27,轻度污染,118,365,75,157,39,67,1.12,78
2017-04-28,良,94,347,46,125,34,54,0.91,105
2017-04-29,良,90,273,47,121,34,46,0.81,122
2017-04-30,轻度污染,116,336,67,165,31,64,0.95,107
2017-05-01,中度污染,152,360,76,251,30,33,1.13,128
2017-05-02,轻度污染,125,339,71,181,24,34,1.00,130
2017-05-03,良,51,113,28,53,10,31,0.74,60
2017-05-04,中度污染,154,296,62,232,20,32,1.07,81
2017-05-05,严重污染,322,343,154,491,23,40,0.88,79
2017-05-06,重度污染,226,321,151,329,29,38,0.74,91
2017-05-07,重度污染,225,355,155,328,33,58,0.89,78
2017-05-08,良,80,233,45,101,14,34,0.67,94
2017-05-09,良,94,327,48,135,25,49,0.86,101
2017-05-10,轻度污染,102,334,62,152,28,63,0.88,80
2017-05-11,轻度污染,105,313,58,159,28,55,0.79,73
2017-05-12,轻度污染,122,315,65,189,30,43,1.04,124
2017-05-13,轻度污染,119,350,66,181,21,33,0.88,123
2017-05-14,轻度污染,107,349,66,162,21,40,0.94,106
2017-05-15,良,77,301,45,101,14,49,0.94,77
2017-05-16,良,84,335,34,99,19,41,0.84,104
2017-05-17,轻度污染,108,349,48,137,25,58,0.88,109
2017-05-18,轻度污染,117,318,66,159,29,64,0.94,97
2017-05-19,轻度污染,115,318,57,121,18,41,0.93,139
2017-05-20,良,92,281,44,99,15,48,0.87,108
2017-05-20,良,92,281,44,99,15,48,0.87,108
2017-05-21,轻度污染,109,323,57,114,15,49,1.05,133
2017-05-22,轻度污染,113,339,66,118,16,31,1.04,169
2017-05-23,良,68,322,23,48,12,22,0.79,129
2017-05-24,良,91,355,39,93,24,58,0.87,91
2017-05-25,良,91,337,31,92,22,44,0.72,123
2017-05-26,轻度污染,121,356,48,134,19,57,0.84,137
2017-05-27,轻度污染,117,335,45,130,20,62,0.77,121
2017-05-28,轻度污染,119,325,48,125,20,42,0.69,158
2017-05-29,轻度污染,113,311,44,109,15,34,0.68,157
2017-05-30,轻度污染,130,354,60,168,19,32,1.04,163
2017-05-31,轻度污染,126,346,67,137,14,41,1.23,168
2017-06-01,中度污染,154,364,78,194,22,62,1.44,157
2017-06-02,中度污染,153,356,69,174,19,48,1.14,175
2017-06-03,良,93,314,31,134,17,28,0.91,89
2017-06-04,良,71,267,31,89,16,46,0.99,89
2017-06-05,优,43,92,17,30,6,23,0.69,84
2017-06-06,良,60,287,29,55,8,26,0.87,102
2017-06-07,良,95,353,47,100,13,43,1.15,95
2017-06-08,良,69,223,34,88,12,59,1.09,47
2017-06-09,良,82,275,45,103,15,57,1.13,81
2017-06-10,良,69,281,27,60,9,44,0.85,98
2017-06-11,轻度污染,111,352,52,145,16,72,1.17,95
2017-06-12,轻度污染,107,346,63,126,9,54,1.17,106
2017-06-13,良,94,328,48,92,9,26,0.95,150
2017-06-14,轻度污染,119,341,65,126,11,37,1.14,155
2017-06-15,轻度污染,119,314,50,128,15,46,0.86,154
2017-06-16,轻度污染,124,320,56,127,14,53,0.90,144
2017-06-17,轻度污染,127,328,53,125,15,60,0.84,151
2017-06-18,轻度污染,132,352,55,122,16,47,0.91,177
2017-06-19,轻度污染,123,351,60,137,18,57,0.91,139
2017-06-20,轻度污染,148,366,79,156,23,50,1.16,176
2017-06-21,良,92,320,57,124,9,45,0.92,94
2017-06-22,良,66,275,39,74,8,36,0.79,98
2017-06-23,良,86,336,62,112,6,33,1.06,87
2017-06-24,良,90,348,49,87,8,27,1.35,126
2017-06-25,轻度污染,102,352,39,82,11,38,1.10,141
2017-06-26,轻度污染,113,350,46,106,13,61,0.94,122
2017-06-27,轻度污染,123,345,50,118,10,50,0.99,150
2017-06-28,轻度污染,110,322,41,93,9,37,0.80,151
2017-06-29,良,91,293,35,82,9,34,0.80,131
2017-06-30,良,94,311,39,84,8,32,0.85,126
2017-07-01,轻度污染,102,320,43,93,8,38,0.83,129
2017-07-02,轻度污染,116,338,53,110,7,39,0.81,147
2017-07-03,轻度污染,122,344,47,119,8,48,0.85,132
2017-07-04,轻度污染,112,350,43,109,6,37,0.89,141
