日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2018-01-01,良,55,42,35,65,11,46,1.23,23
2018-01-02,优,46,44,27,48,6,35,0.94,28
2018-01-03,优,29,21,10,26,4,20,0.44,44
2018-01-04,优,28,56,14,27,4,31,0.51,32
2018-01-05,良,51,127,30,52,8,51,0.95,20
2018-01-06,优,29,44,14,27,5,38,0.57,35
2018-01-07,良,56,170,37,57,10,46,0.92,27
2018-01-08,良,51,111,12,56,3,10,0.34,60
2018-01-09,优,37,28,6,32,2,12,0.35,58
2018-01-10,优,32,14,5,20,2,8,0.30,62
2018-01-11,优,30,5,10,21,4,22,0.47,46
2018-01-12,良,77,222,55,77,12,72,1.32,11
2018-01-13,轻度污染,130,291,98,122,17,85,1.83,8
2018-01-14,中度污染,177,327,136,151,13,77,1.91,23
2018-01-15,优,48,23,29,52,7,48,0.94,29
2018-01-16,轻度污染,114,205,45,175,5,43,0.79,37
2018-01-17,良,77,80,43,106,9,51,1.09,31
2018-01-18,良,87,119,56,96,11,74,1.19,14
2018-01-19,轻度污染,108,174,80,119,14,78,1.56,19
2018-01-20,良,61,84,30,73,9,51,0.88,24
2018-01-21,良,63,106,35,74,20,47,1.30,21
2018-01-22,优,45,53,23,47,4,28,0.70,45
2018-01-23,优,35,12,8,29,3,14,0.44,58
2018-01-24,优,36,18,15,30,4,28,0.48,52
2018-01-25,优,29,38,8,21,3,26,0.44,52
2018-01-26,优,39,81,24,36,7,43,0.60,34
2018-01-27,轻度污染,105,307,78,92,14,71,1.48,9
2018-01-28,良,56,139,13,62,2,16,0.42,62
2018-01-29,良,55,106,8,61,3,18,0.37,59
2018-01-30,优,36,13,10,34,5,26,0.44,57
2018-01-31,良,61,93,19,70,6,28,0.47,54
2018-02-01,良,67,72,30,83,10,39,0.78,39
2018-02-02,优,35,5,7,29,4,11,0.36,67
2018-02-03,优,28,1,7,20,4,19,0.40,55
2018-02-04,优,37,10,17,34,7,33,0.57,43
2018-02-05,优,32,6,6,17,3,14,0.34,64
2018-02-06,良,61,109,41,53,12,51,0.90,29
2018-02-07,良,63,79,32,53,8,34,0.73,54
2018-02-08,良,69,84,48,68,11,54,0.96,32
2018-02-09,良,90,125,41,109,8,36,0.81,47
2018-02-10,优,41,9,9,41,3,12,0.36,67
2018-02-11,良,64,103,8,78,3,6,0.28,73
2018-02-12,良,52,58,10,55,4,13,0.38,66
2018-02-13,良,80,210,55,77,13,58,1.20,29
2018-02-14,优,43,18,14,35,3,19,0.44,69
2018-02-15,良,62,102,37,48,13,19,0.52,70
2018-02-16,轻度污染,105,151,75,97,14,23,0.61,64
2018-02-17,轻度污染,105,233,78,89,15,34,1.43,42
2018-02-18,轻度污染,148,329,113,95,14,48,1.86,47
2018-02-19,中度污染,185,348,140,75,23,44,2.18,52
2018-02-20,良,72,230,47,19,5,21,0.72,68
2018-02-21,良,51,147,32,41,7,26,0.66,60
2018-02-22,优,44,108,15,44,5,27,0.51,57
2018-02-23,优,48,112,20,48,5,30,0.63,53
2018-02-24,良,63,203,30,77,10,22,0.73,54
