日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2018-01-01,轻度污染,104,157,58,157,95,42,1.25,50
2018-01-02,良,61,102,28,69,52,26,0.73,51
2018-01-03,良,54,151,19,57,40,20,0.70,51
2018-01-04,良,79,286,51,88,40,31,1.07,42
2018-01-05,轻度污染,105,308,78,111,34,32,1.46,50
2018-01-06,轻度污染,103,259,77,103,40,29,1.35,61
2018-01-07,良,69,209,44,83,42,23,0.83,61
2018-01-08,优,50,102,22,50,46,30,0.75,66
2018-01-09,良,54,145,22,56,36,20,0.57,76
2018-01-10,良,69,272,39,86,70,46,1.00,42
2018-01-11,良,77,277,52,102,64,53,1.28,44
2018-01-12,轻度污染,115,325,86,142,54,50,1.90,48
2018-01-13,轻度污染,133,295,99,160,90,58,2.24,39
2018-01-14,轻度污染,136,287,103,179,96,53,2.10,49
2018-01-15,轻度污染,106,178,75,146,106,51,1.86,46
2018-01-16,良,79,118,39,107,77,45,1.16,44
2018-01-17,良,88,128,35,124,63,32,0.86,57
2018-01-18,良,82,106,53,110,85,46,1.54,34
2018-01-19,良,82,110,57,107,78,47,1.56,39
2018-01-20,良,72,110,40,91,57,37,1.18,60
2018-01-21,良,72,136,30,93,40,28,0.83,66
2018-01-22,良,73,180,36,95,46,24,0.87,60
2018-01-23,优,49,80,20,50,42,19,0.67,61
2018-01-24,良,67,220,41,82,94,32,1.14,44
2018-01-25,良,60,235,32,69,61,28,0.99,51
2018-01-26,良,74,271,48,88,77,34,1.33,48
2018-01-27,轻度污染,121,329,86,140,51,33,1.44,46
2018-01-28,良,62,174,28,73,51,20,0.70,66
2018-01-29,良,76,201,51,93,60,31,1.13,52
2018-01-30,良,77,164,53,95,94,37,1.15,42
2018-01-31,良,74,152,40,97,57,39,1.05,49
2018-02-01,良,84,170,41,116,65,33,1.01,55
2018-02-02,良,55,73,22,59,56,26,0.81,58
2018-02-03,良,60,140,33,67,74,37,1.08,47
2018-02-04,良,68,185,46,82,82,41,1.42,48
2018-02-05,良,71,200,49,86,76,47,1.40,50
2018-02-06,良,73,185,50,91,88,49,1.32,48
2018-02-07,良,70,116,40,87,84,40,1.05,52
2018-02-08,良,87,160,41,123,69,35,1.10,61
2018-02-09,中度污染,181,306,51,269,34,13,0.57,88
2018-02-10,良,61,81,19,73,27,12,0.56,80
2018-02-11,良,55,74,21,60,60,22,0.75,67
2018-02-12,良,55,82,30,58,78,37,1.00,54
2018-02-13,良,67,129,40,81,69,40,1.32,51
2018-02-14,良,60,82,31,68,81,27,1.11,62
2018-02-15,良,76,178,53,93,108,37,1.63,56
2018-02-16,轻度污染,109,165,80,124,100,37,1.46,68
2018-02-17,良,85,178,58,100,91,34,1.37,67
2018-02-18,良,60,166,34,68,83,29,0.97,71
2018-02-19,良,70,245,44,83,70,25,1.08,72
2018-02-20,良,58,151,34,63,50,22,0.75,64
2018-02-21,良,65,234,38,72,42,21,0.73,69
2018-02-22,良,51,147,17,50,33,17,0.57,84
2018-02-23,良,61,189,31,70,55,31,0.90,61
2018-02-24,良,75,264,31,99,48,31,0.81,63
2018-02-25,良,69,190,31,86,47,24,0.83,71
2018-02-26,良,65,136,29,77,51,30,0.82,70
2018-02-27,良,70,187,41,88,71,43,1.13,55
2018-02-28,良,67,193,25,83,43,20,0.68,77
2018-03-01,良,72,209,24,93,46,23,0.71,73
2018-03-02,良,76,238,33,99,49,26,0.78,76
2018-03-03,良,90,243,40,128,56,29,0.99,68
2018-03-04,轻度污染,109,326,53,165,70,29,0.91,74
2018-03-05,良,91,342,39,130,70,27,1.03,69
2018-03-06,良,73,294,39,94,65,35,1.01,71
2018-03-07,良,66,249,22,80,30,16,0.59,84
2018-03-08,良,70,248,31,87,48,34,0.90,61
2018-03-09,良,83,253,48,114,65,52,1.10,61
2018-03-10,良,84,218,51,114,65,54,1.11,61
2018-03-11,良,88,234,58,123,68,56,1.08,68
2018-03-12,良,77,173,40,102,60,44,0.88,67
2018-03-13,良,91,242,56,130,75,57,1.17,69
2018-03-14,轻度污染,122,316,66,168,68,50,1.04,79
2018-03-15,重度污染,242,355,46,337,32,16,0.58,78
2018-03-16,中度污染,196,349,53,257,51,38,1.10,52
2018-03-17,中度污染,173,351,73,240,49,41,1.43,35
2018-03-18,良,75,233,53,92,45,32,1.05,54
2018-03-19,轻度污染,102,296,76,133,61,46,1.31,76
2018-03-20,轻度污染,114,338,45,160,31,19,0.55,90
2018-03-21,良,72,283,30,93,45,30,0.69,69
2018-03-22,良,73,158,34,95,39,41,0.79,59
2018-03-23,良,73,113,34,93,45,39,0.85,66
2018-03-24,良,61,57,24,65,46,34,0.81,79
2018-03-25,良,71,131,34,89,45,39,0.79,87
2018-03-26,良,80,176,34,108,45,37,0.73,78
2018-03-27,轻度污染,113,292,49,174,30,27,0.59,72
2018-03-28,轻度污染,120,316,62,188,43,42,0.94,59
2018-03-29,轻度污染,124,307,50,196,58,26,0.87,88
2018-03-30,中度污染,197,351,68,286,32,25,0.61,80
2018-03-31,良,90,216,37,128,40,35,0.71,68
2018-04-01,良,90,197,34,127,43,28,0.64,80
2018-04-02,轻度污染,149,328,51,206,49,32,0.70,73
2018-04-03,轻度污染,107,268,33,161,29,18,0.59,86
2018-04-04,中度污染,189,336,60,318,33,20,0.82,79
2018-04-05,中度污染,160,330,52,265,20,9,0.53,105
2018-04-05,中度污染,160,330,52,265,20,9,0.53,105
2018-04-06,轻度污染,104,304,32,155,20,14,0.58,91
2018-04-07,良,67,154,23,78,25,30,0.69,75
2018-04-08,良,63,86,23,73,31,35,0.76,74
2018-04-09,中度污染,184,346,75,277,31,33,0.78,67
2018-04-10,良,100,250,46,143,26,18,0.63,98
2018-04-11,良,86,221,38,121,39,33,0.92,66
2018-04-12,良,94,311,47,135,36,32,0.97,65
