日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2020-01-01,良,63,142,41,77,15,46,0.78,19
2020-01-02,良,86,184,64,85,8,46,0.91,10
2020-01-03,良,100,203,74,91,7,51,0.93,9
2020-01-04,良,63,109,45,55,5,46,1.20,8
2020-01-05,良,69,142,49,83,9,49,1.13,6
2020-01-06,良,83,250,58,113,17,61,1.34,21
2020-01-07,优,48,176,32,52,5,35,1.37,22
2020-01-08,优,49,126,34,45,5,28,1.05,59
2020-01-09,良,56,147,39,50,5,34,0.85,17
2020-01-10,优,35,66,23,26,4,36,0.92,8
2020-01-11,优,23,28,15,19,3,29,0.85,13
2020-01-12,优,44,120,30,40,4,29,0.60,40
2020-01-13,良,56,123,38,57,5,41,0.69,26
2020-01-14,轻度污染,102,228,76,101,7,35,0.85,49
2020-01-15,良,98,233,73,84,4,40,1.15,23
2020-01-16,优,47,124,33,34,3,27,0.95,27
2020-01-17,良,84,204,62,67,4,28,0.82,29
2020-01-18,良,65,136,47,59,5,32,0.70,29
2020-01-19,良,79,185,58,74,4,33,0.76,48
2020-01-20,良,96,248,71,97,6,51,0.96,39
2020-01-21,良,97,226,72,93,7,38,0.96,47
2020-01-22,良,58,132,42,45,4,23,0.91,35
2020-01-23,优,35,66,24,23,3,17,0.88,50
2020-01-24,优,40,93,28,28,4,15,0.74,43
2020-01-25,良,57,163,41,42,4,11,0.64,55
2020-01-26,优,16,45,8,9,2,7,0.43,50
2020-01-27,优,38,112,26,26,3,8,0.75,56
2020-01-28,良,53,140,37,37,4,9,0.75,58
2020-01-29,良,69,200,50,54,5,15,0.66,65
2020-01-30,良,66,194,47,51,4,18,0.65,65
2020-01-31,良,85,233,63,68,6,23,0.80,70
2020-02-01,良,74,216,54,60,5,18,0.69,73
2020-02-02,良,75,260,54,59,8,20,0.81,59
2020-02-03,良,53,180,37,42,6,12,0.60,69
2020-02-04,优,43,163,29,35,4,16,0.52,55
2020-02-05,优,49,206,34,39,4,16,0.57,54
2020-02-06,优,35,166,23,26,4,7,0.49,65
2020-02-07,优,19,34,11,12,4,7,0.47,51
2020-02-08,优,34,102,23,24,6,8,0.57,54
2020-02-09,优,35,95,23,27,5,10,0.53,65
2020-02-10,优,43,111,30,36,7,23,0.65,38
2020-02-11,优,46,120,32,34,4,15,0.72,42
2020-02-12,优,28,33,19,19,3,12,0.73,37
2020-02-13,优,31,64,21,28,4,16,0.73,30
2020-02-14,优,27,90,18,26,5,15,0.65,30
2020-02-15,优,19,43,9,13,3,7,0.64,43
2020-02-16,优,25,120,13,22,4,6,0.37,66
2020-02-17,优,29,131,13,27,6,10,0.30,80
2020-02-18,优,34,114,21,31,5,20,0.36,71
2020-02-19,优,50,153,35,48,10,31,0.50,48
2020-02-20,良,57,152,40,52,6,24,0.53,55
2020-02-21,优,49,115,34,43,5,25,0.48,54
2020-02-22,良,59,178,38,55,5,19,0.53,63
2020-02-23,良,67,194,43,83,9,33,0.68,67
2020-02-24,良,70,208,50,75,8,37,0.69,60
2020-02-25,优,46,106,28,45,6,21,0.48,78
2020-02-26,良,83,276,59,77,7,17,0.88,49
2020-02-27,良,73,292,53,77,8,21,0.66,47
2020-02-28,良,75,341,55,79,5,23,0.66,24
2020-02-29,优,22,23,14,18,5,22,0.83,21
2020-03-01,优,36,109,24,31,4,15,0.67,60
2020-03-02,优,38,117,26,34,5,14,0.58,63
2020-03-03,优,44,184,30,35,5,19,0.74,58
2020-03-04,良,76,336,56,74,7,25,0.76,63
2020-03-05,良,61,267,43,59,4,20,0.53,71
2020-03-06,优,40,106,27,33,8,28,0.60,28
2020-03-07,优,25,18,16,24,4,23,0.65,28
2020-03-08,优,29,35,18,28,4,26,0.68,22
2020-03-09,优,24,27,16,21,4,16,0.68,53
2020-03-10,良,55,219,39,49,4,18,0.67,94
2020-03-11,良,66,235,47,72,7,44,0.84,57
2020-03-12,良,52,122,36,47,6,29,0.70,45
2020-03-13,优,44,132,28,45,4,20,0.61,62
2020-03-14,良,55,216,27,65,5,22,0.47,79
2020-03-15,良,79,339,34,109,12,52,0.45,61
2020-03-16,良,86,341,41,121,11,57,0.54,37
2020-03-17,良,82,321,55,112,17,50,0.66,32
2020-03-18,良,80,259,57,95,22,41,0.87,36
2020-03-19,良,68,230,41,86,19,45,0.61,64
2020-03-20,良,90,299,41,131,17,56,0.71,64
2020-03-21,良,54,130,27,65,10,37,0.61,37
2020-03-22,优,28,29,15,27,5,21,0.52,58
2020-03-23,良,76,309,48,100,7,26,0.75,59
2020-03-24,良,66,243,38,82,15,38,0.74,38
2020-03-25,良,66,247,41,82,12,48,0.75,26
2020-03-26,优,44,157,27,45,11,35,0.51,39
2020-03-27,优,23,76,13,22,4,17,0.41,47
2020-03-28,优,23,89,11,15,4,13,0.31,67
2020-03-29,优,17,23,9,12,3,16,0.28,48
2020-03-30,优,29,101,20,25,5,19,0.45,53
2020-03-31,优,40,148,27,38,5,31,0.51,33
2020-04-01,优,43,155,28,42,6,30,0.55,41
2020-04-02,良,53,214,35,55,8,33,0.60,39
2020-04-03,良,70,248,49,83,9,48,0.72,32
2020-04-04,良,74,247,54,82,7,42,0.62,82
2020-04-05,良,82,321,60,97,11,39,0.63,83
2020-04-06,良,77,281,54,87,11,35,0.56,78
2020-04-07,良,76,302,45,102,12,58,0.65,67
2020-04-08,良,65,235,36,81,10,54,0.60,77
2020-04-09,良,86,327,47,117,13,61,0.64,79
2020-04-10,良,79,308,54,104,17,52,0.68,81
2020-04-11,优,34,63,23,29,3,15,0.49,64
2020-04-12,优,47,142,31,48,6,21,0.27,97
2020-04-13,良,60,192,33,69,10,42,0.34,81
2020-04-14,良,83,278,48,115,24,77,0.47,39
