日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2020-01-01,良,63,141,44,69,11,31,1.04,70
2020-01-02,优,48,71,27,49,8,30,0.85,51
2020-01-03,优,47,60,24,49,8,29,0.69,49
2020-01-04,良,51,77,28,55,9,31,0.61,51
2020-01-05,良,52,93,29,53,9,26,0.62,66
2020-01-06,优,48,134,26,50,7,21,0.60,60
2020-01-07,良,55,220,29,62,8,34,0.71,49
2020-01-08,良,74,258,52,84,9,38,0.86,43
2020-01-09,良,60,166,37,62,8,26,0.72,86
2020-01-10,优,48,137,24,49,7,19,0.76,68
2020-01-11,优,35,81,18,37,7,22,0.89,32
2020-01-12,优,30,52,14,30,9,23,0.83,49
2020-01-13,良,71,177,51,76,11,38,0.93,40
2020-01-14,良,65,129,46,62,8,34,1.14,16
2020-01-15,优,32,33,18,31,6,31,0.98,20
2020-01-16,优,34,83,20,34,7,30,0.98,16
2020-01-17,优,29,54,16,28,7,21,1.01,29
2020-01-18,良,51,103,34,49,6,26,0.99,19
2020-01-19,优,37,52,24,35,6,20,0.85,30
2020-01-20,良,72,184,52,63,7,30,1.03,24
2020-01-21,良,68,153,49,58,6,33,1.26,10
2020-01-22,优,50,106,33,48,7,21,0.84,41
2020-01-23,优,46,114,30,44,28,13,0.69,61
2020-01-24,优,49,139,34,47,13,17,0.81,33
2020-01-25,优,18,13,9,17,6,9,0.89,29
2020-01-26,优,16,46,6,10,6,8,0.88,47
2020-01-27,优,25,60,17,17,6,8,0.77,53
2020-01-28,优,37,89,26,28,6,8,0.65,53
2020-01-29,良,55,150,38,41,6,13,0.73,53
2020-01-30,良,64,185,46,53,7,19,0.78,57
2020-01-31,良,79,218,58,67,8,22,0.79,70
2020-02-01,轻度污染,105,273,78,85,9,22,0.86,68
2020-02-02,中度污染,161,357,123,140,10,29,1.13,45
2020-02-03,良,64,243,46,56,6,15,1.03,32
2020-02-04,优,14,16,7,13,6,13,0.91,37
2020-02-05,优,17,17,11,17,6,15,0.93,25
2020-02-06,优,19,16,12,17,6,22,1.08,9
2020-02-07,优,13,9,7,12,6,13,0.96,25
2020-02-08,优,12,8,7,12,6,10,0.88,27
2020-02-09,优,13,7,7,13,6,9,0.71,30
2020-02-10,优,33,61,23,28,6,15,0.76,31
2020-02-11,良,72,247,52,60,6,17,0.88,36
2020-02-12,良,53,174,37,51,6,15,0.76,45
2020-02-13,优,29,56,19,28,6,14,0.70,44
2020-02-14,优,32,136,20,29,6,13,0.67,43
2020-02-15,优,29,173,17,27,6,12,0.65,44
2020-02-16,优,20,49,5,12,6,6,0.45,61
2020-02-17,优,30,146,17,26,7,8,0.45,71
2020-02-18,优,48,230,34,38,9,14,0.49,76
2020-02-19,良,82,308,60,69,9,20,0.69,67
2020-02-20,轻度污染,121,311,91,106,8,25,0.88,56
2020-02-21,良,63,185,43,59,7,18,0.67,73
2020-02-22,良,87,325,64,79,7,21,0.83,64
2020-02-23,良,83,285,61,78,7,25,0.80,78
2020-02-24,优,49,85,30,49,7,14,0.68,84
2020-02-25,优,46,108,28,46,7,15,0.69,73
2020-02-26,优,49,144,31,49,7,23,0.72,51
2020-02-27,优,45,148,30,45,7,21,0.70,51
2020-02-28,优,37,181,23,36,6,16,0.52,43
2020-02-29,优,38,126,22,38,6,20,0.62,44
2020-03-01,良,52,210,34,53,7,28,0.74,29
2020-03-02,良,61,269,43,60,7,28,0.87,18
2020-03-03,优,40,150,24,39,6,19,0.76,31
2020-03-04,优,11,17,4,7,6,13,0.81,32
2020-03-05,优,23,39,14,23,8,18,0.75,34
