日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2020-01-01,良,81,242,59,94,14,72,1.16,10
2020-01-02,轻度污染,111,252,83,125,13,87,1.52,9
2020-01-03,中度污染,180,305,137,187,27,105,2.31,9
2020-01-04,中度污染,190,296,149,166,24,110,2.54,8
2020-01-05,良,78,165,57,71,13,75,1.50,6
2020-01-06,轻度污染,102,285,76,61,8,66,1.76,8
2020-01-07,良,67,257,48,41,9,54,1.18,21
2020-01-08,优,26,15,14,23,4,40,0.43,43
2020-01-09,轻度污染,126,319,95,96,9,81,1.38,19
2020-01-10,良,94,261,70,67,7,69,1.09,22
2020-01-11,优,40,108,24,40,13,49,0.90,33
2020-01-12,优,49,138,33,48,10,66,0.78,18
2020-01-13,优,31,20,16,28,5,40,0.49,40
2020-01-14,优,47,67,28,49,11,54,0.96,29
2020-01-15,中度污染,165,331,126,131,12,78,1.59,31
2020-01-16,严重污染,278,360,228,208,15,88,2.45,14
2020-01-17,严重污染,265,357,217,190,14,92,2.46,18
2020-01-18,严重污染,290,363,240,220,8,56,2.73,14
2020-01-19,良,100,239,73,90,7,44,1.10,39
2020-01-20,优,33,37,18,29,5,33,0.49,45
2020-01-21,良,58,118,39,58,17,62,1.14,21
2020-01-22,中度污染,186,336,146,153,10,70,1.87,19
2020-01-23,重度污染,202,325,162,139,11,55,1.66,42
2020-01-24,良,76,243,56,50,8,23,0.62,59
2020-01-25,良,96,245,71,81,9,33,0.73,51
2020-01-26,严重污染,263,358,213,219,12,42,1.65,51
2020-01-27,严重污染,287,362,237,225,11,45,1.91,60
2020-01-28,重度污染,250,361,201,171,19,48,2.13,56
2020-01-29,轻度污染,113,304,85,57,10,36,1.30,48
2020-01-30,优,37,68,25,29,19,33,1.37,51
2020-01-31,轻度污染,116,304,86,84,16,41,1.39,57
2020-02-01,优,44,77,28,32,7,19,0.55,69
2020-02-02,优,38,84,26,24,5,18,0.50,68
2020-02-03,优,33,74,22,26,7,21,0.63,61
2020-02-04,优,45,179,29,39,12,32,1.15,45
2020-02-05,优,26,48,15,25,6,21,0.50,48
2020-02-06,优,37,180,26,29,6,18,0.60,53
2020-02-07,轻度污染,128,353,97,96,5,27,1.08,33
2020-02-08,轻度污染,138,338,103,93,7,32,1.22,41
2020-02-09,中度污染,193,359,147,134,9,38,1.69,40
2020-02-10,重度污染,219,363,169,158,12,65,2.06,40
