日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2021-01-01,良,88,338,65,97,5,51,0.80,20
2021-01-02,轻度污染,122,325,92,127,6,57,0.93,11
2021-01-03,轻度污染,115,301,86,113,6,44,0.89,23
2021-01-04,轻度污染,135,306,102,139,6,54,1.02,9
2021-01-05,轻度污染,106,291,79,108,6,40,0.96,18
2021-01-06,良,86,238,63,84,5,38,0.88,15
2021-01-07,良,59,196,42,52,4,26,0.61,39
2021-01-08,良,59,258,42,59,4,37,0.63,27
2021-01-09,良,92,350,69,93,5,45,0.79,11
2021-01-10,良,85,326,62,83,5,44,0.78,20
2021-01-11,良,72,232,47,78,5,46,0.76,25
2021-01-12,良,72,152,50,91,7,55,0.87,27
2021-01-13,轻度污染,126,291,95,148,9,74,1.17,26
2021-01-14,轻度污染,145,321,110,158,7,69,1.32,30
2021-01-15,中度污染,158,334,119,172,8,77,1.26,37
2021-01-16,轻度污染,137,320,98,164,8,70,1.23,21
2021-01-17,良,58,108,27,67,4,27,0.47,50
2021-01-18,良,57,104,32,65,5,35,0.57,41
2021-01-19,良,90,269,66,100,6,54,0.76,34
2021-01-20,轻度污染,128,323,97,143,7,62,1.03,9
2021-01-21,轻度污染,128,253,97,141,9,61,1.05,28
2021-01-22,良,95,181,71,101,8,50,0.80,45
2021-01-23,中度污染,152,300,115,154,8,53,0.90,45
2021-01-24,中度污染,157,280,117,158,7,55,1.06,15
2021-01-25,良,74,174,54,70,4,44,0.98,16
2021-01-26,良,88,218,65,101,6,50,1.06,26
2021-01-27,良,87,192,64,97,5,45,1.04,31
2021-01-28,轻度污染,122,312,92,131,5,54,1.18,30
2021-01-29,良,92,278,68,96,7,56,1.05,19
2021-01-30,良,71,184,51,73,5,46,0.91,26
2021-01-31,良,67,145,48,80,5,45,0.77,34
2021-02-01,良,84,242,62,94,6,46,0.85,45
2021-02-02,轻度污染,118,351,89,133,7,72,1.05,24
2021-02-03,中度污染,166,358,126,175,9,58,1.20,31
2021-02-04,中度污染,198,361,150,199,7,66,1.31,12
