日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2021-01-01,优,43,97,19,44,13,22,0.48,40
2021-01-02,良,51,82,27,54,14,27,0.54,36
2021-01-03,良,60,115,38,72,18,34,0.65,25
2021-01-04,良,65,154,44,79,12,31,0.78,38
2021-01-05,良,86,260,63,94,11,30,0.88,38
2021-01-06,良,89,255,66,102,5,26,1.07,17
2021-01-07,良,64,226,43,74,5,16,0.68,43
2021-01-08,良,61,281,17,74,5,13,0.46,49
2021-01-09,良,51,175,23,54,7,22,0.53,40
2021-01-10,良,57,150,32,64,15,28,0.59,45
2021-01-11,良,51,97,25,56,8,23,0.60,43
2021-01-12,良,65,109,31,81,9,28,0.63,46
2021-01-13,良,60,67,23,71,7,33,0.56,44
2021-01-14,良,62,73,29,73,6,43,0.72,29
2021-01-15,良,64,84,36,79,9,38,0.71,42
2021-01-16,轻度污染,116,275,77,181,9,28,1.03,50
2021-01-17,良,81,258,38,113,6,20,0.65,50
2021-01-18,良,85,288,40,119,10,30,0.70,48
2021-01-19,良,68,140,36,86,11,37,0.67,42
2021-01-20,良,59,106,33,69,8,30,0.58,68
2021-01-21,良,72,131,50,92,10,38,0.78,43
2021-01-22,良,96,186,72,95,5,34,1.13,33
2021-01-23,良,95,190,70,90,5,31,1.18,29
2021-01-24,良,59,64,41,59,12,27,1.10,34
2021-01-25,良,63,134,45,66,7,30,1.02,19
2021-01-26,良,57,109,40,51,5,17,1.18,51
2021-01-27,良,85,188,62,80,7,21,1.25,35
2021-01-28,优,43,69,27,43,5,23,1.01,54
2021-01-29,良,73,215,41,99,7,18,0.76,67
2021-01-30,良,89,262,50,127,10,38,0.88,24
2021-01-31,良,87,227,61,122,26,33,0.98,26
2021-02-01,良,68,179,47,82,7,28,0.97,23
2021-02-02,优,37,55,23,37,5,17,0.97,45
2021-02-03,良,54,113,37,58,7,24,0.99,45
2021-02-04,良,69,171,49,70,9,18,0.87,62
2021-02-05,良,88,272,65,95,7,18,1.00,49
2021-02-06,优,48,68,32,47,8,14,0.93,58
2021-02-07,优,49,99,34,49,6,16,0.97,53
2021-02-08,优,39,81,23,38,5,11,0.67,63
2021-02-09,优,34,93,21,34,5,12,0.66,35
2021-02-10,优,31,97,21,30,5,14,0.69,25
2021-02-11,优,38,106,26,36,5,10,0.76,39
2021-02-12,良,91,192,67,90,9,10,0.69,40
2021-02-13,良,53,176,37,50,5,9,0.59,44
2021-02-14,良,54,206,38,56,7,13,0.67,41
2021-02-15,优,46,182,31,46,6,10,0.63,54
2021-02-16,良,73,317,53,72,7,12,1.05,42
2021-02-17,良,53,264,36,55,9,12,0.80,54
2021-02-18,良,57,270,35,62,6,9,0.60,75
2021-02-19,优,43,92,22,43,6,14,0.59,66
2021-02-20,优,36,49,17,36,5,15,0.60,65
2021-02-21,优,43,80,25,45,5,20,0.70,65
2021-02-22,良,60,148,41,67,6,26,0.88,63
2021-02-23,良,74,285,54,82,10,18,0.91,70
2021-02-24,良,59,238,37,67,8,15,0.75,75
2021-02-25,优,46,186,30,52,6,16,0.72,41
2021-02-26,优,18,26,6,14,5,6,0.54,57
2021-02-27,优,22,37,13,21,5,8,0.71,45
2021-02-28,优,36,127,20,36,5,16,0.75,20
2021-03-01,优,29,100,17,29,5,17,0.79,17
2021-03-02,优,21,23,11,21,5,9,0.70,45
2021-03-03,优,45,118,30,45,11,22,0.77,33
2021-03-04,优,45,105,29,45,8,19,0.78,36
2021-03-05,优,31,34,19,31,6,23,0.89,14
2021-03-06,优,23,18,14,23,6,19,0.85,22
2021-03-07,优,36,102,22,38,5,11,0.65,37
2021-03-08,优,40,98,25,41,5,15,0.70,18
2021-03-09,优,26,28,16,26,5,12,0.68,46
2021-03-10,优,38,80,25,38,6,21,0.72,29
2021-03-11,优,25,27,16,25,9,26,0.95,12
2021-03-12,优,30,36,15,28,5,16,0.74,53
2021-03-13,优,40,51,24,39,6,18,0.74,70
2021-03-14,优,48,58,29,48,9,21,0.75,58
2021-03-15,良,53,83,32,57,6,25,0.73,62
2021-03-16,优,47,72,30,51,6,15,0.83,62
2021-03-17,优,29,31,16,29,5,14,1.00,31
2021-03-18,优,42,86,22,42,5,16,0.87,32
2021-03-19,优,44,116,28,44,5,19,0.90,33
2021-03-20,优,26,30,17,26,5,12,0.79,53
2021-03-21,良,59,163,41,59,5,10,0.84,77
2021-03-22,良,77,242,32,105,6,15,0.59,68
2021-03-23,良,58,73,20,66,8,26,0.55,52
2021-03-24,良,62,103,28,74,7,15,0.59,72
2021-03-25,良,64,98,30,78,9,22,0.61,80
2021-03-26,良,55,95,26,60,6,23,0.63,83
2021-03-27,良,57,165,35,67,10,21,0.77,77
2021-03-28,优,35,31,18,33,5,14,0.81,93
2021-03-29,良,54,91,32,58,7,20,0.89,70
2021-03-30,良,53,84,34,56,8,17,0.91,53
2021-03-31,良,54,148,36,58,8,20,0.89,47
2021-04-01,优,31,111,18,32,5,17,0.89,37
2021-04-02,优,33,124,20,33,5,12,0.76,39
2021-04-03,优,26,47,15,26,5,14,0.67,35
2021-04-04,优,32,79,19,31,5,8,0.58,67
2021-04-05,优,42,120,21,42,7,14,0.49,66
2021-04-06,优,45,108,25,46,8,12,0.53,75
2021-04-07,优,48,162,28,49,8,17,0.69,76
2021-04-08,优,27,29,15,26,5,10,0.60,67
2021-04-09,优,33,59,18,32,7,10,0.51,78
2021-04-10,优,49,159,25,50,16,27,0.56,62
2021-04-11,优,48,158,31,49,8,25,0.56,48
2021-04-12,优,28,30,16,26,5,14,0.63,52
2021-04-13,优,33,104,21,32,7,13,0.78,69
2021-04-14,优,36,120,23,35,6,12,0.70,83
2021-04-15,优,38,88,24,38,14,17,0.79,50
2021-04-16,优,46,99,29,47,6,25,0.82,46
2021-04-17,良,65,212,36,80,6,16,0.69,81
2021-04-18,良,97,353,35,143,7,16,0.56,89
2021-04-19,良,72,260,34,95,9,24,0.68,67
2021-04-20,良,59,221,31,71,5,25,0.64,57
2021-04-21,优,41,99,18,41,6,15,0.53,78
2021-04-22,优,41,110,22,42,8,14,0.60,71
2021-04-23,优,37,80,23,37,5,8,0.77,81
2021-04-24,优,38,140,25,38,5,10,0.77,81
2021-04-25,优,28,67,17,26,5,8,0.80,79
2021-04-26,优,24,52,14,24,5,12,0.71,43
2021-04-27,优,25,39,15,25,5,13,0.90,50
2021-04-28,优,47,131,30,48,11,19,0.90,51
2021-04-29,良,51,152,27,53,8,11,0.70,77
2021-04-30,优,47,104,18,47,5,11,0.51,81
2021-05-01,优,48,121,21,47,7,13,0.49,106
2021-05-02,良,58,255,32,63,6,17,0.57,105
2021-05-03,良,52,217,27,58,6,11,0.55,91
2021-05-04,优,29,48,13,26,6,9,0.60,72
2021-05-05,良,59,171,26,67,5,7,0.53,126
2021-05-06,良,55,131,27,62,7,16,0.64,64
2021-05-07,优,50,109,32,53,7,13,0.76,54
2021-05-08,优,38,100,19,35,7,10,0.60,65
2021-05-09,优,29,45,10,27,5,12,0.55,58
2021-05-10,优,34,91,17,34,5,11,0.54,73
2021-05-11,优,29,68,8,20,5,9,0.52,81
2021-05-12,优,25,33,14,25,5,7,0.74,68
2021-05-13,优,30,69,13,28,5,11,0.51,61
2021-05-14,优,25,38,11,24,5,8,0.50,59
2021-05-15,优,28,136,13,27,5,10,0.47,60
2021-05-16,优,35,291,14,30,7,23,0.57,80
2021-05-17,优,24,50,13,22,6,6,0.63,64
2021-05-18,优,37,121,24,36,11,10,0.63,75
2021-05-19,优,31,91,20,29,7,12,0.72,51
2021-05-20,优,32,119,20,31,12,14,0.88,48
2021-05-21,优,28,68,14,24,5,9,0.65,71
2021-05-22,优,25,56,12,21,5,12,0.70,64
2021-05-23,优,29,90,16,28,8,11,0.79,39
2021-05-24,优,44,158,27,44,5,8,0.66,89
2021-05-25,良,52,199,35,54,6,11,0.70,65
2021-05-26,优,37,141,21,37,6,10,0.71,54
2021-05-27,优,24,53,8,19,5,8,0.70,73
2021-05-28,优,21,24,7,20,6,11,0.56,57
2021-05-29,优,24,48,8,20,5,10,0.53,70
2021-05-30,优,23,22,9,19,5,11,0.61,51
2021-05-31,优,30,60,15,29,6,10,0.63,48
2021-06-01,优,18,16,5,16,5,7,0.67,51
2021-06-02,优,19,12,7,19,5,9,0.64,36
2021-06-03,优,27,72,11,25,5,8,0.61,52
2021-06-04,优,35,151,14,30,6,8,0.60,104
2021-06-05,优,49,221,25,46,8,12,0.67,101
2021-06-06,良,53,157,23,46,6,13,0.63,114
2021-06-07,优,49,147,25,46,7,15,0.66,90
2021-06-08,优,39,135,19,38,7,14,0.63,69
2021-06-09,优,30,78,13,29,6,11,0.57,53
2021-06-10,优,22,43,10,22,5,8,0.55,49
2021-06-11,优,33,119,21,33,5,10,0.63,56
2021-06-12,优,38,164,22,39,5,10,0.61,39
2021-06-13,优,21,70,9,21,5,6,0.49,40
2021-06-14,优,18,43,7,17,5,3,0.46,43
2021-06-15,优,22,59,10,22,5,4,0.48,50
2021-06-16,优,30,170,14,30,5,7,0.49,55
2021-06-17,优,32,223,16,32,5,7,0.48,53
2021-06-18,优,36,240,19,36,6,9,0.59,56
2021-06-19,优,32,160,20,32,5,6,0.73,73
2021-06-20,优,29,108,15,28,5,6,0.79,78
2021-06-21,优,32,97,18,28,6,6,0.77,73
2021-06-22,优,35,104,18,33,7,8,0.66,81
2021-06-23,优,36,98,17,35,7,10,0.64,81
2021-06-24,优,28,61,10,23,5,8,0.47,84
2021-06-25,优,30,96,12,28,6,9,0.56,70
2021-06-26,优,30,123,15,30,6,9,0.58,49
2021-06-27,优,33,166,16,33,5,8,0.53,47
2021-06-28,优,27,98,13,26,6,7,0.58,43
2021-06-29,优,23,56,10,23,6,8,0.58,35
2021-06-30,优,21,54,10,20,5,8,0.62,48
2021-07-01,优,28,116,12,28,5,11,0.62,34
2021-07-02,优,29,155,12,29,5,9,0.60,42
2021-07-03,优,30,146,16,30,5,8,0.60,54
2021-07-04,优,32,157,17,32,6,9,0.58,53
2021-07-05,优,33,161,18,33,5,13,0.57,45
2021-07-06,优,31,152,15,30,5,9,0.50,50
2021-07-07,优,26,93,12,26,5,8,0.48,45
2021-07-08,优,23,70,9,23,5,6,0.43,51
