日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2021-01-01,优,42,84,19,44,7,25,0.51,54
2021-01-02,优,47,67,25,51,8,33,0.58,60
2021-01-03,良,65,143,40,79,7,46,0.71,74
2021-01-04,良,63,144,38,75,10,49,0.67,62
2021-01-05,良,62,209,40,78,9,50,0.65,57
2021-01-06,良,67,171,46,83,9,34,0.70,77
2021-01-07,良,78,316,55,87,7,30,0.87,42
2021-01-08,良,51,185,28,53,6,24,0.64,42
2021-01-09,优,40,88,15,41,7,26,0.45,45
2021-01-10,良,51,113,23,55,9,31,0.53,46
2021-01-11,良,52,109,27,55,9,28,0.57,41
2021-01-12,良,60,79,34,70,9,37,0.68,54
2021-01-13,良,68,111,37,86,7,61,0.74,43
2021-01-14,良,77,132,50,104,7,79,0.78,55
2021-01-15,良,67,91,39,85,6,74,0.75,53
2021-01-16,良,65,129,39,83,6,52,0.72,66
2021-01-17,良,87,290,59,123,8,23,0.82,88
2021-01-18,良,70,176,36,90,8,26,0.65,76
2021-01-19,良,65,126,36,80,6,42,0.65,73
2021-01-20,良,54,94,24,59,6,37,0.60,69
2021-01-21,良,67,112,37,82,6,56,0.72,56
2021-01-22,良,77,137,53,98,6,73,0.90,39
2021-01-23,良,57,78,37,66,6,49,0.78,56
2021-01-24,良,52,45,35,58,5,31,0.70,66
2021-01-25,良,52,81,32,55,6,43,0.74,73
2021-01-26,良,72,166,50,86,6,56,0.80,81
2021-01-27,良,55,101,37,59,6,31,0.83,73
2021-01-28,优,50,104,32,52,5,26,0.86,78
2021-01-29,优,35,37,18,36,5,17,0.68,86
2021-01-30,良,61,135,32,72,5,23,0.66,93
2021-01-31,优,41,50,17,40,5,22,0.51,78
2021-02-01,优,41,51,18,42,5,31,0.55,53
2021-02-02,优,50,108,26,52,5,31,0.63,78
2021-02-03,优,45,64,25,45,6,17,0.65,97
2021-02-04,优,47,55,22,48,6,24,0.57,88
2021-02-05,优,31,20,14,31,5,23,0.56,79
2021-02-06,优,42,47,23,41,5,40,0.66,72
2021-02-07,优,42,64,24,40,5,35,0.70,70
2021-02-08,优,39,85,24,37,5,18,0.69,86
2021-02-09,优,46,155,23,47,5,11,0.67,91
2021-02-10,优,18,33,4,13,5,9,0.64,52
2021-02-11,优,14,3,6,10,5,8,0.65,39
2021-02-12,优,30,12,20,26,6,9,0.57,57
2021-02-13,优,30,45,20,27,5,16,0.56,55
2021-02-14,优,29,34,18,27,5,17,0.55,68
2021-02-15,优,37,116,21,30,6,19,0.63,65
2021-02-16,优,29,35,17,27,6,18,0.53,75
2021-02-17,优,31,85,16,25,5,17,0.68,64
2021-02-18,优,41,136,25,41,6,12,0.58,82
2021-02-19,优,44,101,24,44,6,20,0.60,92
2021-02-20,优,43,94,25,43,6,30,0.61,86
2021-02-21,优,42,67,24,39,6,29,0.65,83
2021-02-22,优,37,49,21,34,6,37,0.66,61
2021-02-23,优,38,74,20,36,6,35,0.64,66
2021-02-24,优,32,32,15,32,5,12,0.50,89
2021-02-25,优,27,33,13,27,5,17,0.51,69
2021-02-26,优,36,153,22,36,5,34,0.63,37
2021-02-27,优,22,41,13,22,5,22,0.71,17
2021-02-28,优,28,57,11,23,5,19,0.64,56
2021-03-01,优,31,125,14,31,6,34,0.62,48
2021-03-02,优,27,56,11,25,6,25,0.80,46
2021-03-03,优,35,43,13,35,5,19,0.64,59
2021-03-04,优,49,124,26,50,5,32,0.63,43
2021-03-05,优,41,102,28,40,5,27,0.69,42
2021-03-06,优,30,58,19,29,5,28,0.68,40
2021-03-07,优,21,19,12,21,5,25,0.81,28
2021-03-08,优,28,32,14,28,5,20,0.68,52
2021-03-09,优,42,90,21,42,5,20,0.57,82
2021-03-10,优,34,66,16,33,5,16,0.55,80
2021-03-11,优,31,52,13,30,5,18,0.56,85
2021-03-12,优,49,135,26,50,6,36,0.66,80
2021-03-13,优,36,40,17,35,5,22,0.69,85
2021-03-14,优,44,42,25,44,5,16,0.70,107
2021-03-15,优,31,16,15,30,5,20,0.61,83
2021-03-16,优,41,50,21,41,5,33,0.59,52
2021-03-17,优,34,54,17,34,5,31,0.55,38
2021-03-18,优,30,41,16,30,5,19,0.50,48
2021-03-19,优,24,22,12,24,5,23,0.49,45
2021-03-20,优,32,55,16,32,5,31,0.52,38
2021-03-21,优,46,131,21,47,6,29,0.77,33
2021-03-22,优,47,60,20,51,6,21,0.77,58
2021-03-23,良,76,199,34,101,7,32,0.66,54
2021-03-24,良,77,216,46,104,7,46,0.75,72
2021-03-25,良,62,85,33,76,6,44,0.73,75
2021-03-26,优,34,17,12,34,5,17,0.45,91
2021-03-27,优,41,59,18,41,5,28,0.51,61
2021-03-28,优,42,51,20,42,5,38,0.60,35
2021-03-29,优,24,10,9,24,5,24,0.47,23
2021-03-30,优,22,9,9,22,5,18,0.44,31
2021-03-31,优,19,6,8,19,5,18,0.42,28
2021-04-01,优,22,29,11,22,5,19,0.41,27
