日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2022-01-01,良,60,124,35,71,14,40,0.93,32
2022-01-02,良,51,101,30,57,20,52,1.05,18
2022-01-03,良,80,165,57,99,24,56,1.51,15
2022-01-04,良,79,158,57,94,22,60,1.47,15
2022-01-05,良,63,130,42,72,19,62,1.35,16
2022-01-06,良,58,141,37,65,21,56,1.12,19
2022-01-07,轻度污染,136,280,103,143,25,67,1.49,14
2022-01-08,中度污染,167,308,126,157,15,61,1.58,20
2022-01-09,轻度污染,144,275,107,136,16,53,1.39,23
2022-01-10,优,38,76,17,41,12,28,0.60,48
2022-01-11,良,70,196,47,78,16,49,0.98,21
2022-01-12,优,25,10,10,23,8,16,0.42,52
2022-01-13,优,40,65,24,41,14,40,0.79,21
2022-01-14,良,63,107,42,76,22,51,1.15,14
2022-01-15,优,33,40,14,33,10,22,0.58,50
2022-01-16,优,36,64,17,36,15,37,0.76,31
2022-01-17,优,43,101,22,46,16,31,0.75,33
2022-01-18,良,62,148,41,74,21,51,1.18,15
2022-01-19,优,34,60,19,34,14,45,0.85,32
2022-01-20,良,66,154,46,76,23,54,1.21,21
2022-01-21,轻度污染,139,315,106,126,19,55,1.43,10
2022-01-22,中度污染,159,316,120,125,12,43,1.59,15
2022-01-23,轻度污染,129,272,97,97,13,41,1.41,36
2022-01-24,中度污染,154,307,116,124,12,42,1.36,36
2022-01-25,良,100,209,74,86,9,28,0.97,40
2022-01-26,优,18,14,9,17,10,24,0.59,47
2022-01-27,优,25,52,13,22,12,23,0.57,52
2022-01-28,优,41,173,27,41,16,37,0.97,32
2022-01-29,良,55,221,38,54,16,41,1.03,34
2022-01-30,良,55,168,30,60,14,28,0.88,46
2022-01-31,优,32,74,10,28,11,11,0.45,64
2022-02-01,优,26,36,15,23,13,19,0.68,60
2022-02-02,优,42,146,28,40,17,22,0.83,53
2022-02-03,优,24,64,8,16,9,11,0.46,72
2022-02-04,优,26,69,10,20,16,13,0.46,67
2022-02-05,优,29,77,16,26,14,19,0.56,62
2022-02-06,优,26,37,14,24,12,23,0.63,56
2022-02-07,优,24,59,9,21,12,23,0.54,63
2022-02-08,优,38,140,21,38,17,34,0.79,47
2022-02-09,良,84,267,62,80,14,41,0.97,38
2022-02-10,良,95,269,71,94,14,48,1.03,39
2022-02-11,良,71,208,51,80,18,55,1.10,34
2022-02-12,优,44,114,26,45,12,32,0.64,52
2022-02-13,优,39,106,19,40,10,22,0.52,57
2022-02-14,优,30,82,18,24,10,22,0.57,61
2022-02-15,优,43,116,28,37,10,29,0.67,49
2022-02-16,优,23,9,10,19,11,26,0.65,59
2022-02-17,良,53,241,37,47,14,35,0.84,39
2022-02-18,优,27,94,8,21,8,9,0.37,77
