日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2023-01-01,良,69,148,50,62,7,33,0.72,19
2023-01-02,良,78,187,57,70,9,33,0.76,15
2023-01-03,良,81,190,59,73,8,34,0.81,11
2023-01-04,良,79,174,58,74,9,35,0.76,12
2023-01-05,良,93,164,69,92,9,40,0.87,11
2023-01-06,良,90,139,67,92,8,42,0.93,20
2023-01-07,良,91,162,67,91,8,45,0.92,26
2023-01-08,轻度污染,116,246,87,119,9,51,1.09,24
2023-01-09,轻度污染,131,271,99,134,9,54,1.12,27
2023-01-10,轻度污染,141,284,107,141,9,54,1.17,28
2023-01-11,中度污染,164,294,124,159,10,55,1.21,17
2023-01-12,中度污染,174,274,131,165,10,48,1.03,30
2023-01-13,中度污染,190,288,143,178,10,49,1.10,22
2023-01-14,良,85,299,52,106,6,23,0.57,39
2023-01-15,优,39,184,22,39,6,18,0.42,41
2023-01-16,良,51,166,32,54,6,23,0.49,29
2023-01-17,优,49,81,34,47,6,23,0.55,26
2023-01-18,良,64,134,46,64,6,26,0.64,23
2023-01-19,良,70,132,50,64,6,27,0.73,27
2023-01-20,良,87,243,64,81,7,31,0.88,19
2023-01-21,轻度污染,116,258,87,108,9,28,0.95,19
2023-01-22,中度污染,176,256,134,163,10,23,0.88,30
2023-01-23,轻度污染,137,280,105,130,9,25,0.86,29
2023-01-24,轻度污染,103,309,77,104,8,23,0.79,31
2023-01-25,良,81,294,59,91,8,21,0.76,45
2023-01-26,良,100,287,75,113,8,28,0.86,30
2023-01-27,轻度污染,116,321,87,124,8,29,0.91,31
2023-01-28,轻度污染,103,321,77,109,8,35,0.94,31
2023-01-29,良,95,296,70,100,9,36,0.90,44
2023-01-30,良,91,249,67,95,9,42,0.89,55
2023-01-31,轻度污染,112,263,84,113,11,52,1.01,48
2023-02-01,轻度污染,142,291,108,139,12,61,1.11,31
2023-02-02,轻度污染,146,326,111,142,11,48,1.06,46
2023-02-03,轻度污染,116,314,87,115,9,39,0.90,50
2023-02-04,轻度污染,135,309,103,130,11,48,1.00,29
2023-02-05,良,90,190,67,84,8,35,0.90,42
2023-02-06,良,94,202,69,89,11,48,0.98,30
2023-02-07,轻度污染,125,254,94,122,12,57,1.14,14
2023-02-08,轻度污染,116,277,87,110,10,42,1.02,26
2023-02-09,良,74,253,53,69,7,34,0.89,22
2023-02-10,良,53,155,37,50,8,33,0.93,25
2023-02-11,优,44,131,30,43,9,34,0.88,25
2023-02-12,良,53,194,37,53,10,32,0.89,17
2023-02-13,优,23,61,15,23,6,22,0.84,23
2023-02-14,优,25,53,17,24,6,25,0.84,28
2023-02-15,优,38,75,26,36,8,30,0.85,20
2023-02-16,优,49,82,34,48,9,35,0.87,20
2023-02-17,良,60,110,43,59,9,34,0.89,30
2023-02-18,良,67,142,48,67,10,36,0.90,32
2023-02-19,良,75,240,54,72,11,39,0.90,30
2023-02-20,良,82,254,61,77,9,39,0.96,15
2023-02-21,优,47,113,33,45,6,26,0.60,46
2023-02-22,优,44,91,31,40,6,29,0.59,41
2023-02-23,良,54,121,38,51,8,36,0.71,23
2023-02-24,良,61,178,43,59,10,37,0.76,33
2023-02-25,良,56,173,39,57,9,40,0.76,37
2023-02-26,良,56,137,39,58,8,35,0.63,65
2023-02-27,良,62,126,44,64,10,35,0.67,70
2023-02-28,良,83,215,61,85,13,40,0.78,48
2023-03-01,良,100,262,75,97,12,44,0.84,21
2023-03-01,良,100,261,75,97,12,44,0.84,21
2023-03-02,良,91,266,68,88,10,37,0.81,22
2023-03-03,良,84,234,62,85,10,37,0.79,37
2023-03-04,良,70,163,50,74,9,43,0.78,49
2023-03-05,良,72,171,52,82,14,56,0.89,43
2023-03-06,良,86,253,64,91,15,56,0.93,24
2023-03-07,良,79,213,58,76,9,38,0.90,26
2023-03-08,良,83,223,61,83,10,41,1.00,44
2023-03-09,良,71,171,51,73,10,43,0.97,52
2023-03-10,优,48,54,31,48,9,31,0.67,60
2023-03-11,优,49,72,31,51,10,36,0.71,55
2023-03-12,良,56,127,24,66,6,18,0.43,64
2023-03-13,优,37,53,18,36,8,23,0.51,60
2023-03-14,优,46,49,25,48,11,34,0.65,60
2023-03-15,良,65,129,45,74,14,47,0.80,49
2023-03-16,良,61,154,43,64,10,30,0.68,55
2023-03-17,优,35,120,22,35,8,23,0.63,61
2023-03-18,优,28,29,18,28,7,24,0.66,42
2023-03-19,优,29,48,18,29,8,24,0.68,43
2023-03-20,优,32,58,19,31,9,25,0.70,53
2023-03-21,优,45,114,27,45,11,39,0.78,46
2023-03-22,良,56,150,38,63,12,36,0.79,47
2023-03-23,优,36,91,23,36,7,21,0.64,32
2023-03-24,优,23,44,15,23,6,22,0.58,35
2023-03-25,优,22,25,14,22,6,22,0.65,28
2023-03-26,优,29,57,19,29,6,24,0.70,19
2023-03-27,优,28,55,17,28,7,28,0.65,27
2023-03-28,优,37,70,23,37,7,35,0.70,25
2023-03-29,优,48,113,31,48,8,37,0.77,23
2023-03-30,优,44,115,27,44,7,34,0.78,45
2023-03-31,良,51,126,31,52,9,48,0.84,28
2023-04-01,优,45,80,28,45,8,30,0.78,52
2023-04-02,优,48,97,32,50,9,27,0.75,75
2023-04-03,优,46,203,30,47,9,21,0.68,59
2023-04-04,优,30,116,16,29,9,19,0.60,65
2023-04-05,优,25,32,15,25,7,19,0.65,45
2023-04-06,优,41,112,21,44,6,16,0.56,63
2023-04-07,良,60,211,32,69,9,36,0.69,28
2023-04-08,良,65,227,37,81,11,36,0.73,48
2023-04-09,良,70,189,38,89,10,43,0.74,59
2023-04-10,良,74,201,43,95,12,43,0.80,84
2023-04-11,良,66,129,42,77,10,39,0.79,94
2023-04-12,良,57,94,38,63,9,37,0.80,64
2023-04-13,良,57,105,39,64,9,31,0.81,37
2023-04-14,良,61,144,42,68,11,31,0.84,54
2023-04-15,良,58,107,32,67,9,35,0.73,70
2023-04-16,良,63,118,30,68,10,35,0.70,95
2023-04-17,良,59,94,37,66,11,36,0.78,94
2023-04-18,优,45,85,31,44,7,26,0.83,65
2023-04-19,优,45,122,28,41,8,25,0.87,76
2023-04-20,优,43,89,27,43,8,31,0.77,71
2023-04-21,优,50,152,33,50,9,30,0.80,51
2023-04-22,优,21,30,12,21,6,16,0.62,35
2023-04-23,优,16,22,10,16,6,15,0.60,34
2023-04-24,优,19,44,12,19,6,17,0.60,30
2023-04-25,优,30,80,16,26,7,21,0.63,56
2023-04-26,优,45,187,25,46,9,37,0.76,55
2023-04-27,优,40,68,22,40,8,25,0.67,69
2023-04-28,优,45,113,27,46,9,27,0.67,49
2023-04-29,良,59,166,28,68,8,21,0.54,67
2023-04-30,良,63,175,31,76,9,35,0.62,72
2023-05-01,良,58,135,29,66,10,31,0.63,75
2023-05-02,良,55,144,29,60,11,23,0.62,86
2023-05-03,良,53,226,32,57,9,19,0.71,89
2023-05-04,优,47,273,31,46,10,17,0.68,84
2023-05-05,优,37,206,24,36,8,20,0.70,68
2023-05-06,优,30,99,19,30,7,17,0.62,51
2023-05-07,优,25,54,16,24,7,18,0.66,40
2023-05-08,优,24,43,15,24,6,18,0.60,54
2023-05-09,优,31,67,21,31,7,20,0.63,56
2023-05-10,优,32,66,21,31,6,22,0.65,44
2023-05-11,优,33,63,20,30,8,23,0.69,56
2023-05-12,优,44,111,25,44,11,28,0.65,78
2023-05-13,良,54,204,31,58,12,43,0.71,72
2023-05-14,良,63,196,41,73,12,47,0.85,80
2023-05-15,良,69,246,48,83,13,55,0.89,59
2023-05-16,优,45,106,28,41,9,25,0.68,91
2023-05-17,优,48,223,27,43,10,29,0.68,90
2023-05-18,良,52,246,34,54,10,35,0.67,53
2023-05-19,良,61,248,44,61,8,39,0.82,25
2023-05-20,良,56,165,39,53,8,26,0.77,47
2023-05-21,优,39,82,26,38,8,22,0.69,46
2023-05-22,优,23,17,11,22,7,16,0.51,61
2023-05-23,优,33,66,19,32,9,24,0.64,55
2023-05-24,优,38,81,21,35,8,22,0.66,69
2023-05-25,优,47,148,30,49,10,33,0.69,55
2023-05-26,良,63,279,45,59,8,28,0.77,48
2023-05-27,良,65,321,46,64,9,28,0.80,44
2023-05-28,良,58,328,40,57,8,21,0.75,76
2023-05-29,优,48,256,29,45,10,22,0.78,82
2023-05-30,优,44,206,30,43,9,23,0.82,73
2023-05-31,优,32,77,18,30,9,18,0.72,71
2023-06-01,优,21,0,11,19,7,17,0.67,54
2023-06-02,优,23,0,15,23,8,18,0.70,42
2023-06-03,优,19,0,12,19,7,17,0.65,37
2023-06-04,优,19,0,12,19,7,18,0.65,31
2023-06-05,优,21,0,11,19,8,19,0.62,48
2023-06-06,优,33,0,16,29,9,24,0.65,68
2023-06-07,优,42,0,25,43,11,40,0.82,35
2023-06-08,良,51,0,35,51,9,30,0.83,59
2023-06-09,良,60,0,42,61,10,32,0.81,85
2023-06-10,良,59,0,36,56,12,34,0.75,89
2023-06-11,良,51,0,31,52,11,43,0.72,84
2023-06-12,优,43,0,22,37,10,30,0.59,87
2023-06-13,优,41,0,20,33,11,26,0.62,91
2023-06-14,优,44,0,27,43,10,32,0.66,82
2023-06-15,优,35,0,23,33,7,23,0.62,67
2023-06-16,优,24,0,16,24,6,19,0.59,60
2023-06-17,优,26,0,17,25,7,24,0.70,40
2023-06-18,优,33,0,21,31,7,24,0.79,59
2023-06-19,优,45,0,27,42,9,30,0.87,74
2023-06-20,良,52,0,30,49,9,31,0.85,87
2023-06-21,优,31,0,18,29,7,20,0.61,63
2023-06-22,优,29,0,18,29,8,19,0.65,55
2023-06-23,优,36,0,20,33,8,21,0.70,66
2023-06-24,优,31,0,15,26,8,23,0.71,64
2023-06-25,优,35,0,15,26,9,25,0.68,81
2023-06-26,优,42,0,18,33,10,29,0.68,90
2023-06-27,优,33,0,15,27,10,23,0.59,81
2023-06-28,优,28,0,14,27,9,22,0.58,58
2023-06-29,优,24,0,15,24,8,19,0.64,40
2023-06-30,优,38,0,24,38,8,24,0.70,57
2023-07-01,优,32,0,21,31,7,23,0.73,45
2023-07-02,优,26,0,14,23,7,19,0.73,54
2023-07-03,优,27,0,17,27,7,18,0.71,45
2023-07-04,优,26,0,11,20,7,16,0.55,75
2023-07-05,优,39,0,15,30,8,24,0.68,92
2023-07-06,优,39,0,18,34,9,25,0.68,93
2023-07-07,优,42,0,25,40,8,24,0.74,84
2023-07-08,优,47,0,29,47,10,30,0.80,77
2023-07-09,优,41,0,23,36,8,21,0.76,87
2023-07-10,优,36,0,18,32,9,22,0.68,72
2023-07-11,优,34,0,15,28,9,20,0.59,77
2023-07-12,优,35,0,17,30,8,21,0.60,77
2023-07-13,优,34,0,18,32,9,19,0.59,72
2023-07-14,优,23,0,11,19,6,12,0.50,69
2023-07-15,优,43,0,19,41,8,23,0.61,89
2023-07-16,良,59,0,25,51,8,28,0.73,105
2023-07-17,优,50,0,21,39,8,27,0.66,99
2023-07-18,优,42,0,20,38,10,28,0.64,92
2023-07-19,优,29,0,18,28,7,23,0.68,52
2023-07-20,优,26,0,15,24,7,17,0.70,52
2023-07-21,优,20,0,10,16,7,17,0.65,50
2023-07-22,优,33,0,15,25,7,20,0.71,75
2023-07-23,优,39,0,18,32,9,21,0.71,84
2023-07-24,优,30,0,17,30,9,26,0.69,53
2023-07-25,优,24,0,12,20,7,17,0.68,61
2023-07-26,优,28,0,16,28,8,22,0.73,48
2023-07-27,优,22,0,14,21,7,18,0.64,38
2023-07-28,优,22,0,13,21,7,19,0.61,37
2023-07-29,优,30,0,16,25,7,18,0.64,61
2023-07-30,优,39,0,18,32,7,23,0.69,78
2023-07-31,优,40,0,20,35,7,23,0.67,81
2023-08-01,优,28,0,14,25,7,18,0.62,64
2023-08-02,优,27,0,13,22,6,16,0.61,63
2023-08-03,优,25,0,11,21,7,20,0.59,53
2023-08-04,优,33,0,15,29,8,25,0.68,62
2023-08-05,优,34,0,18,30,8,19,0.63,66
2023-08-06,优,31,0,14,27,8,18,0.63,67
2023-08-07,优,28,0,14,23,7,16,0.60,67
2023-08-08,优,30,0,14,24,8,19,0.67,68
2023-08-09,优,32,0,14,26,8,20,0.61,66
2023-08-10,优,32,0,15,26,8,19,0.62,71
2023-08-11,优,36,0,17,30,8,19,0.68,78
2023-08-12,优,31,0,15,26,7,17,0.64,71
2023-08-13,优,31,0,14,25,7,15,0.60,88
2023-08-14,优,37,0,16,28,8,20,0.63,86
2023-08-15,优,34,0,15,26,7,20,0.60,85
2023-08-16,优,42,0,19,34,8,25,0.67,89
2023-08-17,优,46,0,24,40,9,27,0.74,92
2023-08-18,良,53,0,34,52,9,24,0.78,90
2023-08-19,优,49,0,29,49,8,16,0.70,101
2023-08-20,优,45,0,29,45,8,15,0.72,91
2023-08-21,优,40,0,26,37,7,16,0.73,71
2023-08-22,优,46,0,27,42,8,24,0.78,88
2023-08-23,良,51,0,30,51,9,25,0.74,75
2023-08-24,良,52,0,36,51,8,19,0.72,69
2023-08-25,优,34,0,23,33,7,18,0.71,56
2023-08-26,优,22,0,14,21,7,16,0.66,39
2023-08-27,优,21,0,10,18,7,14,0.58,63
2023-08-28,优,31,0,14,24,8,26,0.79,67
2023-08-29,优,37,0,19,34,8,29,0.80,68
2023-08-30,优,34,0,20,31,8,20,0.70,78
2023-08-31,优,46,0,27,40,8,25,0.70,84
2023-09-01,良,52,0,32,50,9,31,0.73,82
2023-09-02,良,58,0,38,53,9,22,0.74,91
2023-09-03,良,64,0,38,55,10,28,0.76,98
2023-09-04,良,65,0,40,58,11,29,0.80,101
2023-09-05,良,54,0,32,49,9,28,0.72,87
2023-09-06,优,43,0,23,38,9,25,0.62,78
2023-09-07,优,41,0,22,36,9,23,0.61,75
2023-09-08,优,38,0,19,32,9,22,0.60,70
2023-09-09,优,39,0,21,34,10,21,0.61,71
2023-09-10,良,53,0,35,50,10,24,0.72,80
2023-09-11,良,55,0,39,53,10,21,0.76,65
2023-09-12,优,17,0,8,13,6,13,0.58,51
2023-09-13,优,25,0,13,21,8,18,0.66,59
2023-09-14,优,36,0,17,30,8,25,0.70,65
2023-09-15,优,41,0,22,37,9,30,0.68,74
2023-09-16,优,47,0,26,43,10,30,0.74,83
2023-09-17,优,48,0,30,44,10,25,0.76,84
2023-09-18,良,59,0,41,60,12,25,0.84,75
2023-09-19,良,55,0,38,54,10,20,0.79,63
2023-09-20,优,20,0,12,19,7,14,0.65,48
2023-09-21,优,19,0,8,15,7,14,0.60,54
2023-09-22,优,16,0,9,15,7,18,0.64,38
2023-09-23,优,14,0,8,14,7,18,0.66,25
2023-09-24,优,14,0,8,14,7,19,0.67,19
2023-09-25,优,15,0,9,15,7,20,0.71,18
2023-09-26,优,24,0,14,24,8,21,0.67,18
2023-09-27,优,34,0,20,34,8,23,0.74,19
2023-09-28,优,31,0,19,31,8,22,0.74,29
2023-09-29,优,28,0,18,28,7,19,0.73,23
2023-09-30,优,32,0,20,32,9,19,0.72,29
2023-10-01,优,26,0,16,26,8,17,0.73,28
2023-10-02,优,17,0,10,17,8,16,0.67,27
2023-10-03,优,24,0,14,24,8,17,0.74,22
2023-10-04,优,17,0,10,17,7,17,0.77,18
2023-10-05,优,15,0,8,15,6,14,0.69,32
2023-10-06,优,15,0,8,12,6,16,0.63,46
2023-10-07,优,20,0,11,18,7,20,0.69,46
2023-10-08,优,28,0,17,28,7,23,0.76,32
2023-10-09,优,34,0,21,34,8,25,0.74,27
2023-10-10,优,35,124,21,35,8,24,0.70,33
2023-10-11,优,39,147,24,39,8,27,0.72,33
2023-10-12,优,33,107,22,33,7,21,0.64,46
2023-10-13,优,33,100,22,33,7,25,0.68,41
2023-10-14,优,41,132,27,40,8,27,0.72,48
2023-10-15,优,49,172,33,49,8,35,0.81,52
2023-10-16,良,55,203,38,57,10,34,0.82,49
2023-10-17,良,73,269,53,73,10,32,0.84,62
2023-10-18,良,75,280,55,75,10,29,0.83,51
2023-10-19,优,27,85,18,27,7,19,0.58,40
2023-10-20,优,31,185,18,31,8,26,0.60,42
2023-11-01,良,55,165,38,56,9,37,0.83,32
2023-11-02,良,65,212,47,67,9,40,0.87,34
2023-11-03,良,64,224,46,59,8,32,0.77,22
2023-11-04,优,33,61,22,33,7,21,0.63,33
2023-11-05,优,38,112,25,38,8,24,0.63,41
2023-11-06,优,49,259,32,50,10,37,0.79,24
2023-11-07,优,49,206,33,48,9,31,0.75,30
2023-11-08,良,51,159,34,52,9,35,0.73,18
2023-11-09,良,65,227,46,67,11,36,0.85,20
2023-11-10,优,49,244,34,46,9,27,0.75,28
2023-11-11,优,28,112,18,28,8,26,0.69,35
2023-11-12,优,23,83,14,23,7,18,0.61,31
2023-11-13,优,23,63,14,23,6,19,0.53,37
2023-11-14,优,33,103,21,33,8,26,0.58,19
2023-11-15,优,36,84,23,36,7,26,0.62,21
2023-11-16,优,48,145,25,52,7,29,0.60,30
2023-11-17,良,59,213,32,68,8,41,0.65,32
2023-11-18,良,66,239,44,79,10,46,0.74,22
2023-11-19,良,79,263,58,92,9,46,0.86,29
2023-11-20,良,78,233,57,85,9,45,0.91,32
2023-11-21,良,91,245,67,94,10,44,0.92,25
2023-11-22,良,95,258,71,99,9,37,0.84,39
2023-11-23,轻度污染,112,312,84,113,10,44,0.97,26
2023-11-24,轻度污染,122,328,92,122,10,44,1.10,15
2023-11-25,良,90,314,67,89,9,36,0.87,28
2023-11-26,良,58,138,41,60,8,32,0.74,35
2023-11-27,良,55,103,37,59,9,38,0.78,34
2023-11-28,良,69,215,49,76,11,38,0.87,34
2023-11-29,良,76,264,55,82,11,38,0.84,20
2023-11-30,良,53,220,37,53,7,25,0.68,31
2023-12-01,优,32,50,22,31,6,23,0.59,22
2023-12-02,优,41,80,29,39,7,28,0.68,13
2023-12-03,良,56,136,39,54,9,34,0.85,11
2023-12-04,良,59,141,42,57,8,33,0.83,19
2023-12-05,良,61,131,44,60,9,36,0.85,17
2023-12-06,良,81,198,59,79,9,37,0.92,24
2023-12-07,良,80,203,59,79,8,41,0.90,26
2023-12-08,轻度污染,106,295,80,105,11,47,1.03,17
2023-12-09,轻度污染,126,319,95,123,9,49,1.17,12
2023-12-10,轻度污染,137,328,104,135,10,49,1.22,15
2023-12-11,良,98,326,73,94,8,36,0.98,17
2023-12-12,优,37,96,25,36,7,25,0.87,14
2023-12-13,优,38,81,26,38,8,29,0.84,18
2023-12-14,良,62,248,44,64,9,32,0.84,24
2023-12-15,优,40,164,23,40,7,20,0.63,26
2023-12-16,优,48,254,23,50,6,20,0.51,33
2023-12-17,优,50,251,28,51,6,22,0.53,29
2023-12-18,良,52,199,34,56,7,24,0.60,27
2023-12-19,良,62,179,45,65,7,33,0.74,14
2023-12-20,良,65,232,47,64,8,35,0.75,18
2023-12-21,良,69,265,50,69,9,35,0.71,18
2023-12-22,良,75,269,55,72,8,34,0.78,20
2023-12-23,良,84,256,62,80,8,38,0.77,26
2023-12-24,良,96,258,72,91,9,43,0.83,30
2023-12-25,轻度污染,105,266,78,102,9,49,0.92,22
2023-12-26,轻度污染,129,277,98,122,10,49,0.98,26
2023-12-27,轻度污染,140,260,106,131,9,52,1.10,23
2023-12-28,中度污染,178,267,135,165,11,57,1.28,8
2023-12-29,中度污染,193,253,145,171,9,47,1.14,13
2023-12-30,中度污染,154,214,117,143,8,41,1.18,21
2023-12-31,轻度污染,136,256,103,127,7,39,1.14,15
