日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2023-01-01,优,39,71,26,38,5,22,0.73,56
2023-01-02,优,41,78,27,41,6,20,0.79,52
2023-01-03,优,47,90,32,44,5,20,0.80,54
2023-01-04,优,50,82,35,49,6,29,0.80,40
2023-01-05,优,50,71,33,52,6,41,0.88,38
2023-01-06,优,46,59,29,47,6,33,0.79,52
2023-01-07,优,46,45,31,48,6,33,0.80,70
2023-01-08,良,56,67,37,61,6,49,0.83,30
2023-01-09,优,25,21,14,18,5,30,0.77,25
2023-01-10,优,13,2,6,9,4,26,0.71,23
2023-01-11,优,19,12,13,17,4,29,0.71,14
2023-01-12,优,32,58,21,30,5,37,0.83,9
2023-01-13,优,22,17,13,22,4,35,0.66,15
2023-01-14,优,25,76,14,24,5,26,0.65,27
2023-01-15,优,14,15,7,14,4,16,0.89,24
2023-01-16,优,15,15,10,15,4,11,0.70,38
2023-01-17,优,35,42,21,35,4,11,0.60,45
2023-01-18,优,39,46,23,39,5,11,0.60,59
2023-01-19,优,42,43,27,42,5,17,0.67,58
2023-01-20,优,41,69,28,41,5,14,0.68,63
2023-01-21,良,52,57,36,51,6,15,0.72,69
2023-01-22,良,82,106,60,73,9,14,0.70,59
2023-01-23,良,93,229,69,82,6,14,0.77,40
2023-01-24,优,42,120,28,46,5,6,0.61,61
2023-01-25,良,65,211,45,80,5,8,0.58,73
2023-01-26,良,56,85,39,59,5,13,0.63,55
2023-01-27,优,50,99,31,53,5,8,0.62,69
2023-01-28,良,57,152,29,64,6,9,0.48,87
2023-01-29,良,52,90,28,54,5,14,0.52,83
2023-01-30,优,50,75,32,53,5,29,0.61,66
2023-01-31,良,54,72,35,57,6,38,0.70,69
2023-02-01,优,46,54,24,47,5,37,0.66,55
2023-02-02,优,47,117,26,47,6,33,0.67,62
2023-02-03,良,59,142,38,67,5,31,0.70,61
2023-02-04,良,57,121,40,57,5,33,0.80,38
2023-02-05,优,39,62,27,35,5,28,0.97,11
2023-02-06,优,42,84,29,39,4,32,0.97,9
2023-02-07,良,52,111,32,54,5,42,1.06,12
2023-02-08,优,32,70,18,32,5,35,0.88,23
2023-02-09,优,38,119,21,38,5,41,0.71,34
2023-02-10,优,39,91,22,39,5,38,0.92,12
2023-02-11,优,30,56,15,30,5,27,0.80,34
2023-02-12,优,25,52,12,25,5,23,0.57,40
2023-02-13,优,26,83,12,26,5,30,0.65,17
2023-02-14,优,17,11,7,17,5,17,0.83,32
2023-02-15,优,27,23,17,27,5,16,0.73,67
2023-02-16,优,42,54,28,43,5,28,0.66,67
2023-02-17,良,61,116,41,72,6,55,0.82,60
2023-02-18,良,71,155,43,78,6,62,0.85,76
2023-02-19,良,63,190,41,75,7,46,0.82,62
2023-02-20,优,50,99,34,51,6,23,0.80,93
2023-02-21,良,67,245,47,73,7,32,0.78,96
2023-02-22,良,60,203,34,70,7,41,0.63,88
2023-02-23,良,72,207,44,84,7,60,0.69,89
2023-02-24,良,75,248,54,95,9,57,0.81,67
2023-02-25,优,41,77,28,40,5,17,0.68,69
2023-02-26,良,53,115,37,52,6,23,0.69,83
2023-02-27,良,68,170,49,77,7,48,0.72,77
2023-02-28,良,63,120,35,71,8,54,0.68,85
2023-03-01,良,82,211,50,93,7,70,0.82,93
2023-03-01,良,82,213,50,93,7,70,0.82,93
2023-03-02,良,68,156,49,79,7,40,0.79,102
2023-03-03,良,85,241,60,104,7,48,0.83,116
2023-03-04,良,71,172,50,86,8,44,0.83,93
2023-03-05,良,73,176,45,79,7,47,0.77,100
2023-03-06,良,68,156,34,73,7,45,0.66,112
2023-03-07,良,59,99,29,68,7,56,0.62,77
2023-03-08,良,61,124,33,72,6,58,0.65,57
2023-03-09,良,67,152,42,83,7,57,0.77,59
2023-03-10,良,72,185,39,74,7,43,0.67,109
2023-03-11,良,58,134,32,65,6,45,0.62,79
2023-03-12,良,56,132,31,63,5,32,0.65,62
2023-03-13,良,84,250,31,119,7,21,0.56,97
2023-03-14,良,87,250,46,124,7,48,0.71,73
2023-03-15,良,62,111,35,74,5,39,0.70,88
2023-03-16,良,71,211,38,77,7,46,0.77,97
2023-03-17,良,57,261,30,64,6,44,0.68,75
2023-03-18,良,67,261,42,75,6,40,0.76,83
2023-03-19,优,41,118,21,41,5,24,0.63,71
2023-03-20,优,40,108,19,40,5,28,0.65,59
2023-03-21,优,37,80,17,37,4,31,0.60,28
2023-03-22,优,44,103,22,44,5,31,0.64,19
2023-03-23,优,43,112,22,43,5,27,0.60,29
2023-03-24,优,29,72,16,29,5,29,0.61,22
2023-03-25,优,30,70,19,30,5,33,0.78,12
2023-03-26,优,12,7,5,9,4,21,0.80,26
2023-03-27,优,14,8,8,12,4,24,0.77,26
2023-03-28,优,21,13,12,20,5,28,0.79,14
2023-03-29,优,19,14,11,18,4,33,0.89,8
2023-03-30,优,18,4,12,17,4,32,1.01,6
2023-03-31,优,17,3,10,15,4,31,0.93,7
2023-04-01,优,31,27,21,30,4,38,0.90,21
2023-04-02,优,38,42,24,38,5,40,0.80,29
2023-04-03,优,36,121,19,36,5,30,0.69,56
2023-04-04,优,32,144,18,32,4,28,0.68,43
2023-04-05,优,28,63,17,28,4,26,0.72,24
2023-04-06,优,27,39,15,27,4,23,0.72,24
2023-04-07,优,26,26,9,19,5,17,0.65,71
2023-04-08,良,62,191,31,75,6,22,0.58,79
2023-04-09,良,62,118,38,74,6,35,0.67,58
2023-04-10,良,57,87,32,63,5,47,0.70,53
2023-04-11,良,52,77,24,54,5,43,0.72,43
2023-04-12,良,55,83,30,61,5,45,0.80,60
2023-04-13,优,49,76,28,52,5,34,0.68,66
2023-04-14,良,61,146,34,72,5,47,0.71,31
2023-04-15,优,50,67,30,56,6,33,0.82,57
2023-04-16,良,68,155,30,60,6,38,0.82,102
2023-04-17,良,51,56,31,52,5,24,0.74,101
2023-04-18,优,42,68,23,42,5,26,0.69,47
2023-04-19,优,36,77,20,33,5,33,0.79,50
2023-04-20,良,59,156,29,49,6,42,0.91,87
2023-04-21,优,29,31,15,29,5,32,0.80,59
2023-04-22,优,36,128,21,36,5,25,0.64,67
2023-04-23,优,41,202,22,41,5,22,0.60,59
2023-04-24,优,34,148,18,33,5,31,0.71,24
2023-04-25,优,19,21,10,19,5,24,0.78,18
2023-04-26,优,26,29,10,21,5,25,0.68,59
2023-04-27,优,43,89,24,44,6,37,0.77,73
2023-04-28,优,40,64,20,39,5,30,0.69,76
2023-04-29,优,31,33,13,29,5,27,0.69,47
2023-04-30,优,43,94,17,44,6,19,0.61,90
2023-05-01,良,59,139,31,67,6,29,0.72,68
2023-05-02,优,46,88,19,47,6,22,0.61,106
2023-05-03,优,36,88,16,36,5,23,0.56,52
2023-05-04,优,29,119,12,28,5,17,0.55,52
2023-05-05,优,29,111,13,29,5,19,0.50,44
2023-05-06,优,30,110,13,30,5,23,0.53,32
2023-05-07,优,23,45,10,22,5,21,0.68,31
2023-05-08,优,29,72,19,29,5,21,0.66,55
2023-05-09,优,44,163,30,45,6,29,0.69,59
2023-05-10,优,48,200,23,48,6,32,0.63,85
2023-05-11,优,41,116,20,41,5,34,0.62,61
2023-05-12,优,21,18,12,20,4,29,0.79,32
2023-05-13,优,38,79,24,38,5,37,0.88,32
2023-05-14,优,49,113,33,48,6,39,0.86,44
2023-05-15,良,66,231,33,54,6,36,0.74,102
2023-05-16,优,42,97,23,39,5,25,0.70,87
2023-05-17,优,25,25,11,25,5,23,0.62,57
2023-05-18,优,50,232,29,49,5,26,0.68,81
2023-05-19,优,40,105,24,40,5,25,0.72,82
2023-05-20,优,44,96,25,44,4,18,0.61,58
2023-05-21,优,35,64,18,35,4,14,0.59,55
2023-05-22,优,37,138,19,38,4,16,0.61,64
2023-05-23,优,28,28,15,26,5,19,0.75,54
2023-05-24,优,30,21,17,29,4,31,0.69,50
2023-05-25,优,40,91,23,39,5,28,0.69,60
2023-05-26,优,29,43,12,28,4,19,0.53,45
2023-05-27,优,36,168,18,35,4,20,0.52,61
2023-05-28,优,42,235,19,37,5,20,0.60,79
2023-05-29,良,62,313,27,51,5,26,0.64,104
2023-05-30,良,60,293,36,61,6,35,0.75,92
2023-05-31,优,50,231,30,50,6,26,0.70,92
2023-06-01,良,51,0,28,46,5,26,0.76,106
2023-06-02,良,66,0,32,51,6,24,0.73,120
2023-06-03,优,46,0,18,32,5,17,0.62,104
2023-06-04,优,26,0,14,25,5,17,0.60,67
2023-06-05,优,28,0,13,27,5,21,0.62,49
2023-06-06,优,25,0,11,24,5,24,0.62,33
2023-06-07,优,21,0,10,21,5,24,0.66,33
2023-06-08,优,19,0,9,18,5,25,0.66,28
2023-06-09,优,23,0,10,19,5,22,0.67,48
2023-06-10,优,26,0,12,20,4,19,0.66,71
2023-06-11,优,30,0,14,27,5,18,0.66,71
2023-06-12,优,35,0,17,31,5,21,0.67,84
2023-06-13,优,43,0,24,39,5,22,0.76,100
2023-06-14,优,32,0,20,26,5,21,0.81,74
2023-06-15,优,27,0,16,25,5,16,0.78,72
2023-06-16,优,23,0,12,22,5,24,0.74,47
2023-06-17,优,16,0,8,15,5,23,0.65,36
2023-06-18,优,21,0,11,21,5,26,0.70,17
2023-06-19,优,21,0,10,20,5,22,0.68,33
2023-06-20,优,30,0,14,28,5,19,0.66,51
2023-06-21,优,28,0,12,26,5,17,0.61,61
2023-06-22,优,25,0,11,23,5,12,0.60,55
2023-06-23,优,21,0,9,21,5,19,0.65,36
2023-06-24,优,23,0,11,23,5,24,0.69,25
2023-06-25,优,23,0,12,22,4,20,0.67,28
2023-06-26,优,29,0,14,25,5,24,0.69,46
2023-06-27,优,30,0,13,26,5,25,0.64,56
2023-06-28,优,23,0,9,21,5,23,0.62,36
2023-06-29,优,40,0,15,30,5,22,0.63,75
2023-06-30,优,28,0,15,27,5,18,0.60,59
2023-07-01,优,23,0,11,22,5,19,0.62,45
2023-07-02,优,18,0,10,18,5,22,0.60,33
2023-07-03,优,17,0,7,15,4,19,0.60,41
2023-07-04,优,21,0,9,20,5,25,0.64,30
2023-07-05,优,28,0,12,26,5,20,0.64,48
2023-07-06,优,23,0,10,21,5,13,0.56,46
2023-07-07,优,24,0,12,24,5,13,0.53,43
2023-07-08,优,27,0,12,24,5,15,0.57,51
2023-07-09,优,24,0,8,21,5,14,0.57,48
2023-07-10,优,26,0,9,23,6,15,0.58,58
2023-07-11,优,26,0,9,22,5,15,0.54,59
2023-07-12,优,26,0,10,23,6,15,0.58,63
2023-07-13,优,29,0,12,24,5,17,0.57,70
2023-07-14,优,46,0,16,32,6,22,0.60,93
2023-07-15,良,62,0,31,54,7,30,0.68,105
2023-07-16,优,27,0,15,27,5,16,0.64,60
2023-07-17,优,15,0,6,13,5,9,0.58,45
2023-07-18,优,20,0,11,19,5,16,0.68,47
2023-07-19,优,22,0,11,20,5,21,0.67,42
2023-07-20,优,23,0,9,19,5,18,0.61,47
2023-07-21,优,38,0,16,32,5,22,0.66,72
2023-07-22,优,30,0,13,28,6,22,0.60,57
2023-07-23,优,29,0,11,24,6,18,0.57,63
2023-07-24,优,25,0,9,21,5,17,0.53,59
2023-07-25,优,36,0,13,27,6,20,0.57,77
2023-07-26,优,49,0,27,44,6,22,0.60,99
2023-07-27,优,30,0,15,28,7,15,0.55,63
2023-07-28,优,29,0,12,25,7,16,0.56,65
2023-07-29,优,33,0,17,33,5,22,0.64,75
2023-07-30,优,20,0,10,19,5,18,0.59,47
2023-07-31,优,28,0,12,26,5,20,0.56,53
2023-08-01,优,26,0,11,23,6,20,0.53,53
2023-08-02,优,43,0,20,33,6,21,0.57,91
2023-08-03,良,56,0,22,39,6,25,0.61,103
2023-08-04,优,27,0,10,23,6,17,0.60,66
2023-08-05,优,30,0,12,27,6,14,0.59,64
2023-08-06,优,32,0,14,31,6,13,0.60,65
2023-08-07,优,33,0,15,31,5,17,0.63,62
2023-08-08,优,28,0,12,27,6,19,0.62,59
2023-08-09,优,36,0,17,34,6,21,0.68,61
2023-08-10,优,35,0,18,35,5,28,0.73,38
2023-08-11,优,30,0,10,21,5,22,0.65,84
2023-08-12,优,30,0,16,28,5,22,0.68,61
2023-08-13,优,29,0,14,26,5,18,0.65,66
2023-08-14,优,32,0,17,32,5,20,0.65,62
2023-08-15,优,28,0,15,28,5,23,0.65,43
2023-08-16,优,40,0,22,40,5,22,0.67,62
2023-08-17,优,39,0,22,40,5,29,0.73,31
2023-08-18,优,46,0,29,47,5,36,0.85,43
2023-08-19,良,56,0,27,44,5,29,0.83,96
2023-08-20,优,25,0,13,25,5,21,0.68,49
2023-08-21,优,25,0,11,23,5,25,0.61,40
2023-08-22,优,28,0,13,25,5,23,0.63,56
2023-08-23,优,27,0,13,27,5,25,0.63,37
2023-08-24,优,22,0,12,21,5,26,0.68,34
2023-08-25,优,27,0,14,26,5,31,0.73,35
2023-08-26,优,32,0,17,32,5,32,0.73,37
2023-08-27,优,26,0,12,24,5,19,0.62,52
2023-08-28,优,24,0,11,21,5,20,0.64,54
2023-08-29,优,21,0,12,20,5,19,0.78,47
2023-08-30,优,23,0,13,21,6,13,0.76,62
2023-08-31,优,22,0,10,18,6,13,0.71,64
2023-09-01,优,23,0,13,23,6,12,0.70,54
2023-09-02,优,18,0,12,17,5,11,0.64,41
2023-09-03,优,22,0,13,20,5,14,0.65,47
2023-09-04,优,33,0,21,32,6,18,0.68,58
2023-09-05,优,35,0,22,35,7,19,0.68,58
2023-09-06,优,28,0,16,27,6,22,0.70,38
2023-09-07,优,12,0,5,9,5,23,0.67,20
2023-09-08,优,17,0,9,13,5,18,0.66,40
2023-09-09,优,22,0,12,19,5,23,0.67,36
2023-09-10,优,18,0,10,16,5,22,0.64,36
2023-09-11,优,19,0,10,18,5,24,0.63,26
2023-09-12,优,24,0,11,21,6,24,0.62,39
2023-09-13,优,23,0,12,22,5,27,0.68,34
2023-09-14,优,19,0,10,19,5,26,0.76,18
2023-09-15,优,14,0,6,12,5,25,0.64,19
2023-09-16,优,22,0,10,18,5,22,0.60,48
2023-09-17,优,26,0,12,24,5,23,0.59,48
2023-09-18,优,32,0,14,28,5,25,0.58,53
2023-09-19,优,37,0,16,33,5,27,0.60,61
2023-09-20,优,39,0,17,34,5,25,0.59,71
2023-09-21,良,55,0,23,43,6,28,0.67,92
2023-09-22,优,48,0,27,47,6,33,0.71,77
2023-09-23,良,54,0,30,49,5,34,0.75,82
2023-09-24,优,32,0,14,29,5,23,0.60,61
2023-09-25,优,29,0,13,26,5,20,0.57,60
2023-09-26,优,34,0,16,31,5,27,0.58,64
2023-09-27,优,42,0,22,40,5,28,0.64,72
2023-09-28,优,43,0,27,43,5,31,0.70,72
2023-09-29,优,35,0,19,32,5,22,0.63,70
2023-09-30,优,33,0,20,31,5,16,0.62,69
2023-10-01,优,41,0,26,41,5,19,0.70,77
2023-10-02,优,27,0,13,22,4,16,0.70,74
2023-10-03,优,44,0,27,41,5,22,0.78,87
2023-10-04,优,48,0,32,48,5,24,0.80,68
2023-10-05,优,30,0,18,28,5,13,0.71,70
2023-10-06,优,33,0,16,30,5,13,0.59,98
2023-10-07,优,19,0,8,15,5,14,0.60,61
2023-10-08,优,16,0,7,14,5,14,0.62,48
2023-10-09,优,13,0,7,11,5,16,0.63,35
2023-10-10,优,14,12,6,12,5,17,0.64,36
2023-10-11,优,20,28,10,17,5,18,0.62,54
2023-10-12,优,33,108,20,31,5,21,0.63,66
2023-10-13,优,33,98,19,31,5,17,0.61,72
2023-10-14,优,47,168,32,47,6,22,0.69,83
2023-10-15,优,50,176,35,49,6,22,0.73,87
2023-10-16,优,46,138,29,45,6,26,0.65,87
2023-10-17,优,48,121,30,48,6,30,0.64,85
2023-10-18,优,42,118,28,40,5,26,0.69,73
2023-10-19,优,42,192,29,39,5,33,0.79,45
2023-10-20,优,24,69,14,24,5,25,0.73,27
2023-11-01,良,53,157,29,52,5,43,0.66,75
2023-11-02,良,64,207,34,62,6,47,0.69,87
2023-11-03,良,67,231,39,70,5,53,0.74,79
2023-11-04,良,63,213,34,60,5,42,0.70,83
2023-11-05,优,43,160,21,42,5,34,0.62,61
2023-11-06,优,43,198,23,44,6,33,0.66,55
2023-11-07,优,38,110,17,39,7,29,0.60,82
2023-11-08,良,61,231,39,72,7,47,0.79,50
2023-11-09,良,54,183,30,59,6,37,0.74,56
2023-11-10,良,54,264,30,58,5,43,0.75,41
2023-11-11,优,19,39,11,19,5,26,0.73,15
2023-11-12,优,16,26,6,13,5,15,0.66,38
2023-11-13,优,18,29,8,17,5,18,0.57,38
2023-11-14,优,26,54,16,26,6,22,0.63,40
2023-11-15,优,37,88,23,37,6,31,0.69,40
2023-11-16,优,31,66,15,31,6,28,0.71,36
2023-11-17,良,52,170,20,57,6,24,0.50,65
2023-11-18,良,57,171,23,65,6,33,0.48,58
2023-11-19,良,60,165,29,70,6,46,0.60,54
2023-11-20,良,69,197,41,88,7,61,0.76,52
2023-11-21,良,65,154,40,81,6,60,0.77,60
2023-11-22,良,66,149,40,76,6,62,0.76,69
2023-11-23,良,81,228,51,92,6,66,0.85,82
2023-11-24,良,58,193,37,65,6,47,0.68,77
2023-11-25,良,70,262,49,90,6,43,0.79,86
2023-11-26,良,63,162,42,75,6,45,0.81,63
2023-11-27,良,70,175,50,79,7,46,0.86,62
2023-11-28,良,57,148,38,64,7,40,0.70,82
2023-11-29,良,65,204,46,79,6,58,0.80,42
2023-11-30,优,49,191,33,53,6,32,0.79,50
2023-12-01,优,49,171,32,52,6,21,0.74,64
2023-12-02,优,46,108,26,47,7,29,0.67,63
2023-12-03,优,50,107,31,52,8,34,0.73,48
2023-12-04,优,46,98,29,46,7,35,0.77,25
2023-12-05,优,36,64,20,37,7,35,0.85,28
2023-12-06,优,40,68,23,40,7,38,0.86,18
2023-12-07,优,41,77,21,43,7,44,0.64,41
2023-12-08,良,63,156,38,76,8,64,0.76,55
2023-12-09,良,63,179,39,76,7,64,0.79,49
2023-12-10,优,47,133,23,48,6,39,0.68,54
2023-12-11,良,53,254,30,58,5,50,0.76,47
2023-12-12,优,45,140,26,49,6,36,0.82,36
2023-12-13,优,43,108,25,46,6,38,0.80,16
2023-12-14,良,60,237,40,70,7,55,0.97,25
2023-12-15,良,61,278,38,72,6,60,0.91,43
2023-12-16,优,23,50,8,23,5,21,0.81,26
2023-12-17,优,30,94,19,30,5,17,0.68,36
