日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2023-01-01,优,28,24,19,25,7,17,0.48,33
2023-01-02,优,26,31,18,24,7,15,0.54,26
2023-01-03,优,36,58,24,34,8,18,0.51,28
2023-01-04,良,72,153,53,66,9,27,0.73,18
2023-01-05,优,45,54,31,39,10,23,0.75,18
2023-01-06,优,49,66,32,49,12,23,0.67,49
2023-01-07,良,82,139,57,93,26,41,1.05,30
2023-01-08,良,79,146,55,92,32,41,1.08,38
2023-01-09,良,89,199,66,94,24,43,1.14,45
2023-01-10,良,81,202,59,81,17,36,0.89,53
2023-01-11,良,65,128,46,64,13,25,0.66,62
2023-01-12,优,39,87,25,37,8,14,0.40,64
2023-01-13,优,43,105,28,41,8,13,0.46,73
2023-01-14,良,73,282,54,66,8,15,0.73,70
2023-01-15,优,16,29,9,15,5,10,0.45,36
2023-01-16,优,40,82,20,42,7,8,0.43,54
2023-01-17,优,40,54,23,40,7,10,0.42,50
2023-01-18,优,48,78,33,45,10,14,0.54,46
2023-01-19,优,50,73,32,52,11,13,0.51,50
2023-01-20,良,61,150,43,65,9,14,0.52,47
2023-01-21,良,71,127,52,69,8,13,0.56,41
2023-01-22,良,55,46,39,46,8,10,0.61,26
2023-01-23,优,47,97,33,40,8,9,0.54,37
2023-01-24,良,61,216,42,70,9,9,0.50,83
2023-01-25,良,67,228,44,81,11,10,0.55,79
2023-01-26,良,74,191,51,92,11,10,0.55,69
2023-01-27,良,74,227,46,86,10,8,0.47,69
2023-01-28,良,54,115,26,57,15,12,0.42,78
2023-01-29,良,71,217,50,77,25,27,0.75,53
2023-01-30,良,87,236,63,88,24,35,0.91,55
2023-01-31,轻度污染,102,239,76,100,16,28,0.83,90
2023-02-01,轻度污染,117,255,88,114,19,38,0.95,89
2023-02-02,优,50,143,36,46,8,18,0.68,59
2023-02-03,优,38,45,26,33,7,24,0.81,29
2023-02-04,优,31,43,21,27,12,14,0.74,27
2023-02-05,优,34,52,23,32,9,14,0.75,26
2023-02-06,优,34,55,23,31,11,17,0.77,34
2023-02-07,优,32,54,21,30,6,14,0.67,42
2023-02-08,优,17,7,10,16,7,16,0.74,23
2023-02-09,优,27,43,18,25,8,16,0.78,36
2023-02-10,优,33,65,21,33,9,21,0.83,19
2023-02-11,优,38,103,25,39,10,23,0.73,37
2023-02-12,优,44,157,29,43,12,16,0.78,23
2023-02-13,优,22,49,12,22,6,10,0.65,31
2023-02-14,优,27,67,16,25,9,13,0.61,49
2023-02-15,优,44,120,30,41,9,15,0.64,62
2023-02-16,良,56,125,39,56,7,22,0.77,43
2023-02-17,良,56,100,39,50,6,24,0.76,40
2023-02-18,优,41,40,28,37,7,19,0.76,46
2023-02-19,优,46,88,32,44,11,18,0.76,58
2023-02-20,良,60,157,42,60,12,24,0.69,54
2023-02-21,优,47,107,33,44,5,17,0.53,69
2023-02-22,优,20,8,11,17,7,19,0.57,50
2023-02-23,优,20,7,12,18,7,21,0.65,28
2023-02-24,优,29,31,19,28,8,19,0.63,44
2023-02-25,优,46,106,30,46,9,20,0.56,59
2023-02-26,良,58,152,40,58,9,20,0.49,88
2023-02-27,良,59,115,41,62,10,27,0.54,72
2023-02-28,良,76,184,56,79,13,26,0.65,95
2023-03-01,良,89,232,66,77,9,19,0.63,76
2023-03-01,良,89,231,66,77,9,19,0.63,76
2023-03-02,良,62,114,44,58,8,23,0.60,66
2023-03-03,优,38,36,25,35,8,24,0.69,57
