日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2023-01-01,优,40,72,27,36,14,22,0.66,40
2023-01-02,优,50,114,34,46,13,27,0.74,38
2023-01-03,良,70,167,50,66,18,39,0.83,31
2023-01-04,轻度污染,126,262,96,114,22,53,1.07,28
2023-01-05,轻度污染,142,240,108,133,32,61,1.19,28
2023-01-06,严重污染,291,337,241,274,28,85,2.23,17
2023-01-07,严重污染,287,337,237,266,30,75,1.83,30
2023-01-08,中度污染,153,296,119,160,32,57,1.18,33
2023-01-09,轻度污染,118,254,89,102,27,42,0.91,37
2023-01-10,良,73,184,51,77,23,40,0.79,38
2023-01-11,良,76,158,54,83,21,42,0.86,37
2023-01-12,良,73,163,53,72,20,34,0.71,52
2023-01-13,良,56,151,37,51,12,14,0.63,59
2023-01-14,优,29,106,14,25,11,16,0.60,57
2023-01-15,良,62,287,44,57,14,35,0.82,38
2023-01-16,良,63,244,44,60,16,32,0.85,35
2023-01-17,良,74,215,51,72,20,33,0.87,32
2023-01-18,良,53,94,32,55,19,24,0.75,40
2023-01-19,良,78,176,49,85,21,25,0.78,40
2023-01-20,良,67,171,48,63,19,22,0.75,44
2023-01-21,良,89,191,65,91,22,25,0.90,36
2023-01-22,轻度污染,135,198,102,116,22,22,0.80,40
2023-01-23,优,42,73,28,33,16,12,0.64,50
2023-01-24,优,48,160,32,42,14,16,0.73,51
2023-01-25,良,55,141,37,55,19,23,0.70,44
2023-01-26,良,90,261,65,87,23,33,0.86,42
2023-01-27,轻度污染,115,319,86,102,24,41,1.06,37
2023-01-28,良,96,315,71,91,28,42,1.00,33
2023-01-29,轻度污染,111,320,83,102,28,45,1.01,37
2023-01-30,中度污染,161,331,123,142,25,58,1.28,35
2023-01-31,重度污染,209,332,164,197,26,67,1.55,34
2023-02-01,中度污染,155,310,117,135,24,48,1.09,49
2023-02-02,良,51,147,34,48,16,28,0.67,49
2023-02-03,轻度污染,104,308,78,103,26,50,1.04,35
2023-02-04,轻度污染,140,314,106,129,21,44,1.10,44
2023-02-05,良,97,205,71,98,21,30,0.71,56
2023-02-06,重度污染,209,317,165,184,20,50,1.07,44
2023-02-07,良,96,227,70,94,20,45,0.90,39
2023-02-08,良,83,213,60,84,20,44,0.96,35
2023-02-09,良,73,248,51,75,20,44,0.97,40
2023-02-10,良,71,212,51,58,14,29,0.75,57
2023-02-11,轻度污染,110,292,83,93,12,34,0.96,57
2023-02-12,良,88,289,65,75,19,37,0.81,64
2023-02-13,轻度污染,114,333,84,102,16,46,1.00,49
2023-02-14,优,40,178,27,38,17,25,0.56,56
2023-02-15,良,71,260,51,69,19,40,0.86,43
2023-02-16,良,67,169,48,68,24,41,0.85,56
2023-02-17,良,97,241,72,102,14,39,0.83,55
2023-02-18,良,51,78,35,49,15,31,0.58,60
2023-02-19,良,52,128,35,52,16,30,0.62,59
2023-02-20,优,46,89,30,45,19,25,0.59,61
2023-02-21,良,51,136,35,49,15,34,0.67,48
2023-02-22,良,66,230,45,72,17,33,0.70,53
2023-02-23,良,75,224,55,74,19,45,0.80,52
2023-02-24,优,41,85,27,37,14,24,0.54,62
2023-02-25,优,44,92,28,43,13,31,0.62,53
2023-02-26,良,54,116,35,60,14,29,0.61,55
2023-02-27,重度污染,231,337,64,339,13,29,0.80,77
2023-02-28,良,81,206,42,115,9,21,0.60,76
2023-03-01,良,53,88,37,53,13,38,0.74,44
2023-03-01,良,53,92,37,53,13,38,0.74,44
