日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2023-01-01,优,44,90,26,45,15,32,0.67,31
2023-01-02,优,39,70,22,42,16,33,0.67,31
2023-01-03,良,65,156,46,75,22,51,1.21,20
2023-01-04,良,100,219,75,112,24,60,1.72,15
2023-01-05,轻度污染,127,227,96,143,31,63,2.17,13
2023-01-06,轻度污染,149,234,113,146,22,62,1.88,14
2023-01-07,轻度污染,136,282,103,129,17,54,1.33,16
2023-01-08,良,100,216,67,112,20,47,1.55,25
2023-01-09,优,38,57,19,38,13,35,0.60,38
2023-01-10,良,69,171,45,79,22,47,1.45,25
2023-01-11,良,67,136,42,82,18,34,1.01,47
2023-01-12,优,48,114,32,50,15,25,0.85,54
2023-01-13,优,50,133,31,49,10,24,0.74,39
2023-01-14,优,33,135,11,33,7,8,0.41,59
2023-01-15,优,37,164,23,37,13,28,0.62,36
2023-01-16,良,61,234,44,63,16,42,1.12,24
2023-01-17,良,64,171,36,77,19,39,1.23,28
2023-01-18,良,75,184,37,101,15,31,0.98,34
2023-01-19,良,100,254,44,149,14,23,0.90,43
2023-01-20,优,43,81,14,44,9,10,0.44,50
2023-01-21,良,59,81,32,65,17,25,1.07,40
2023-01-22,中度污染,191,274,148,193,15,21,1.02,26
2023-01-23,优,45,89,26,45,9,8,0.53,49
2023-01-24,优,35,70,12,37,9,10,0.47,55
2023-01-25,良,64,203,32,78,19,28,1.20,38
2023-01-26,良,53,69,32,58,12,23,0.72,41
2023-01-27,良,60,152,42,64,12,30,0.76,33
2023-01-28,优,50,75,30,55,18,33,0.83,32
2023-01-29,优,49,65,23,53,15,28,0.72,39
2023-01-30,优,42,31,26,44,16,37,0.82,34
2023-01-31,良,69,143,46,80,19,42,1.09,35
2023-02-01,良,68,135,22,83,10,20,0.49,50
2023-02-02,优,49,137,24,51,14,29,0.53,42
2023-02-03,良,86,287,63,95,21,50,1.33,25
2023-02-04,良,75,192,55,75,18,43,0.81,41
2023-02-05,良,86,176,62,101,20,40,1.15,43
2023-02-06,良,69,154,50,72,13,35,0.67,40
2023-02-07,良,67,170,46,71,16,45,0.93,28
2023-02-08,良,63,156,44,68,14,48,0.86,29
2023-02-09,轻度污染,109,295,82,122,23,62,1.50,21
2023-02-10,轻度污染,123,305,92,118,15,47,1.30,34
2023-02-11,中度污染,163,324,123,156,15,48,1.61,35
2023-02-12,轻度污染,116,320,87,106,10,30,0.87,52
2023-02-13,优,42,181,29,41,13,31,0.59,48
2023-02-14,优,42,184,24,43,12,25,0.57,48
2023-02-15,优,40,92,25,42,12,31,0.64,43
2023-02-16,良,97,288,70,122,25,50,1.48,35
2023-02-17,轻度污染,147,310,111,147,18,43,1.26,50
2023-02-18,良,94,226,68,90,12,32,0.84,51
2023-02-19,良,53,135,24,59,10,25,0.59,53
2023-02-20,优,39,53,14,39,9,19,0.46,59
2023-02-21,优,46,100,24,47,14,35,0.66,37
2023-02-22,良,58,190,35,65,19,36,1.07,45
2023-02-23,良,62,157,43,65,15,33,0.85,50
2023-02-24,优,34,56,18,35,10,21,0.45,56
2023-02-25,优,49,127,32,54,14,40,0.70,36
2023-02-26,良,69,204,49,75,27,43,1.45,45
2023-02-27,轻度污染,121,302,64,164,19,31,1.01,81
2023-02-28,良,66,134,38,82,11,22,0.68,71
2023-03-01,良,52,84,16,59,10,24,0.50,56
2023-03-01,良,52,81,16,59,10,24,0.50,56
2023-03-02,良,65,138,22,79,15,27,0.73,56
2023-03-03,良,72,177,47,90,22,51,1.15,43
2023-03-04,轻度污染,122,308,92,141,23,61,1.49,55
2023-03-05,轻度污染,125,308,94,141,21,46,1.25,80
2023-03-06,轻度污染,101,285,75,113,19,38,1.02,87
2023-03-07,良,96,268,70,110,20,43,1.21,68
2023-03-08,良,64,144,43,72,11,32,0.70,60
2023-03-09,良,96,268,69,123,21,52,1.28,55
2023-03-10,良,90,256,56,130,17,33,1.08,95
2023-03-11,良,81,217,16,112,8,15,0.42,69
2023-03-12,优,38,53,13,39,8,16,0.43,64
2023-03-13,良,56,98,24,64,21,38,0.87,41
2023-03-14,良,74,204,40,97,14,31,0.84,63
2023-03-15,良,66,139,14,82,8,15,0.40,65
2023-03-16,优,46,88,20,49,11,24,0.45,57
2023-03-17,良,61,276,39,71,24,42,0.99,47
2023-03-18,良,69,269,48,83,24,47,1.04,51
2023-03-19,良,87,290,61,110,26,43,1.30,71
2023-03-20,轻度污染,107,304,80,127,23,34,1.06,97
2023-03-21,良,86,222,63,102,21,28,0.92,112
2023-03-22,中度污染,194,244,64,246,14,36,0.91,61
2023-03-23,中度污染,178,244,32,247,8,17,0.44,70
2023-03-24,优,48,144,14,52,8,20,0.41,63
2023-03-25,良,52,174,30,59,12,37,0.66,51
2023-03-26,优,42,110,20,42,10,34,0.52,56
2023-03-27,良,75,214,51,97,22,51,1.11,54
2023-03-28,良,74,205,49,95,26,39,1.02,79
2023-03-29,良,99,310,71,136,24,34,1.13,107
2023-03-30,轻度污染,111,325,83,143,19,40,1.05,115
2023-03-31,轻度污染,117,327,87,148,24,46,1.46,114
2023-04-01,良,83,280,58,106,26,30,0.98,133
2023-04-02,良,80,273,54,105,27,42,1.11,108
2023-04-03,良,78,305,52,98,25,42,1.07,85
2023-04-04,轻度污染,138,322,97,168,10,32,0.83,62
2023-04-05,严重污染,266,325,274,315,10,47,1.33,79
2023-04-06,良,59,205,36,66,14,37,0.63,61
2023-04-07,优,39,94,8,39,6,13,0.39,77
2023-04-08,优,42,43,14,41,11,26,0.50,64
2023-04-09,良,88,275,43,125,17,23,0.80,107
2023-04-10,良,79,228,43,109,14,20,0.77,115
2023-04-11,重度污染,223,230,45,346,8,17,0.52,75
2023-04-12,中度污染,197,227,44,299,8,16,0.52,74
2023-04-13,严重污染,359,332,106,468,15,30,0.85,69
2023-04-14,中度污染,152,285,85,251,14,49,0.96,53
2023-04-15,轻度污染,123,267,55,195,10,31,0.77,64
2023-04-16,良,71,187,34,92,8,29,0.53,76
2023-04-17,良,82,252,45,114,22,46,1.05,61
2023-04-18,良,67,202,24,84,10,27,0.53,82
2023-04-19,良,81,241,38,111,21,40,1.10,88
2023-04-20,良,70,193,24,92,8,18,0.45,76
2023-04-21,良,85,299,26,121,7,20,0.38,72
2023-04-22,良,76,316,39,102,11,37,0.78,64
2023-04-23,良,53,270,29,60,8,28,0.50,70
2023-04-24,良,58,315,35,67,12,34,0.81,71
2023-04-25,良,52,255,27,60,15,20,0.77,79
2023-04-26,优,29,53,16,29,9,19,0.50,76
2023-04-27,优,47,140,24,48,17,22,0.72,87
2023-04-28,优,44,101,24,45,14,26,0.76,74
2023-04-29,优,35,57,21,35,9,28,0.67,53
2023-04-30,优,41,86,20,40,12,31,0.74,57
2023-05-01,优,46,86,20,47,17,28,0.74,80
2023-05-02,良,52,134,17,58,14,15,0.54,129
2023-05-03,良,55,240,20,60,17,13,0.57,131
2023-05-04,优,45,270,22,43,16,20,0.60,95
2023-05-05,优,43,254,21,44,8,20,0.53,64
2023-05-06,优,35,165,10,34,7,20,0.43,77
2023-05-07,优,42,241,15,42,8,28,0.45,65
2023-05-08,良,57,316,24,66,18,38,0.73,65
2023-05-09,优,38,125,10,38,8,25,0.38,67
2023-05-10,良,55,272,25,64,22,36,0.77,66
2023-05-11,良,54,241,28,60,14,40,0.86,82
2023-05-12,良,66,287,36,83,20,26,0.83,121
2023-05-13,优,46,130,29,49,13,21,0.85,90
2023-05-14,优,40,68,19,38,15,22,0.81,96
2023-05-15,良,55,149,26,57,16,21,0.80,121
2023-05-16,良,60,200,31,70,13,18,0.80,139
2023-05-17,优,36,116,22,38,6,29,0.62,50
2023-05-18,优,36,94,17,32,6,31,0.67,57
2023-05-19,优,45,156,18,44,13,31,0.84,79
2023-05-20,重度污染,204,316,77,316,8,17,0.49,72
2023-05-21,轻度污染,122,302,37,194,6,18,0.38,62
2023-05-22,良,64,277,25,79,16,43,0.85,50
2023-05-23,良,51,206,21,55,19,41,0.85,69
2023-05-24,良,57,251,19,60,20,25,0.77,121
2023-05-25,良,52,212,19,57,15,16,0.54,124
2023-05-26,良,56,243,23,58,14,18,0.68,119
2023-05-27,优,47,258,21,47,14,20,0.71,91
2023-05-28,良,54,307,27,57,13,33,0.79,94
2023-05-29,优,38,175,15,35,7,40,0.50,61
2023-05-30,优,49,246,19,47,10,46,0.80,72
2023-05-31,良,52,242,20,57,19,44,0.85,81
2023-06-01,优,49,0,21,51,10,20,0.75,108
2023-06-02,优,33,0,11,28,6,25,0.45,67
2023-06-03,优,30,0,8,25,6,31,0.39,60
2023-06-04,优,36,0,12,30,9,29,0.55,74
2023-06-05,优,43,0,17,39,15,26,0.69,96
2023-06-06,优,50,0,23,43,13,21,0.67,115
2023-06-07,优,37,0,18,36,15,20,0.63,105
2023-06-08,优,34,0,15,28,10,25,0.56,65
2023-06-09,优,38,0,16,37,19,36,0.89,65
2023-06-10,优,30,0,14,25,7,25,0.67,69
2023-06-11,优,34,0,17,29,11,27,0.76,70
2023-06-12,优,40,0,20,37,17,33,0.94,68
2023-06-13,优,48,0,25,42,12,35,0.77,84
2023-06-14,良,65,0,28,48,12,38,0.95,107
2023-06-15,良,68,0,21,42,15,30,0.99,137
2023-06-16,良,58,0,17,42,17,25,0.75,136
2023-06-17,良,70,0,27,55,12,21,0.80,154
2023-06-18,良,59,0,20,42,16,27,0.88,129
2023-06-19,良,58,0,30,59,13,34,0.88,115
2023-06-20,优,30,0,12,24,6,18,0.56,91
2023-06-21,优,30,0,12,22,7,21,0.59,76
2023-06-22,优,50,0,20,38,6,30,0.72,93
2023-06-23,优,42,0,14,28,9,30,0.83,98
2023-06-24,优,49,0,16,36,14,20,0.71,129
2023-06-25,优,38,0,13,30,13,17,0.64,110
2023-06-26,优,38,0,17,34,7,22,0.75,96
2023-06-27,良,56,0,22,38,6,16,0.92,122
2023-06-28,优,46,0,21,37,12,18,0.79,125
2023-06-29,优,42,0,24,36,6,24,0.79,86
2023-06-30,良,53,0,23,42,8,29,0.89,94
2023-07-01,优,45,0,16,36,11,26,0.77,114
2023-07-02,良,63,0,25,52,8,30,1.00,108
2023-07-03,优,37,0,14,29,8,16,0.69,99
2023-07-04,优,35,0,16,30,4,21,0.72,72
2023-07-05,优,40,0,12,32,5,13,0.69,109
2023-07-06,良,62,0,27,69,9,17,0.88,141
2023-07-07,优,44,0,17,36,6,12,0.73,134
2023-07-08,优,34,0,15,29,6,18,0.74,86
2023-07-09,优,30,0,12,22,9,15,0.67,94
2023-07-10,优,34,0,14,24,4,16,0.59,84
2023-07-11,优,32,0,15,27,5,19,0.60,68
2023-07-12,良,54,0,32,50,6,28,0.78,86
2023-07-13,优,45,0,29,48,7,26,0.88,58
2023-07-14,优,28,0,12,22,5,16,0.87,69
2023-07-15,优,24,0,7,16,5,13,0.55,70
2023-07-16,优,15,0,4,11,5,17,0.45,41
2023-07-17,优,30,0,11,26,7,25,0.58,57
2023-07-18,良,66,0,27,53,14,30,1.18,104
2023-07-19,良,77,0,35,63,15,26,1.34,137
2023-07-20,良,83,0,42,69,12,25,1.16,160
2023-07-21,良,74,0,43,71,8,30,1.10,122
2023-07-22,优,43,0,27,43,6,21,0.82,68
2023-07-23,优,23,0,7,11,5,13,0.67,70
2023-07-24,优,39,0,17,33,7,20,0.90,90
2023-07-25,优,33,0,18,30,7,18,0.73,82
2023-07-26,优,40,0,19,36,7,23,0.83,79
2023-07-27,优,27,0,12,23,7,13,0.60,73
2023-07-28,优,25,0,10,24,9,14,0.58,48
2023-07-29,优,24,0,11,24,9,15,0.64,32
2023-07-30,优,21,0,9,21,11,17,0.64,18
2023-07-31,优,34,0,16,34,8,21,0.72,51
2023-08-01,优,41,0,23,42,6,21,0.78,46
