日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2023-01-01,轻度污染,113,231,85,133,15,69,1.18,11
2023-01-02,良,93,220,69,110,12,61,1.08,16
2023-01-03,轻度污染,118,259,89,135,16,74,1.46,9
2023-01-04,轻度污染,147,277,111,161,16,76,1.75,12
2023-01-05,重度污染,202,282,158,214,22,86,2.09,14
2023-01-06,轻度污染,124,203,71,153,11,51,0.99,38
2023-01-07,良,99,183,57,143,15,61,0.93,22
2023-01-08,轻度污染,112,242,78,166,18,73,1.32,13
2023-01-09,良,88,195,61,117,12,56,0.92,26
2023-01-10,良,77,198,55,99,14,57,0.94,18
2023-01-11,轻度污染,122,241,91,146,16,71,1.41,9
2023-01-12,中度污染,162,265,123,177,14,68,1.45,4
2023-01-13,中度污染,163,267,123,160,9,47,1.64,15
2023-01-14,优,35,144,18,35,3,12,0.34,57
2023-01-15,优,42,202,18,43,5,18,0.45,55
2023-01-16,良,55,198,28,60,14,34,0.86,40
2023-01-17,良,97,273,39,143,7,26,0.59,48
2023-01-18,轻度污染,103,250,39,155,10,26,0.59,49
2023-01-19,良,95,239,40,139,7,17,0.42,56
2023-01-20,优,50,111,16,54,6,8,0.37,55
2023-01-21,良,77,146,50,91,12,19,0.77,43
2023-01-22,轻度污染,142,204,108,154,17,28,1.06,50
2023-01-23,轻度污染,118,259,84,135,6,16,0.79,52
2023-01-24,优,38,85,11,39,4,5,0.29,67
2023-01-25,良,58,160,35,65,13,18,0.85,45
2023-01-26,良,80,216,58,102,14,31,1.06,32
2023-01-27,优,47,81,26,54,8,20,0.54,48
2023-01-28,优,42,37,13,42,8,17,0.42,56
2023-01-29,良,53,103,20,58,10,22,0.50,56
2023-01-30,良,71,171,45,87,18,46,0.92,33
2023-01-31,良,79,178,56,100,18,57,1.10,28
2023-02-01,良,57,98,16,72,4,14,0.33,63
2023-02-02,优,47,120,22,48,9,26,0.49,44
2023-02-03,良,66,197,41,82,16,48,0.96,21
2023-02-04,良,85,224,57,110,18,48,1.18,33
2023-02-05,轻度污染,140,282,106,166,21,61,1.48,34
2023-02-06,中度污染,178,303,134,191,16,53,1.42,43
2023-02-07,轻度污染,141,274,107,152,10,46,1.05,42
2023-02-08,轻度污染,102,255,76,116,8,46,0.94,41
2023-02-09,轻度污染,115,304,87,102,5,37,0.86,35
2023-02-10,中度污染,167,333,126,152,3,38,1.21,22
2023-02-11,中度污染,185,329,139,185,4,39,1.58,17
2023-02-12,轻度污染,126,326,95,110,3,38,1.47,13
2023-02-13,良,87,322,64,77,3,29,0.98,42
2023-02-14,良,63,286,45,66,5,38,0.79,41
2023-02-15,良,67,246,47,77,7,44,0.73,27
2023-02-16,轻度污染,120,314,90,130,10,57,1.15,28
2023-02-17,重度污染,207,334,159,207,7,63,1.40,25
2023-02-18,中度污染,184,324,139,191,7,56,1.12,37
2023-02-19,优,41,57,14,44,6,32,0.41,56
2023-02-20,良,65,185,33,79,7,43,0.64,37
2023-02-21,良,54,154,26,60,8,32,0.50,47
2023-02-22,良,80,282,55,102,11,49,0.73,32
2023-02-23,轻度污染,106,300,79,121,10,46,0.82,35
2023-02-24,轻度污染,129,316,97,137,7,51,0.87,27
2023-02-25,轻度污染,105,298,78,121,7,46,0.78,40
2023-02-26,轻度污染,146,326,111,156,10,54,1.08,40
2023-02-27,中度污染,156,319,118,169,10,53,1.09,45
2023-02-28,中度污染,167,333,128,188,8,51,1.04,51
2023-03-01,良,75,190,44,97,6,46,0.53,45
2023-03-01,良,75,187,44,97,6,46,0.53,45
2023-03-02,良,72,186,37,94,11,43,0.63,45
2023-03-03,良,67,151,36,87,10,47,0.57,50
2023-03-04,良,66,143,29,82,12,47,0.45,50
2023-03-05,中度污染,172,330,130,208,14,65,1.07,62
2023-03-06,中度污染,186,334,143,219,12,54,1.15,79
2023-03-07,轻度污染,128,304,96,167,14,57,0.94,84
2023-03-08,轻度污染,115,316,69,171,9,35,0.70,83
2023-03-09,良,90,247,43,130,9,41,0.51,64
2023-03-10,良,96,272,40,124,12,35,0.56,86
2023-03-11,重度污染,234,326,42,343,4,17,0.35,62
2023-03-12,良,90,246,14,118,4,14,0.25,70
2023-03-13,良,83,247,22,117,10,32,0.47,57
