日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2023-01-01,重度污染,204,305,155,208,5,72,1.98,20
2023-01-02,中度污染,165,301,126,172,4,71,1.66,25
2023-01-03,中度污染,172,299,130,177,5,61,1.54,34
2023-01-04,轻度污染,141,272,107,154,6,54,1.30,42
2023-01-05,良,59,95,39,62,5,44,0.85,44
2023-01-06,轻度污染,144,229,109,150,5,64,1.37,32
2023-01-07,轻度污染,112,227,84,125,6,74,1.34,27
2023-01-08,中度污染,188,315,145,203,6,81,1.71,27
2023-01-09,轻度污染,132,275,100,157,6,68,1.41,29
2023-01-10,良,89,218,65,96,6,53,1.14,31
2023-01-11,良,86,181,62,92,5,28,0.87,49
2023-01-12,优,26,28,14,22,5,23,0.36,53
2023-01-13,优,45,113,30,43,4,40,0.62,32
2023-01-14,良,71,279,51,70,3,62,0.93,18
2023-01-15,轻度污染,114,321,85,112,4,67,1.30,19
2023-01-16,轻度污染,139,321,104,135,6,72,1.64,23
2023-01-17,重度污染,249,328,201,252,5,83,2.14,24
2023-01-18,重度污染,216,328,170,214,5,84,1.99,26
2023-01-19,严重污染,299,333,249,316,5,89,2.19,25
2023-01-20,严重污染,269,331,219,283,6,84,2.02,28
2023-01-21,轻度污染,114,251,87,111,5,52,1.03,49
2023-01-22,良,65,63,45,66,7,27,0.56,62
2023-01-23,良,70,177,50,70,4,37,0.80,51
2023-01-24,良,80,279,58,96,5,40,0.91,53
2023-01-25,良,74,269,47,96,4,54,1.09,41
2023-01-26,轻度污染,115,312,86,131,7,59,1.26,39
2023-01-27,中度污染,161,332,123,194,9,54,1.45,46
2023-01-28,轻度污染,108,323,81,133,6,67,1.41,38
2023-01-29,中度污染,181,333,137,201,6,80,1.63,36
2023-01-30,轻度污染,128,317,96,157,6,71,1.47,42
2023-01-31,重度污染,223,334,174,238,5,83,1.95,36
2023-02-01,严重污染,260,336,210,289,6,75,2.30,51
2023-02-02,重度污染,250,334,200,278,6,79,2.21,53
2023-02-03,重度污染,215,334,171,245,8,84,1.99,58
2023-02-04,中度污染,163,321,124,178,7,75,1.65,55
2023-02-05,中度污染,168,323,127,189,8,68,1.59,56
2023-02-06,中度污染,163,293,124,183,6,45,1.60,86
2023-02-07,轻度污染,122,252,92,131,5,64,1.40,51
2023-02-08,轻度污染,106,264,79,119,4,42,1.35,61
2023-02-09,良,83,269,61,84,4,31,1.14,74
2023-02-10,良,67,200,44,72,4,32,0.86,68
2023-02-11,优,42,119,23,42,5,36,0.68,63
2023-02-12,良,67,238,48,67,5,44,0.75,55
2023-02-13,轻度污染,110,331,82,110,5,48,0.95,47
2023-02-14,轻度污染,148,333,113,153,7,45,1.10,65
2023-02-15,中度污染,159,331,121,165,5,69,1.44,45
2023-02-16,中度污染,176,333,134,177,5,66,1.40,57
2023-02-17,轻度污染,111,276,83,120,6,58,1.10,63
2023-02-18,轻度污染,104,243,78,113,5,50,0.99,61
2023-02-19,轻度污染,105,307,79,116,5,59,1.12,51
2023-02-20,轻度污染,128,332,96,140,5,76,1.48,41
2023-02-21,中度污染,199,333,153,211,5,78,1.79,45
2023-02-22,重度污染,219,333,169,229,7,71,2.08,66
2023-02-23,重度污染,210,334,161,234,7,77,1.96,71
2023-02-24,重度污染,236,334,186,261,8,85,1.90,76
2023-02-25,中度污染,188,334,146,221,9,75,1.57,80
2023-02-26,良,93,268,59,116,6,27,0.73,89
2023-02-27,优,38,30,25,37,4,41,0.73,52
2023-02-28,良,73,175,52,82,4,51,1.04,42
2023-03-01,轻度污染,103,264,76,118,5,50,1.15,48
2023-03-01,轻度污染,103,265,76,118,5,50,1.15,48
2023-03-02,中度污染,152,330,116,169,5,61,1.18,46
2023-03-03,中度污染,164,334,124,190,7,62,1.31,54
2023-03-04,轻度污染,120,307,89,158,7,70,1.44,51
2023-03-05,中度污染,192,332,146,228,8,77,1.75,63
2023-03-06,中度污染,159,328,120,189,7,59,1.35,77
2023-03-07,良,81,223,53,99,7,44,0.87,68
2023-03-08,良,91,251,59,119,10,41,0.98,80
2023-03-09,良,98,277,46,132,7,25,0.68,80
2023-03-10,良,70,176,13,93,6,33,0.55,53
2023-03-11,良,58,136,19,71,6,34,0.56,51
2023-03-12,良,80,220,28,110,9,25,0.59,68
2023-03-13,良,76,211,28,103,8,31,0.63,56
2023-03-14,优,31,20,13,30,5,20,0.46,57
2023-03-15,良,56,78,29,63,6,37,0.57,41
2023-03-16,良,52,115,28,57,5,31,0.58,52
2023-03-17,良,56,259,25,61,8,36,0.64,53
2023-03-18,良,59,218,29,69,7,27,0.55,58
2023-03-19,优,38,105,12,34,5,16,0.44,66
2023-03-20,优,28,25,8,25,4,16,0.46,79
2023-03-21,优,44,111,22,48,4,20,0.48,59
2023-03-22,良,54,147,21,60,6,30,0.57,55
2023-03-23,良,57,156,22,64,6,35,0.57,56
2023-03-24,良,61,184,27,71,6,39,0.65,53
2023-03-25,良,52,166,19,56,7,36,0.56,55
2023-03-26,良,59,182,21,68,7,39,0.58,54
2023-03-27,良,62,162,25,75,7,38,0.57,61
2023-03-28,轻度污染,123,325,28,192,5,22,0.38,75
