日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2014-01-01,良,86,31,44,110,27,62,1.48,27
2014-01-02,轻度污染,117,65,110,166,71,92,3.4,8
2014-01-03,良,80,29,46,97,28,52,1.3,32
2014-01-04,中度污染,153,127,116,149,40,76,2.84,4
2014-01-05,轻度污染,119,48,89,116,35,67,2.29,15
2014-01-06,中度污染,184,112,139,160,46,68,2.38,4
2014-01-07,轻度污染,143,116,110,124,34,59,1.97,20
2014-01-08,优,29,1,15,25,13,21,0.51,43
2014-01-09,优,43,4,26,45,19,34,0.8,35
2014-01-10,良,87,59,63,94,53,70,1.89,9
2014-01-11,轻度污染,143,124,109,131,77,92,2.8,8
2014-01-12,优,42,6,23,42,25,36,0.69,39
2014-01-13,轻度污染,110,113,82,107,66,78,2.3,9
2014-01-14,轻度污染,109,84,82,108,67,75,2.37,12
2014-01-15,轻度污染,148,104,122,149,74,91,2.8,10
2014-01-16,严重污染,381,183,343,376,110,122,4.45,9
2014-01-17,重度污染,211,134,169,200,67,76,2.51,12
2014-01-18,轻度污染,104,48,77,84,43,62,1.57,21
2014-01-19,中度污染,177,98,115,186,71,72,2.51,17
2014-01-20,优,37,1,7,33,6,15,0.32,56
2014-01-21,良,51,13,35,47,33,45,0.95,31
2014-01-22,中度污染,153,166,117,143,74,92,2.3,8
2014-01-24,中度污染,185,143,147,167,78,92,2.78,12
2014-01-25,优,40,4,22,39,23,39,0.88,41
2014-01-26,良,77,80,52,81,45,47,0.99,29
2014-01-27,轻度污染,128,131,89,119,56,60,1.78,23
2014-01-28,良,61,45,40,76,28,39,0.92,42
2014-01-29,中度污染,155,146,118,142,70,75,2.3,9
2014-01-30,良,93,49,67,90,37,44,1.16,42
2014-01-31,中度污染,184,71,143,181,63,47,1.44,21
2014-02-01,中度污染,179,134,135,146,51,57,1.99,7
2014-02-02,轻度污染,105,68,63,93,18,30,1.19,43
2014-02-03,优,40,11,5,31,4,8,0.3,69
2014-02-04,优,50,64,26,39,19,21,0.62,56
2014-02-05,轻度污染,116,181,87,101,52,48,1.58,25
2014-02-06,中度污染,158,185,119,131,67,65,2.08,20
2014-02-07,轻度污染,124,164,94,60,34,51,1.45,23
2014-02-08,轻度污染,102,155,72,43,23,38,1.27,33
